SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	ailuropoda_melanoleuca	ENSAMEP00000018810	GL192371.1	1483774	1500172	-1	ENSAMEG00000017796	ACTR1A	giant_panda
SEQ	choloepus_hoffmanni	ENSCHOP00000004433	GeneScaffold_3810	3149	20233	-1	ENSCHOG00000005008	ACTR1A	Hoffmanns_two_fingered_sloth
SEQ	pan_troglodytes	ENSPTRP00000005101	10	103934954	103947887	-1	ENSPTRG00000002894	ACTR1A	chimpanzee
SEQ	sorex_araneus	ENSSARP00000005714	GeneScaffold_1586	315141	339286	-1	ENSSARG00000006305	ACTR1A	european_shrew
SEQ	carlito_syrichta	ENSTSYP00000030541	KE932126.1	6530	22293	-1	ENSTSYG00000032955	NULL	philippine_tarsier
SEQ	tupaia_belangeri	ENSTBEP00000002164	GeneScaffold_1763	36193	63731	-1	ENSTBEG00000002480	ACTR1A	nothern_tree_shrew
SEQ	dasypus_novemcinctus	ENSDNOP00000013777	JH578031.1	531957	549388	1	ENSDNOG00000017759	ACTR1A	nine_banded_armadillo
SEQ	panthera_leo	ENSPLOP00000024132	D3	25679879	25693340	1	ENSPLOG00000017687	ACTR1A	lion
SEQ	cavia_aperea	ENSCAPP00000013655	AVPZ01000023.1	12083691	12092186	1	ENSCAPG00000014229	ACTR1A	brazilian_guinea_pig
SEQ	nomascus_leucogenys	ENSNLEP00000018415	3	31811234	31835966	1	ENSNLEG00000015157	ACTR1A	gibbon
SEQ	mus_spicilegus	ENSMSIP00000013016	QGOO01037417.1	303678	322701	1	ENSMSIG00000011269	Actr1a	steppe_mouse
SEQ	pan_troglodytes	ENSPTRP00000087686	2A	108665711	108666870	1	ENSPTRG00000050040	NULL	chimpanzee
SEQ	camelus_dromedarius	ENSCDRP00005019705	11	24829775	24844635	1	ENSCDRG00005013729	ACTR1A	arabian_camel
SEQ	nannospalax_galili	ENSNGAP00000010422	KL202976.1	2778935	2798886	-1	ENSNGAG00000012852	Actr1a	upper_galilee_mountains_blind_mole_rat
SEQ	vulpes_vulpes	ENSVVUP00000005332	NBDQ01000001.1	38205557	38213607	-1	ENSVVUG00000003644	ACTR1A	red_fox
SEQ	equus_caballus	ENSECAP00000024126	1	27838170	27852903	1	ENSECAG00000024503	ACTR1A	domestic_horse
