Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
ORAI3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
ORAI1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	17
ORAI1	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	17
NULL	bison_bison_bison	american_bison	artiodactyla	3	17
ORAI2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	17
ORAI1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	17
ORAI1	sus_scrofa	wild_boar	artiodactyla	3	17
ORAI3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	17
ORAI3	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	17
ORAI3	sus_scrofa	wild_boar	artiodactyla	3	17
ORAI1	camelus_dromedarius	arabian_camel	artiodactyla	3	17
ORAI2	camelus_dromedarius	arabian_camel	artiodactyla	3	17
ORAI2	bison_bison_bison	american_bison	artiodactyla	3	17
ORAI1	bison_bison_bison	american_bison	artiodactyla	3	17
ORAI2	sus_scrofa	wild_boar	artiodactyla	3	17
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	17
ORAI3	camelus_dromedarius	arabian_camel	artiodactyla	3	17
ORAI1	ursus_maritimus	polar_bear	carnivora	3	29
ORAI3	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
ORAI3	canis_lupus_dingo	dingo	carnivora	3	29
ORAI3	felis_catus	domestic_cat	carnivora	3	29
ORAI2	panthera_leo	lion	carnivora	3	29
ORAI2	canis_lupus_dingo	dingo	carnivora	3	29
ORAI2	zalophus_californianus	cali_sea_lion	carnivora	3	29
ORAI2	lynx_canadensis	canadian_lynx	carnivora	3	29
ORAI2	felis_catus	domestic_cat	carnivora	3	29
ORAI2	ursus_maritimus	polar_bear	carnivora	3	29
ORAI1	canis_lupus_familiaris	domestic_dog	carnivora	2	29
ORAI2	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
ORAI3	lynx_canadensis	canadian_lynx	carnivora	3	29
ORAI3	panthera_leo	lion	carnivora	3	29
ORAI3	zalophus_californianus	cali_sea_lion	carnivora	3	29
ORAI2	canis_lupus_familiaris	domestic_dog	carnivora	2	29
ORAI1	panthera_pardus	leopard	carnivora	3	29
ORAI1	vulpes_vulpes	red_fox	carnivora	3	29
ORAI2	panthera_pardus	leopard	carnivora	3	29
ORAI3	ursus_maritimus	polar_bear	carnivora	3	29
ORAI1	canis_lupus_dingo	dingo	carnivora	3	29
ORAI1	lynx_canadensis	canadian_lynx	carnivora	3	29
ORAI3	vulpes_vulpes	red_fox	carnivora	3	29
ORAI1	zalophus_californianus	cali_sea_lion	carnivora	3	29
ORAI3	panthera_pardus	leopard	carnivora	3	29
ORAI1	panthera_leo	lion	carnivora	3	29
ORAI1	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
ORAI2	vulpes_vulpes	red_fox	carnivora	3	29
ORAI1	felis_catus	domestic_cat	carnivora	3	29
ORAI3	delphinapterus_leucas	beluga_whale	cetacea	3	3
ORAI1	delphinapterus_leucas	beluga_whale	cetacea	3	3
ORAI2	delphinapterus_leucas	beluga_whale	cetacea	3	3
ORAI2	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
ORAI3	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
