Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	10
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	10
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	10
NULL	bison_bison_bison	american_bison	artiodactyla	3	10
NULL	zalophus_californianus	cali_sea_lion	carnivora	8	20
NULL	vulpes_vulpes	red_fox	carnivora	1	20
NULL	panthera_pardus	leopard	carnivora	2	20
NULL	ursus_maritimus	polar_bear	carnivora	2	20
NULL	lynx_canadensis	canadian_lynx	carnivora	2	20
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	20
UQCRB	canis_lupus_dingo	dingo	carnivora	1	20
NULL	felis_catus	domestic_cat	carnivora	1	20
UQCRB	canis_lupus_familiaris	domestic_dog	carnivora	1	20
NULL	panthera_leo	lion	carnivora	1	20
NULL	delphinapterus_leucas	beluga_whale	cetacea	5	5
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
NULL	ochotona_princeps	american_pika	lagomorpha	2	4
UQCRB	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
UQCRB	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	mandrillus_leucophaeus	drill	primates	3	25
NULL	pan_troglodytes	chimpanzee	primates	4	25
NULL	cercocebus_atys	sooty_mangabey	primates	3	25
NULL	macaca_fascicularis	crab_eating_macaque	primates	3	25
NULL	carlito_syrichta	philippine_tarsier	primates	3	25
NULL	nomascus_leucogenys	gibbon	primates	3	25
UQCRB	nomascus_leucogenys	gibbon	primates	3	25
UQCRB	gorilla_gorilla	gorilla	primates	3	25
UQCRB	aotus_nancymaae	mas_night_monkey	primates	1	25
UQCRB	pan_troglodytes	chimpanzee	primates	4	25
UQCRB	mandrillus_leucophaeus	drill	primates	3	25
UQCRB	papio_anubis	olive_baboon	primates	2	25
NULL	papio_anubis	olive_baboon	primates	2	25
NULL	gorilla_gorilla	gorilla	primates	3	25
UQCRB	cercocebus_atys	sooty_mangabey	primates	3	25
UQCRB	macaca_fascicularis	crab_eating_macaque	primates	3	25
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	octodon_degus	degu	rodentia	8	23
NULL	castor_canadensis	american_beaver	rodentia	2	23
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	23
NULL	mus_spicilegus	steppe_mouse	rodentia	4	23
Uqcrb	rattus_norvegicus	norway_rat	rodentia	2	23
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	23
Uqcrb	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	23
Uqcrb	mus_musculus	house_mouse	rodentia	1	23
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
