Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
BHMT	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
BHMT	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	9
BHMT	bison_bison_bison	american_bison	artiodactyla	2	9
BHMT	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	9
BHMT2	bison_bison_bison	american_bison	artiodactyla	2	9
BHMT	sus_scrofa	wild_boar	artiodactyla	1	9
BHMT2	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	9
BHMT2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	9
BHMT2	camelus_dromedarius	arabian_camel	artiodactyla	2	9
BHMT	camelus_dromedarius	arabian_camel	artiodactyla	2	9
BHMT	lynx_canadensis	canadian_lynx	carnivora	1	18
BHMT	vulpes_vulpes	red_fox	carnivora	2	18
BHMT2	ailuropoda_melanoleuca	giant_panda	carnivora	2	18
BHMT2	panthera_pardus	leopard	carnivora	2	18
BHMT	canis_lupus_dingo	dingo	carnivora	2	18
BHMT2	canis_lupus_familiaris	domestic_dog	carnivora	2	18
BHMT	panthera_leo	lion	carnivora	2	18
BHMT2	vulpes_vulpes	red_fox	carnivora	2	18
BHMT2	zalophus_californianus	cali_sea_lion	carnivora	2	18
BHMT	ursus_maritimus	polar_bear	carnivora	2	18
BHMT2	ursus_maritimus	polar_bear	carnivora	2	18
BHMT	panthera_pardus	leopard	carnivora	2	18
BHMT2	canis_lupus_dingo	dingo	carnivora	2	18
BHMT	canis_lupus_familiaris	domestic_dog	carnivora	2	18
BHMT	felis_catus	domestic_cat	carnivora	1	18
BHMT2	panthera_leo	lion	carnivora	2	18
BHMT	ailuropoda_melanoleuca	giant_panda	carnivora	2	18
BHMT	zalophus_californianus	cali_sea_lion	carnivora	2	18
BHMT2	delphinapterus_leucas	beluga_whale	cetacea	2	2
BHMT	delphinapterus_leucas	beluga_whale	cetacea	2	2
BHMT	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
BHMT2	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
BHMT2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
BHMT	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
BHMT	sorex_araneus	european_shrew	eulipotyphyla	2	3
