SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene
SEQ	felis_catus	ENSFCAP00000061091	A3	64725555	64733332	1	ENSFCAG00000030483	ACTR1B
SEQ	oryctolagus_cuniculus	ENSOCUP00000005172	2	94463936	94483701	1	ENSOCUG00000005975	ACTR1B
SEQ	panthera_pardus	ENSPPRP00000001896	KV860272.1	3607319	3616415	1	ENSPPRG00000023797	ACTR1B
SEQ	nannospalax_galili	ENSNGAP00000008083	KL198913.1	209702	222502	1	ENSNGAG00000011162	Actr1b
SEQ	gorilla_gorilla	ENSGGOP00000038510	CABD030151962.1	3502	11039	-1	ENSGGOG00000037645	ACTR1B
SEQ	pan_troglodytes	ENSPTRP00000021007	2A	96507903	96516057	-1	ENSPTRG00000012258	ACTR1B
SEQ	mus_musculus	ENSMUSP00000047326	1	36698114	36710008	-1	ENSMUSG00000037351	Actr1b
SEQ	erinaceus_europaeus	ENSEEUP00000006795	GeneScaffold_2506	1639	5582	-1	ENSEEUG00000007457	NULL
SEQ	mandrillus_leucophaeus	ENSMLEP00000032080	KN979273.1	8757448	8763828	1	ENSMLEG00000040229	ACTR1B
SEQ	delphinapterus_leucas	ENSDLEP00000002669	ML702045.1	8710003	8716622	1	ENSDLEG00000002094	ACTR1B
SEQ	dasypus_novemcinctus	ENSDNOP00000019477	JH564864.1	305957	316206	1	ENSDNOG00000032497	ACTR1B
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000022146	11	3255145	3264825	-1	ENSCHYG00000014819	NULL
SEQ	chinchilla_lanigera	ENSCLAP00000005703	JH721930.1	4326096	4336441	-1	ENSCLAG00000004041	ACTR1B
SEQ	cercocebus_atys	ENSCATP00000037042	KQ012741.1	10358768	10366900	1	ENSCATG00000041279	ACTR1B
SEQ	sus_scrofa	ENSSSCP00000066603	3	56610304	56620164	1	ENSSSCG00000008194	ACTR1B
SEQ	aotus_nancymaae	ENSANAP00000005599	KZ200234.1	117286	124634	1	ENSANAG00000020837	ACTR1B
SEQ	moschus_moschiferus	ENSMMSP00000003931	PVHU020005314.1	16302723	16315093	1	ENSMMSG00000002958	ACTR1B
SEQ	nomascus_leucogenys	ENSNLEP00000046053	JH996115.1	29270	34801	-1	ENSNLEG00000011651	ACTR1B
SEQ	equus_asinus_asinus	ENSEASP00005001596	PSZQ01004234.1	1427043	1434833	1	ENSEASG00005001298	ACTR1B
SEQ	rattus_norvegicus	ENSRNOP00000022779	9	43267057	43276685	-1	ENSRNOG00000016789	Actr1b
SEQ	cavia_aperea	ENSCAPP00000005825	AVPZ01000167.1	2016082	2021488	1	ENSCAPG00000008046	ACTR1B
SEQ	pan_troglodytes	ENSPTRP00000089731	KV420771.1	20905	27943	-1	ENSPTRG00000043584	NULL
SEQ	octodon_degus	ENSODEP00000009075	JH651567.1	4417237	4424011	-1	ENSODEG00000006779	ACTR1B
SEQ	ailuropoda_melanoleuca	ENSAMEP00000005533	GL192340.1	60211	68247	1	ENSAMEG00000005211	ACTR1B
SEQ	sorex_araneus	ENSSARP00000010174	GeneScaffold_2024	39288	46389	-1	ENSSARG00000011261	ACTR1B
SEQ	lynx_canadensis	ENSLCNP00005001738	A3	61760832	61768746	1	ENSLCNG00005001228	ACTR1B
SEQ	mus_spicilegus	ENSMSIP00000004787	QGOO01037123.1	476436	488591	1	ENSMSIG00000004384	Actr1b
SEQ	castor_canadensis	ENSCCNP00000031629	MTKA01003602.1	11969	19325	1	ENSCCNG00000030108	Actr1b
SEQ	macaca_fascicularis	ENSMFAP00000013617	13	1784050	1792347	-1	ENSMFAG00000028601	ACTR1B
SEQ	choloepus_hoffmanni	ENSCHOP00000003330	GeneScaffold_2268	328	2311	-1	ENSCHOG00000003769	ACTR1B
