Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
TMEM229A	camelus_dromedarius	arabian_camel	artiodactyla	2	9
TMEM229A	sus_scrofa	wild_boar	artiodactyla	2	9
NULL	sus_scrofa	wild_boar	artiodactyla	2	9
TMEM229B	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	9
TMEM229B	bison_bison_bison	american_bison	artiodactyla	1	9
TMEM229A	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	9
TMEM229B	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	9
TMEM229A	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	9
TMEM229B	camelus_dromedarius	arabian_camel	artiodactyla	2	9
TMEM229B	lynx_canadensis	canadian_lynx	carnivora	2	17
TMEM229B	canis_lupus_familiaris	domestic_dog	carnivora	2	17
TMEM229B	felis_catus	domestic_cat	carnivora	2	17
TMEM229B	canis_lupus_dingo	dingo	carnivora	2	17
TMEM229B	vulpes_vulpes	red_fox	carnivora	1	17
TMEM229A	panthera_pardus	leopard	carnivora	2	17
TMEM229B	panthera_leo	lion	carnivora	2	17
TMEM229B	panthera_pardus	leopard	carnivora	2	17
TMEM229A	lynx_canadensis	canadian_lynx	carnivora	2	17
TMEM229B	ailuropoda_melanoleuca	giant_panda	carnivora	2	17
TMEM229A	ailuropoda_melanoleuca	giant_panda	carnivora	2	17
TMEM229A	felis_catus	domestic_cat	carnivora	2	17
TMEM229A	canis_lupus_familiaris	domestic_dog	carnivora	2	17
TMEM229B	zalophus_californianus	cali_sea_lion	carnivora	2	17
TMEM229A	zalophus_californianus	cali_sea_lion	carnivora	2	17
TMEM229A	panthera_leo	lion	carnivora	2	17
TMEM229A	canis_lupus_dingo	dingo	carnivora	2	17
TMEM229A	delphinapterus_leucas	beluga_whale	cetacea	2	2
TMEM229B	delphinapterus_leucas	beluga_whale	cetacea	2	2
TMEM229B	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
TMEM229A	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
TMEM229B	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
TMEM229B	ochotona_princeps	american_pika	lagomorpha	1	2
TMEM229B	equus_caballus	domestic_horse	perissodactyla	1	3
TMEM229B	equus_asinus_asinus	donkey	perissodactyla	2	3
TMEM229A	equus_asinus_asinus	donkey	perissodactyla	2	3
TMEM229B	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
TMEM229A	gorilla_gorilla	gorilla	primates	2	16
TMEM229A	macaca_fascicularis	crab_eating_macaque	primates	2	16
TMEM229B	papio_anubis	olive_baboon	primates	2	16
TMEM229B	nomascus_leucogenys	gibbon	primates	2	16
TMEM229A	nomascus_leucogenys	gibbon	primates	2	16
TMEM229A	cercocebus_atys	sooty_mangabey	primates	1	16
TMEM229A	aotus_nancymaae	mas_night_monkey	primates	2	16
TMEM229A	pan_troglodytes	chimpanzee	primates	2	16
TMEM229A	papio_anubis	olive_baboon	primates	2	16
TMEM229B	mandrillus_leucophaeus	drill	primates	1	16
TMEM229B	aotus_nancymaae	mas_night_monkey	primates	2	16
TMEM229B	macaca_fascicularis	crab_eating_macaque	primates	2	16
TMEM229B	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	16
TMEM229B	pan_troglodytes	chimpanzee	primates	2	16
TMEM229A	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	16
TMEM229B	gorilla_gorilla	gorilla	primates	2	16
TMEM229B	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Tmem229a	mus_musculus	house_mouse	rodentia	2	16
Tmem229a	castor_canadensis	american_beaver	rodentia	1	16
Tmem229a	rattus_norvegicus	norway_rat	rodentia	2	16
TMEM229B	cavia_aperea	brazilian_guinea_pig	rodentia	1	16
NULL	mus_spicilegus	steppe_mouse	rodentia	3	16
TMEM229B	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	16
Tmem229a	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	16
Tmem229b	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	16
TMEM229B	octodon_degus	degu	rodentia	2	16
TMEM229A	octodon_degus	degu	rodentia	2	16
Tmem229a	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	16
Tmem229a	mus_spicilegus	steppe_mouse	rodentia	3	16
Tmem229b	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	16
Tmem229b	mus_musculus	house_mouse	rodentia	2	16
Tmem229b	rattus_norvegicus	norway_rat	rodentia	2	16
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
