Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
OR10J3	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	3
OR10J3	bison_bison_bison	american_bison	artiodactyla	1	3
OR10J3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	3
OR10J3	felis_catus	domestic_cat	carnivora	1	4
OR10J3	ursus_maritimus	polar_bear	carnivora	1	4
OR10J3	vulpes_vulpes	red_fox	carnivora	1	4
OR10J3	zalophus_californianus	cali_sea_lion	carnivora	1	4
OR10J3	delphinapterus_leucas	beluga_whale	cetacea	1	1
OR10J3	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
OR10J3	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
OR10J3	equus_caballus	domestic_horse	perissodactyla	1	2
OR10J3	equus_asinus_asinus	donkey	perissodactyla	1	2
OR10J3	aotus_nancymaae	mas_night_monkey	primates	1	9
OR10J3	papio_anubis	olive_baboon	primates	1	9
OR10J3	cercocebus_atys	sooty_mangabey	primates	1	9
OR10J3	macaca_fascicularis	crab_eating_macaque	primates	1	9
OR10J3	gorilla_gorilla	gorilla	primates	1	9
NULL	nomascus_leucogenys	gibbon	primates	1	9
OR10J3	mandrillus_leucophaeus	drill	primates	1	9
OR10J3	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	9
OR10J3	carlito_syrichta	philippine_tarsier	primates	1	9
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
OR10J3	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
Olr1583	rattus_norvegicus	norway_rat	rodentia	2	10
Olfr1404	mus_spicilegus	steppe_mouse	rodentia	2	10
Olfr218	mus_musculus	house_mouse	rodentia	2	10
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
Olfr1404	mus_musculus	house_mouse	rodentia	2	10
Olr1582	rattus_norvegicus	norway_rat	rodentia	2	10
Olfr218	mus_spicilegus	steppe_mouse	rodentia	2	10
Olfr218	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	10
Olfr1404	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	10
