Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
MRPL32	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
MRPL32	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
MRPL32	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
NULL	sus_scrofa	wild_boar	artiodactyla	2	5
MRPL32	camelus_dromedarius	arabian_camel	artiodactyla	1	5
MRPL32	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
MRPL32	felis_catus	domestic_cat	carnivora	1	11
MRPL32	ursus_maritimus	polar_bear	carnivora	1	11
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	11
MRPL32	vulpes_vulpes	red_fox	carnivora	1	11
MRPL32	lynx_canadensis	canadian_lynx	carnivora	1	11
MRPL32	panthera_pardus	leopard	carnivora	1	11
MRPL32	panthera_leo	lion	carnivora	1	11
MRPL32	canis_lupus_familiaris	domestic_dog	carnivora	1	11
MRPL32	canis_lupus_dingo	dingo	carnivora	1	11
MRPL32	delphinapterus_leucas	beluga_whale	cetacea	2	2
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
MRPL32	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
MRPL32	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
MRPL32	ochotona_princeps	american_pika	lagomorpha	1	4
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	3	4
NULL	equus_asinus_asinus	donkey	perissodactyla	2	4
NULL	equus_caballus	domestic_horse	perissodactyla	2	4
MRPL32	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
MRPL32	aotus_nancymaae	mas_night_monkey	primates	1	16
MRPL32	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	16
MRPL32	mandrillus_leucophaeus	drill	primates	2	16
MRPL32	gorilla_gorilla	gorilla	primates	2	16
MRPL32	papio_anubis	olive_baboon	primates	2	16
NULL	cercocebus_atys	sooty_mangabey	primates	2	16
NULL	gorilla_gorilla	gorilla	primates	2	16
MRPL32	macaca_fascicularis	crab_eating_macaque	primates	2	16
NULL	papio_anubis	olive_baboon	primates	2	16
MRPL32	nomascus_leucogenys	gibbon	primates	2	16
MRPL32	carlito_syrichta	philippine_tarsier	primates	1	16
NULL	macaca_fascicularis	crab_eating_macaque	primates	2	16
NULL	mandrillus_leucophaeus	drill	primates	2	16
MRPL32	cercocebus_atys	sooty_mangabey	primates	2	16
NULL	nomascus_leucogenys	gibbon	primates	2	16
MRPL32	pan_troglodytes	chimpanzee	primates	1	16
MRPL32	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Mrpl32	rattus_norvegicus	norway_rat	rodentia	1	10
Mrpl32	castor_canadensis	american_beaver	rodentia	1	10
Mrpl32	mus_musculus	house_mouse	rodentia	1	10
MRPL32	octodon_degus	degu	rodentia	1	10
NULL	mus_spicilegus	steppe_mouse	rodentia	2	10
Mrpl32	mus_spicilegus	steppe_mouse	rodentia	2	10
Mrpl32	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
MRPL32	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
MRPL32	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
Mrpl32	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
MRPL32	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
