Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
LSM6	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	7
NULL	bison_bison_bison	american_bison	artiodactyla	2	7
LSM6	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	7
LSM6	sus_scrofa	wild_boar	artiodactyla	1	7
LSM6	camelus_dromedarius	arabian_camel	artiodactyla	1	7
LSM6	vulpes_vulpes	red_fox	carnivora	1	10
LSM6	canis_lupus_dingo	dingo	carnivora	1	10
LSM6	lynx_canadensis	canadian_lynx	carnivora	1	10
LSM6	panthera_pardus	leopard	carnivora	1	10
LSM6	ursus_maritimus	polar_bear	carnivora	1	10
LSM6	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
LSM6	panthera_leo	lion	carnivora	1	10
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	10
LSM6	canis_lupus_familiaris	domestic_dog	carnivora	1	10
LSM6	felis_catus	domestic_cat	carnivora	1	10
LSM6	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
LSM6	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
LSM6	sorex_araneus	european_shrew	eulipotyphyla	1	2
LSM6	ochotona_princeps	american_pika	lagomorpha	1	2
LSM6	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
LSM6	equus_asinus_asinus	donkey	perissodactyla	1	2
LSM6	equus_caballus	domestic_horse	perissodactyla	1	2
LSM6	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
LSM6	nomascus_leucogenys	gibbon	primates	1	12
LSM6	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	12
NULL	carlito_syrichta	philippine_tarsier	primates	2	12
LSM6	papio_anubis	olive_baboon	primates	1	12
LSM6	mandrillus_leucophaeus	drill	primates	1	12
LSM6	gorilla_gorilla	gorilla	primates	1	12
NULL	cercocebus_atys	sooty_mangabey	primates	2	12
LSM6	cercocebus_atys	sooty_mangabey	primates	2	12
LSM6	pan_troglodytes	chimpanzee	primates	1	12
LSM6	macaca_fascicularis	crab_eating_macaque	primates	1	12
NULL	aotus_nancymaae	mas_night_monkey	primates	1	12
LSM6	carlito_syrichta	philippine_tarsier	primates	2	12
LSM6	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	octodon_degus	degu	rodentia	4	16
Lsm6	castor_canadensis	american_beaver	rodentia	1	16
Lsm6	rattus_norvegicus	norway_rat	rodentia	2	16
NULL	mus_spicilegus	steppe_mouse	rodentia	2	16
Lsm6	mus_musculus	house_mouse	rodentia	1	16
Lsm6	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	16
LSM6	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	16
LOC100360750	rattus_norvegicus	norway_rat	rodentia	2	16
Lsm6	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	16
LSM6	cavia_aperea	brazilian_guinea_pig	rodentia	2	16
Lsm6	mus_spicilegus	steppe_mouse	rodentia	2	16
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	16
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	16
