Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
MORC1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
MORC1	bison_bison_bison	american_bison	artiodactyla	2	11
MORC2	bison_bison_bison	american_bison	artiodactyla	2	11
MORC1	camelus_dromedarius	arabian_camel	artiodactyla	2	11
MORC1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	11
MORC1	sus_scrofa	wild_boar	artiodactyla	2	11
MORC2	sus_scrofa	wild_boar	artiodactyla	2	11
MORC2	camelus_dromedarius	arabian_camel	artiodactyla	2	11
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	11
MORC1	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
MORC2	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
MORC1	panthera_pardus	leopard	carnivora	2	16
MORC2	ursus_maritimus	polar_bear	carnivora	1	16
MORC2	lynx_canadensis	canadian_lynx	carnivora	1	16
MORC2	canis_lupus_familiaris	domestic_dog	carnivora	2	16
MORC2	canis_lupus_dingo	dingo	carnivora	1	16
MORC1	vulpes_vulpes	red_fox	carnivora	2	16
MORC1	ailuropoda_melanoleuca	giant_panda	carnivora	2	16
MORC2	felis_catus	domestic_cat	carnivora	2	16
MORC1	felis_catus	domestic_cat	carnivora	2	16
MORC1	canis_lupus_familiaris	domestic_dog	carnivora	2	16
MORC2	zalophus_californianus	cali_sea_lion	carnivora	2	16
MORC2	panthera_leo	lion	carnivora	1	16
MORC2	vulpes_vulpes	red_fox	carnivora	2	16
MORC2	panthera_pardus	leopard	carnivora	2	16
MORC1	zalophus_californianus	cali_sea_lion	carnivora	2	16
MORC2	ailuropoda_melanoleuca	giant_panda	carnivora	2	16
MORC2	delphinapterus_leucas	beluga_whale	cetacea	1	1
MORC1	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
MORC2	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
MORC1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
MORC2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	4
MORC2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
MORC2	sorex_araneus	european_shrew	eulipotyphyla	2	4
MORC1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
MORC2	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
MORC1	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
MORC2	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
MORC1	ochotona_princeps	american_pika	lagomorpha	2	4
MORC2	ochotona_princeps	american_pika	lagomorpha	2	4
MORC1	equus_asinus_asinus	donkey	perissodactyla	2	4
MORC1	equus_caballus	domestic_horse	perissodactyla	2	4
MORC2	equus_caballus	domestic_horse	perissodactyla	2	4
MORC2	equus_asinus_asinus	donkey	perissodactyla	2	4
MORC2	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
MORC1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
MORC2	macaca_fascicularis	crab_eating_macaque	primates	2	19
MORC1	macaca_fascicularis	crab_eating_macaque	primates	2	19
MORC1	cercocebus_atys	sooty_mangabey	primates	2	19
MORC1	nomascus_leucogenys	gibbon	primates	2	19
MORC2	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	19
MORC1	papio_anubis	olive_baboon	primates	2	19
MORC2	mandrillus_leucophaeus	drill	primates	2	19
MORC2	carlito_syrichta	philippine_tarsier	primates	1	19
MORC2	pan_troglodytes	chimpanzee	primates	2	19
MORC1	aotus_nancymaae	mas_night_monkey	primates	2	19
MORC2	cercocebus_atys	sooty_mangabey	primates	2	19
MORC1	pan_troglodytes	chimpanzee	primates	2	19
MORC2	aotus_nancymaae	mas_night_monkey	primates	2	19
MORC2	nomascus_leucogenys	gibbon	primates	2	19
MORC1	gorilla_gorilla	gorilla	primates	2	19
MORC2	papio_anubis	olive_baboon	primates	2	19
MORC2	gorilla_gorilla	gorilla	primates	2	19
MORC1	mandrillus_leucophaeus	drill	primates	2	19
MORC1	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	19
MORC2	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
MORC2	cavia_aperea	brazilian_guinea_pig	rodentia	1	20
Morc2	rattus_norvegicus	norway_rat	rodentia	3	20
MORC1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	20
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	20
NULL	castor_canadensis	american_beaver	rodentia	2	20
Morc2a	mus_musculus	house_mouse	rodentia	3	20
Morc2b	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	20
Morc1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	20
Morc2a	mus_spicilegus	steppe_mouse	rodentia	3	20
Morc2a	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	20
MORC2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	20
Morc2a	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	20
Morc1	mus_spicilegus	steppe_mouse	rodentia	3	20
Morc2b	mus_spicilegus	steppe_mouse	rodentia	3	20
Morc2b	mus_musculus	house_mouse	rodentia	3	20
Morc1	castor_canadensis	american_beaver	rodentia	2	20
Morc1	mus_musculus	house_mouse	rodentia	3	20
MORC2	octodon_degus	degu	rodentia	1	20
Morc1	rattus_norvegicus	norway_rat	rodentia	3	20
Morc2b	rattus_norvegicus	norway_rat	rodentia	3	20
MORC1	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
MORC2	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
