Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
RBPJL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
RBPJL	sus_scrofa	wild_boar	artiodactyla	2	11
RBPJ	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
RBPJ	camelus_dromedarius	arabian_camel	artiodactyla	2	11
RBPJ	sus_scrofa	wild_boar	artiodactyla	2	11
RBPJL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	11
NULL	bison_bison_bison	american_bison	artiodactyla	3	11
RBPJL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
RBPJL	camelus_dromedarius	arabian_camel	artiodactyla	2	11
RBPJ	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	11
RBPJL	bison_bison_bison	american_bison	artiodactyla	3	11
RBPJL	ailuropoda_melanoleuca	giant_panda	carnivora	2	20
RBPJL	panthera_pardus	leopard	carnivora	2	20
RBPJ	ailuropoda_melanoleuca	giant_panda	carnivora	2	20
RBPJL	felis_catus	domestic_cat	carnivora	2	20
RBPJL	panthera_leo	lion	carnivora	2	20
RBPJ	vulpes_vulpes	red_fox	carnivora	2	20
RBPJ	lynx_canadensis	canadian_lynx	carnivora	2	20
RBPJ	canis_lupus_dingo	dingo	carnivora	2	20
RBPJL	lynx_canadensis	canadian_lynx	carnivora	2	20
RBPJ	zalophus_californianus	cali_sea_lion	carnivora	2	20
RBPJL	zalophus_californianus	cali_sea_lion	carnivora	2	20
RBPJ	panthera_leo	lion	carnivora	2	20
RBPJL	canis_lupus_dingo	dingo	carnivora	2	20
RBPJL	vulpes_vulpes	red_fox	carnivora	2	20
RBPJ	canis_lupus_familiaris	domestic_dog	carnivora	2	20
RBPJL	ursus_maritimus	polar_bear	carnivora	2	20
RBPJ	ursus_maritimus	polar_bear	carnivora	2	20
RBPJ	felis_catus	domestic_cat	carnivora	2	20
RBPJ	panthera_pardus	leopard	carnivora	2	20
RBPJL	canis_lupus_familiaris	domestic_dog	carnivora	2	20
RBPJL	delphinapterus_leucas	beluga_whale	cetacea	2	2
RBPJ	delphinapterus_leucas	beluga_whale	cetacea	2	2
RBPJL	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
RBPJ	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
RBPJ	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
RBPJL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
RBPJL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	3
RBPJ	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	3
RBPJ	sorex_araneus	european_shrew	eulipotyphyla	1	3
RBPJL	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
RBPJ	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	3	5
RBPJ	ochotona_princeps	american_pika	lagomorpha	2	5
RBPJL	ochotona_princeps	american_pika	lagomorpha	2	5
RBPJ	equus_asinus_asinus	donkey	perissodactyla	2	4
RBPJL	equus_caballus	domestic_horse	perissodactyla	2	4
