SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	equus_asinus_asinus	ENSEASP00005025013	PSZQ01004781.1	1888194	1900248	1	ENSEASG00005017006	ACTL6B	donkey
SEQ	aotus_nancymaae	ENSANAP00000029058	KZ200066.1	335373	346301	1	ENSANAG00000032333	ACTL6B	mas_night_monkey
SEQ	octodon_degus	ENSODEP00000021988	JH651550.1	15957522	15971441	1	ENSODEG00000016158	ACTL6B	degu
SEQ	mus_spicilegus	ENSMSIP00000009436	QGOO01000710.1	257800	273908	-1	ENSMSIG00000008340	Actl6b	steppe_mouse
SEQ	canis_lupus_dingo	ENSCAFP00020017413	QKWQ01002087.1	8949246	8962531	1	ENSCAFG00020013896	ACTL6B	dingo
SEQ	mandrillus_leucophaeus	ENSMLEP00000014693	KN975092.1	447403	459944	1	ENSMLEG00000031514	ACTL6B	drill
SEQ	cercocebus_atys	ENSCATP00000037887	KQ012775.1	3756566	3768548	-1	ENSCATG00000041643	ACTL6B	sooty_mangabey
SEQ	felis_catus	ENSFCAP00000006355	E3	7787610	7800256	-1	ENSFCAG00000006846	ACTL6B	domestic_cat
SEQ	moschus_moschiferus	ENSMMSP00000015796	PVHU021072436.1	189153	200229	1	ENSMMSG00000011987	ACTL6B	siberian_musk_deer
SEQ	carlito_syrichta	ENSTSYP00000005615	KE930001.1	53120	66497	-1	ENSTSYG00000006134	ACTL6B	philippine_tarsier
SEQ	ochotona_princeps	ENSOPRP00000013797	GeneScaffold_2801	220494	224541	-1	ENSOPRG00000015108	ACTL6B	american_pika
SEQ	pteropus_vampyrus	ENSPVAP00000011326	GeneScaffold_3647	293108	304100	-1	ENSPVAG00000012016	ACTL6B	large_flying_fox
SEQ	delphinapterus_leucas	ENSDLEP00000012420	ML702058.1	41910679	41923869	1	ENSDLEG00000009111	ACTL6B	beluga_whale
SEQ	pan_troglodytes	ENSPTRP00000033382	7	103684869	103698241	-1	ENSPTRG00000019500	ACTL6B	chimpanzee
SEQ	equus_caballus	ENSECAP00000012584	13	8945996	8957295	-1	ENSECAG00000014917	ACTL6B	domestic_horse
SEQ	loxodonta_africana	ENSLAFP00000027096	scaffold_152	253187	262522	1	ENSLAFG00000031032	ACTL6B	african_savanna_elephant
SEQ	dasypus_novemcinctus	ENSDNOP00000024257	JH567410.1	133582	143276	1	ENSDNOG00000035063	ACTL6B	nine_banded_armadillo
SEQ	macaca_fascicularis	ENSMFAP00000038808	3	44911831	44924364	-1	ENSMFAG00000038744	ACTL6B	crab_eating_macaque
SEQ	vulpes_vulpes	ENSVVUP00000032331	NBDQ01000165.1	785763	798862	-1	ENSVVUG00000023465	ACTL6B	red_fox
SEQ	pan_troglodytes	ENSPTRP00000064570	KV420980.1	335989	349359	-1	ENSPTRG00000046117	ACTL6B	chimpanzee
SEQ	tupaia_belangeri	ENSTBEP00000000747	GeneScaffold_3646	219953	257939	-1	ENSTBEG00000000853	ACTL6B	nothern_tree_shrew
SEQ	echinops_telfairi	ENSETEP00000004706	scaffold_304719	736	3177	1	ENSETEG00000005792	ACTL6B	lesser_hedgehog_tenrec
SEQ	chinchilla_lanigera	ENSCLAP00000002613	JH722033.1	259117	272118	1	ENSCLAG00000001889	ACTL6B	long_tailed_chinchilla
SEQ	canis_lupus_familiaris	ENSCAFP00000021112	6	9045551	9058912	1	ENSCAFG00000014302	ACTL6B	domestic_dog
SEQ	camelus_dromedarius	ENSCDRP00005023063	18	25632953	25643315	1	ENSCDRG00005015978	ACTL6B	arabian_camel
SEQ	nomascus_leucogenys	ENSNLEP00000014469	17	35650872	35665736	-1	ENSNLEG00000011889	ACTL6B	gibbon
SEQ	castor_canadensis	ENSCCNP00000016353	MTKA01003892.1	21498	26071	-1	ENSCCNG00000016635	Actl6b	american_beaver
SEQ	lynx_canadensis	ENSLCNP00005030007	E3	33589717	33601351	1	ENSLCNG00005019483	ACTL6B	canadian_lynx
SEQ	ursus_maritimus	ENSUMAP00000014735	KK498641.1	7265336	7276502	-1	ENSUMAG00000010798	ACTL6B	polar_bear
SEQ	nannospalax_galili	ENSNGAP00000024136	KL200556.1	2041033	2064489	1	ENSNGAG00000022489	Actl6b	upper_galilee_mountains_blind_mole_rat
SEQ	rattus_norvegicus	ENSRNOP00000001910	12	22194624	22211080	-1	ENSRNOG00000001408	Actl6b	norway_rat
SEQ	ailuropoda_melanoleuca	ENSAMEP00000015605	GL193583.1	216501	227408	1	ENSAMEG00000014795	ACTL6B	giant_panda
SEQ	zalophus_californianus	ENSZCAP00015035136	10	106518000	106530229	1	ENSZCAG00015022131	NULL	cali_sea_lion
SEQ	choloepus_hoffmanni	ENSCHOP00000011927	GeneScaffold_778	455	6915	-1	ENSCHOG00000013473	NULL	Hoffmanns_two_fingered_sloth
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000027033	10	34215530	34224097	1	ENSCHYG00000017969	ACTL6B	central_asian_red_deer
SEQ	oryctolagus_cuniculus	ENSOCUP00000032168	6	27158292	27167472	1	ENSOCUG00000014727	ACTL6B	rabbit
SEQ	procavia_capensis	ENSPCAP00000006036	GeneScaffold_1618	29422	40758	-1	ENSPCAG00000006466	ACTL6B	cape_rock_hyrax
SEQ	mus_musculus	ENSMUSP00000119356	5	137553520	137569582	1	ENSMUSG00000029712	Actl6b	house_mouse
SEQ	sorex_araneus	ENSSARP00000004202	scaffold_235287	28651	39302	-1	ENSSARG00000004601	ACTL6B	european_shrew
SEQ	erinaceus_europaeus	ENSEEUP00000010745	GeneScaffold_827	5011	14926	-1	ENSEEUG00000011765	ACTL6B	western_european_hedgehog
SEQ	zalophus_californianus	ENSZCAP00015034763	10	101389309	101390683	1	ENSZCAG00015021819	NULL	cali_sea_lion
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000004466	23	28914405	28930546	1	ENSPEMG00000006769	Actl6b	prairie_deer_mouse
SEQ	papio_anubis	ENSPANP00000018798	KZ097536.1	46975	59541	1	ENSPANG00000018332	ACTL6B	olive_baboon
SEQ	bison_bison_bison	ENSBBBP00000015152	KN264800.1	383157	393100	-1	ENSBBBG00000022970	ACTL6B	american_bison
SEQ	gorilla_gorilla	ENSGGOP00000016100	7	77433387	77447760	1	ENSGGOG00000016502	ACTL6B	gorilla
SEQ	panthera_pardus	ENSPPRP00000017675	KV860363.1	8746030	8761875	-1	ENSPPRG00000009571	ACTL6B	leopard
SEQ	panthera_leo	ENSPLOP00000024090	F1	29892064	29905084	1	ENSPLOG00000017604	ACTL6B	lion
SEQ	callithrix_jacchus	ENSCJAP00000027896	NTIC01011112.1	188333749	188344182	-1	ENSCJAG00000015106	ACTL6B	white_tufted_ear_marmoset
