Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
OR52N4	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	16	57
NULL	sus_scrofa	wild_boar	artiodactyla	19	57
OR52N5	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	16	57
OR52N5	moschus_moschiferus	siberian_musk_deer	artiodactyla	6	57
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	6	57
OR52N1	camelus_dromedarius	arabian_camel	artiodactyla	6	57
NULL	camelus_dromedarius	arabian_camel	artiodactyla	6	57
OR52N2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	16	57
OR52W1	camelus_dromedarius	arabian_camel	artiodactyla	6	57
OR52N1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	16	57
NULL	bison_bison_bison	american_bison	artiodactyla	10	57
OR52N1	bison_bison_bison	american_bison	artiodactyla	10	57
OR52N1	moschus_moschiferus	siberian_musk_deer	artiodactyla	6	57
OR52W1	sus_scrofa	wild_boar	artiodactyla	19	57
OR52W1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	16	57
OR52W1	bison_bison_bison	american_bison	artiodactyla	10	57
OR52N4	camelus_dromedarius	arabian_camel	artiodactyla	6	57
OR52N5	sus_scrofa	wild_boar	artiodactyla	19	57
OR52L1	bison_bison_bison	american_bison	artiodactyla	10	57
OR52N2	lynx_canadensis	canadian_lynx	carnivora	9	107
NULL	canis_lupus_dingo	dingo	carnivora	11	107
NULL	vulpes_vulpes	red_fox	carnivora	10	107
OR52N2G	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52N1	panthera_pardus	leopard	carnivora	15	107
OR52N4	panthera_pardus	leopard	carnivora	15	107
NULL	panthera_pardus	leopard	carnivora	15	107
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	11	107
OR52W1	panthera_leo	lion	carnivora	11	107
OR52L1	zalophus_californianus	cali_sea_lion	carnivora	7	107
OR52N1	ailuropoda_melanoleuca	giant_panda	carnivora	11	107
OR52N2	panthera_leo	lion	carnivora	11	107
OR52N4	panthera_leo	lion	carnivora	11	107
OR52N2	felis_catus	domestic_cat	carnivora	9	107
OR52W1	canis_lupus_familiaris	domestic_dog	carnivora	13	107
NULL	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52W1	lynx_canadensis	canadian_lynx	carnivora	9	107
OR52N1	vulpes_vulpes	red_fox	carnivora	10	107
NULL	ursus_maritimus	polar_bear	carnivora	11	107
NULL	panthera_leo	lion	carnivora	11	107
OR52W1	zalophus_californianus	cali_sea_lion	carnivora	7	107
OR52W1	panthera_pardus	leopard	carnivora	15	107
OR52N4G	canis_lupus_familiaris	domestic_dog	carnivora	13	107
NULL	lynx_canadensis	canadian_lynx	carnivora	9	107
OR52N4K	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52W1	ailuropoda_melanoleuca	giant_panda	carnivora	11	107
OR52N1	panthera_leo	lion	carnivora	11	107
NULL	zalophus_californianus	cali_sea_lion	carnivora	7	107
OR52N4	lynx_canadensis	canadian_lynx	carnivora	9	107
OR52N4	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52N4	zalophus_californianus	cali_sea_lion	carnivora	7	107
OR52N2	canis_lupus_dingo	dingo	carnivora	11	107
OR52W1	vulpes_vulpes	red_fox	carnivora	10	107
OR52N2	vulpes_vulpes	red_fox	carnivora	10	107
NULL	felis_catus	domestic_cat	carnivora	9	107
OR52L2	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52N2	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52N4	felis_catus	domestic_cat	carnivora	9	107
OR52N2	ailuropoda_melanoleuca	giant_panda	carnivora	11	107
OR52W1	felis_catus	domestic_cat	carnivora	9	107
OR52N2	ursus_maritimus	polar_bear	carnivora	11	107
OR52N5	ursus_maritimus	polar_bear	carnivora	11	107
OR52AE1	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52N5	panthera_pardus	leopard	carnivora	15	107
OR52W1	canis_lupus_dingo	dingo	carnivora	11	107
OR52N1	zalophus_californianus	cali_sea_lion	carnivora	7	107
OR52N1	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52N1	ursus_maritimus	polar_bear	carnivora	11	107
OR52L1	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52P1	canis_lupus_familiaris	domestic_dog	carnivora	13	107
OR52W1	ursus_maritimus	polar_bear	carnivora	11	107
OR52L1	panthera_leo	lion	carnivora	11	107
OR52N1	lynx_canadensis	canadian_lynx	carnivora	9	107
OR52N2	zalophus_californianus	cali_sea_lion	carnivora	7	107
