Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
HADHB	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
ACAA1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
HADHB	sus_scrofa	wild_boar	artiodactyla	2	10
ACAA1	sus_scrofa	wild_boar	artiodactyla	2	10
ACAA1	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
HADHB	camelus_dromedarius	arabian_camel	artiodactyla	2	10
HADHB	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
ACAA1	camelus_dromedarius	arabian_camel	artiodactyla	2	10
ACAA1	bison_bison_bison	american_bison	artiodactyla	2	10
ACAA1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
HADHB	bison_bison_bison	american_bison	artiodactyla	2	10
HADHB	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
ACAA1	ailuropoda_melanoleuca	giant_panda	carnivora	3	26
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	26
ACAA1	panthera_pardus	leopard	carnivora	2	26
NULL	canis_lupus_familiaris	domestic_dog	carnivora	3	26
ACAA1	lynx_canadensis	canadian_lynx	carnivora	2	26
ACAA1	zalophus_californianus	cali_sea_lion	carnivora	4	26
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	3	26
NULL	panthera_leo	lion	carnivora	3	26
HADHB	ursus_maritimus	polar_bear	carnivora	2	26
HADHB	panthera_pardus	leopard	carnivora	2	26
ACAA1	canis_lupus_familiaris	domestic_dog	carnivora	3	26
ACAA1	felis_catus	domestic_cat	carnivora	2	26
ACAA1	ursus_maritimus	polar_bear	carnivora	2	26
HADHB	vulpes_vulpes	red_fox	carnivora	2	26
NULL	canis_lupus_dingo	dingo	carnivora	3	26
ACAA1	vulpes_vulpes	red_fox	carnivora	2	26
HADHB	lynx_canadensis	canadian_lynx	carnivora	2	26
ACAA1	panthera_leo	lion	carnivora	3	26
ACAA1	canis_lupus_dingo	dingo	carnivora	3	26
HADHB	felis_catus	domestic_cat	carnivora	2	26
ACAA1	delphinapterus_leucas	beluga_whale	cetacea	2	2
HADHB	delphinapterus_leucas	beluga_whale	cetacea	2	2
ACAA1	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
HADHB	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
HADHB	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	5
HADHB	sorex_araneus	european_shrew	eulipotyphyla	2	5
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	5
HADHB	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	5
ACAA1	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
HADHB	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	ochotona_princeps	american_pika	lagomorpha	3	6
ACAA1	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
HADHB	ochotona_princeps	american_pika	lagomorpha	3	6
HADHB	equus_asinus_asinus	donkey	perissodactyla	2	2
ACAA1	equus_asinus_asinus	donkey	perissodactyla	2	2
HADHB	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
ACAA1	cercocebus_atys	sooty_mangabey	primates	4	34
NULL	carlito_syrichta	philippine_tarsier	primates	4	34
HADHB	macaca_fascicularis	crab_eating_macaque	primates	4	34
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	34
HADHB	cercocebus_atys	sooty_mangabey	primates	4	34
HADHB	pan_troglodytes	chimpanzee	primates	3	34
ACAA1	pan_troglodytes	chimpanzee	primates	3	34
HADHB	mandrillus_leucophaeus	drill	primates	4	34
ACAA1	carlito_syrichta	philippine_tarsier	primates	4	34
NULL	nomascus_leucogenys	gibbon	primates	3	34
NULL	cercocebus_atys	sooty_mangabey	primates	4	34
ACAA1	mandrillus_leucophaeus	drill	primates	4	34
ACAA1	papio_anubis	olive_baboon	primates	3	34
NULL	gorilla_gorilla	gorilla	primates	3	34
NULL	mandrillus_leucophaeus	drill	primates	4	34
ACAA1	nomascus_leucogenys	gibbon	primates	3	34
HADHB	nomascus_leucogenys	gibbon	primates	3	34
NULL	macaca_fascicularis	crab_eating_macaque	primates	4	34
ACAA1	gorilla_gorilla	gorilla	primates	3	34
NULL	aotus_nancymaae	mas_night_monkey	primates	3	34
NULL	pan_troglodytes	chimpanzee	primates	3	34
HADHB	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	34
ACAA1	aotus_nancymaae	mas_night_monkey	primates	3	34
HADHB	papio_anubis	olive_baboon	primates	3	34
NULL	papio_anubis	olive_baboon	primates	3	34
HADHB	gorilla_gorilla	gorilla	primates	3	34
ACAA1	macaca_fascicularis	crab_eating_macaque	primates	4	34
ACAA1	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
HADHB	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
Hadhb	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	27
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	27
Hadhb	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	27
NULL	castor_canadensis	american_beaver	rodentia	3	27
Hadhb	castor_canadensis	american_beaver	rodentia	3	27
NULL	mus_spicilegus	steppe_mouse	rodentia	3	27
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	27
Acaa1b	mus_musculus	house_mouse	rodentia	3	27
Hadhb	rattus_norvegicus	norway_rat	rodentia	2	27
NULL	octodon_degus	degu	rodentia	3	27
HADHB	cavia_aperea	brazilian_guinea_pig	rodentia	2	27
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	27
HADHB	octodon_degus	degu	rodentia	3	27
Hadhb	mus_musculus	house_mouse	rodentia	3	27
HADHB	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	27
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	27
Acaa1a	mus_musculus	house_mouse	rodentia	3	27
Acaa1a	rattus_norvegicus	norway_rat	rodentia	2	27
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
HADHB	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
