SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	ursus_maritimus	ENSUMAP00000019389	KK498754.1	11286040	11287362	1	ENSUMAG00000014228	ACTL7A	polar_bear
SEQ	mus_musculus	ENSMUSP00000092692	4	56743413	56744925	1	ENSMUSG00000070979	Actl7a	house_mouse
SEQ	octodon_degus	ENSODEP00000026250	JH651609.1	8739208	8740527	1	ENSODEG00000019643	ACTL7A	degu
SEQ	oryctolagus_cuniculus	ENSOCUP00000017039	1	4308408	4309988	-1	ENSOCUG00000011656	ACTL7A	rabbit
SEQ	bison_bison_bison	ENSBBBP00000027125	KN264898.1	5407308	5408690	1	ENSBBBG00000000336	ACTL7A	american_bison
SEQ	callithrix_jacchus	ENSCJAP00000059519	NTIC01000001.1	67094393	67095697	1	ENSCJAG00000041717	NULL	white_tufted_ear_marmoset
SEQ	vulpes_vulpes	ENSVVUP00000038431	NBDQ01000043.1	3469911	3471233	1	ENSVVUG00000027420	ACTL7A	red_fox
SEQ	aotus_nancymaae	ENSANAP00000013499	KZ205940.1	934366	936102	-1	ENSANAG00000024661	NULL	mas_night_monkey
SEQ	felis_catus	ENSFCAP00000010159	D4	71664336	71665658	1	ENSFCAG00000010938	ACTL7A	domestic_cat
SEQ	cavia_aperea	ENSCAPP00000010681	AVPZ01000933.1	1300044	1301366	1	ENSCAPG00000011912	ACTL7A	brazilian_guinea_pig
SEQ	callithrix_jacchus	ENSCJAP00000073969	NTIC01000001.1	59669575	59677519	1	ENSCJAG00000064261	NULL	white_tufted_ear_marmoset
SEQ	canis_lupus_dingo	ENSCAFP00020025900	QKWQ01002178.1	54947717	54949039	1	ENSCAFG00020020374	ACTL7A	dingo
SEQ	sorex_araneus	ENSSARP00000009454	scaffold_255687	2084	3364	-1	ENSSARG00000010474	ACTL7A	european_shrew
SEQ	delphinapterus_leucas	ENSDLEP00000023955	NQVZ02023179.1	4121	5550	1	ENSDLEG00000017360	NULL	beluga_whale
SEQ	equus_asinus_asinus	ENSEASP00005033618	PSZQ01008729.1	9659541	9660955	1	ENSEASG00005023036	ACTL7A	donkey
SEQ	canis_lupus_familiaris	ENSCAFP00000004139	11	64032358	64033788	1	ENSCAFG00000002803	ACTL7A	domestic_dog
SEQ	ailuropoda_melanoleuca	ENSAMEP00000021026	GL192480.1	127297	128619	-1	ENSAMEG00000019972	ACTL7A	giant_panda
SEQ	rattus_norvegicus	ENSRNOP00000022395	5	73496027	73497609	1	ENSRNOG00000016641	Actl7a	norway_rat
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000008445	16	29810886	29812340	1	ENSCHYG00000005384	ACTL7A	central_asian_red_deer
SEQ	dasypus_novemcinctus	ENSDNOP00000023773	JH575483.1	829418	830740	-1	ENSDNOG00000041548	ACTL7A	nine_banded_armadillo
SEQ	nannospalax_galili	ENSNGAP00000004557	KL204666.1	1826854	1828176	-1	ENSNGAG00000006112	Actl7a	upper_galilee_mountains_blind_mole_rat
SEQ	choloepus_hoffmanni	ENSCHOP00000008824	GeneScaffold_7241	1637	2944	1	ENSCHOG00000009972	ACTL7A	Hoffmanns_two_fingered_sloth
SEQ	delphinapterus_leucas	ENSDLEP00000005426	ML702029.1	24626393	24628459	-1	ENSDLEG00000004070	NULL	beluga_whale
SEQ	loxodonta_africana	ENSLAFP00000000620	scaffold_6	50845489	50846811	-1	ENSLAFG00000000735	ACTL7A	african_savanna_elephant
SEQ	chinchilla_lanigera	ENSCLAP00000014969	JH721879.1	18102980	18106405	-1	ENSCLAG00000010320	ACTL7A	long_tailed_chinchilla
SEQ	pteropus_vampyrus	ENSPVAP00000011978	GeneScaffold_2131	90365	91669	1	ENSPVAG00000012700	ACTL7A	large_flying_fox
SEQ	equus_caballus	ENSECAP00000003491	25	14611777	14613123	1	ENSECAG00000005092	ACTL7A	domestic_horse
SEQ	sus_scrofa	ENSSSCP00000005834	1	249883094	249884826	1	ENSSSCG00000005439	ACTL7A	wild_boar
SEQ	castor_canadensis	ENSCCNP00000016125	MTKA01002126.1	467846	474913	-1	ENSCCNG00000016450	NULL	american_beaver
SEQ	zalophus_californianus	ENSZCAP00015017208	13	24243783	24245090	-1	ENSZCAG00015011007	ACTL7A	cali_sea_lion
SEQ	mus_spicilegus	ENSMSIP00000007030	QGOO01037415.1	3807426	3808748	1	ENSMSIG00000006279	Actl7a	steppe_mouse
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000003382	2	77785663	77786985	1	ENSPEMG00000004746	Actl7a	prairie_deer_mouse
SEQ	cercocebus_atys	ENSCATP00000007296	KQ010582.1	2808183	2809490	-1	ENSCATG00000021871	ACTL7A	sooty_mangabey
SEQ	nomascus_leucogenys	ENSNLEP00000022832	1a	26433992	26435299	-1	ENSNLEG00000018973	ACTL7A	gibbon
SEQ	gorilla_gorilla	ENSGGOP00000024717	9	91192068	91193375	1	ENSGGOG00000025495	ACTL7A	gorilla
SEQ	macaca_fascicularis	ENSMFAP00000010319	15	28835724	28837031	-1	ENSMFAG00000006946	ACTL7A	crab_eating_macaque
SEQ	pan_troglodytes	ENSPTRP00000036271	9	86730212	86731519	1	ENSPTRG00000021232	ACTL7A	chimpanzee
SEQ	papio_anubis	ENSPANP00000010504	15	26082669	26083976	-1	ENSPANG00000014060	ACTL7A	olive_baboon
SEQ	panthera_pardus	ENSPPRP00000029580	KV860298.1	12719091	12720398	-1	ENSPPRG00000022234	ACTL7A	leopard
SEQ	mandrillus_leucophaeus	ENSMLEP00000006662	KN979118.1	4382845	4384152	1	ENSMLEG00000027088	ACTL7A	drill
SEQ	moschus_moschiferus	ENSMMSP00000007233	PVHU020012515.1	7873148	7874449	1	ENSMMSG00000005626	ACTL7A	siberian_musk_deer
SEQ	lynx_canadensis	ENSLCNP00005021187	D4	69537832	69539139	1	ENSLCNG00005013837	ACTL7A	canadian_lynx
SEQ	camelus_dromedarius	ENSCDRP00005016434	4	22938304	22939611	-1	ENSCDRG00005011517	ACTL7A	arabian_camel
SEQ	panthera_leo	ENSPLOP00000028668	E1	23274228	23275535	-1	ENSPLOG00000021000	ACTL7A	lion
