Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
ZC3H3	camelus_dromedarius	arabian_camel	artiodactyla	1	5
ZC3H3	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
NULL	bison_bison_bison	american_bison	artiodactyla	1	5
ZC3H3	sus_scrofa	wild_boar	artiodactyla	1	5
ZC3H3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
ZC3H3	lynx_canadensis	canadian_lynx	carnivora	1	10
ZC3H3	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
ZC3H3	canis_lupus_dingo	dingo	carnivora	1	10
ZC3H3	canis_lupus_familiaris	domestic_dog	carnivora	1	10
ZC3H3	vulpes_vulpes	red_fox	carnivora	1	10
ZC3H3	zalophus_californianus	cali_sea_lion	carnivora	1	10
ZC3H3	ursus_maritimus	polar_bear	carnivora	1	10
ZC3H3	panthera_pardus	leopard	carnivora	1	10
ZC3H3	felis_catus	domestic_cat	carnivora	1	10
ZC3H3	panthera_leo	lion	carnivora	1	10
ZC3H3	delphinapterus_leucas	beluga_whale	cetacea	1	1
ZC3H3	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
ZC3H3	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
ZC3H3	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
ZC3H3	equus_caballus	domestic_horse	perissodactyla	1	2
ZC3H3	equus_asinus_asinus	donkey	perissodactyla	1	2
ZC3H3	cercocebus_atys	sooty_mangabey	primates	1	9
ZC3H3	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	9
ZC3H3	aotus_nancymaae	mas_night_monkey	primates	1	9
ZC3H3	macaca_fascicularis	crab_eating_macaque	primates	1	9
ZC3H3	papio_anubis	olive_baboon	primates	1	9
ZC3H3	pan_troglodytes	chimpanzee	primates	1	9
ZC3H3	gorilla_gorilla	gorilla	primates	1	9
ZC3H3	nomascus_leucogenys	gibbon	primates	1	9
ZC3H3	mandrillus_leucophaeus	drill	primates	1	9
Zc3h3	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
ZC3H3	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
ZC3H3	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Zc3h3	rattus_norvegicus	norway_rat	rodentia	1	9
Zc3h3	mus_musculus	house_mouse	rodentia	1	9
Zc3h3	mus_spicilegus	steppe_mouse	rodentia	1	9
Zc3h3	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
ZC3H3	octodon_degus	degu	rodentia	1	9
Zc3h3	castor_canadensis	american_beaver	rodentia	1	9
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
