Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
ND4L	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
ND4L	sus_scrofa	wild_boar	artiodactyla	1	12
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	12
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	12
NULL	bison_bison_bison	american_bison	artiodactyla	2	12
ND4L	ursus_maritimus	polar_bear	carnivora	1	19
NULL	felis_catus	domestic_cat	carnivora	3	19
ND4L	canis_lupus_familiaris	domestic_dog	carnivora	2	19
ND4L	ailuropoda_melanoleuca	giant_panda	carnivora	1	19
NULL	canis_lupus_familiaris	domestic_dog	carnivora	2	19
NULL	lynx_canadensis	canadian_lynx	carnivora	1	19
NULL	vulpes_vulpes	red_fox	carnivora	3	19
NULL	panthera_pardus	leopard	carnivora	4	19
NULL	canis_lupus_dingo	dingo	carnivora	2	19
NULL	panthera_leo	lion	carnivora	1	19
ND4L	panthera_pardus	leopard	carnivora	4	19
ND4L	felis_catus	domestic_cat	carnivora	3	19
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	19
NULL	delphinapterus_leucas	beluga_whale	cetacea	3	3
ND4L	delphinapterus_leucas	beluga_whale	cetacea	3	3
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
ND4L	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
ND4L	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
ND4L	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	5	6
ND4L	oryctolagus_cuniculus	rabbit	lagomorpha	5	6
ND4L	ochotona_princeps	american_pika	lagomorpha	1	6
NULL	equus_caballus	domestic_horse	perissodactyla	2	3
MT-ND4L	equus_caballus	domestic_horse	perissodactyla	2	3
NULL	equus_asinus_asinus	donkey	perissodactyla	1	3
ND4L	macaca_fascicularis	crab_eating_macaque	primates	1	8
NULL	cercocebus_atys	sooty_mangabey	primates	1	8
NULL	pan_troglodytes	chimpanzee	primates	4	8
MT-ND4L	pan_troglodytes	chimpanzee	primates	4	8
ND4L	mandrillus_leucophaeus	drill	primates	1	8
ND4L	gorilla_gorilla	gorilla	primates	1	8
ND4L	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
NULL	castor_canadensis	american_beaver	rodentia	13	19
mt-Nd4l	mus_musculus	house_mouse	rodentia	1	19
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	19
AABR07046778.1	rattus_norvegicus	norway_rat	rodentia	2	19
ND4L	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	19
NULL	mus_spicilegus	steppe_mouse	rodentia	1	19
Mt-nd4l	rattus_norvegicus	norway_rat	rodentia	2	19
ND4L	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
