SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	ursus_maritimus	ENSUMAP00000017460	KK499449.1	5161370	5162971	1	ENSUMAG00000012814	ACTL9	polar_bear
SEQ	ailuropoda_melanoleuca	ENSAMEP00000020005	GL193827.1	350176	351426	-1	ENSAMEG00000018946	ACTL9	giant_panda
SEQ	gorilla_gorilla	ENSGGOP00000013899	19	8527624	8529225	-1	ENSGGOG00000014253	ACTL9	gorilla
SEQ	equus_caballus	ENSECAP00000030484	7	54708276	54712635	1	ENSECAG00000005142	NULL	domestic_horse
SEQ	equus_caballus	ENSECAP00000023462	7	54539919	54544278	1	ENSECAG00000029264	NULL	domestic_horse
SEQ	vulpes_vulpes	ENSVVUP00000034240	NBDQ01000213.1	44032	45282	1	ENSVVUG00000024729	ACTL9	red_fox
SEQ	equus_asinus_asinus	ENSEASP00005022316	PSZQ01007111.1	8981	11023	1	ENSEASG00005015250	NULL	donkey
SEQ	rattus_norvegicus	ENSRNOP00000067593	7	18310624	18312001	1	ENSRNOG00000049571	Actl9	norway_rat
SEQ	canis_lupus_familiaris	ENSCAFP00000027393	20	53178504	53179754	-1	ENSCAFG00000018565	ACTL9	domestic_dog
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000006213	ML112628.1	434759	435994	-1	ENSPEMG00000008495	NULL	prairie_deer_mouse
SEQ	nannospalax_galili	ENSNGAP00000011935	KL202843.1	1569561	1570808	-1	ENSNGAG00000013965	Actl9	upper_galilee_mountains_blind_mole_rat
SEQ	equus_caballus	ENSECAP00000030934	7	54632217	54636576	-1	ENSECAG00000032552	NULL	domestic_horse
SEQ	bison_bison_bison	ENSBBBP00000024734	KN265186.1	5712756	5718987	1	ENSBBBG00000019764	ACTL9	american_bison
SEQ	delphinapterus_leucas	ENSDLEP00000016775	ML702072.1	1664653	1665903	1	ENSDLEG00000012304	ACTL9	beluga_whale
SEQ	rattus_norvegicus	ENSRNOP00000037574	8	4085829	4087175	1	ENSRNOG00000026033	Actl9b	norway_rat
SEQ	mus_musculus	ENSMUSP00000134564	17	33432896	33434268	1	ENSMUSG00000092519	Actl9	house_mouse
SEQ	dasypus_novemcinctus	ENSDNOP00000012213	JH582086.1	324521	325771	1	ENSDNOG00000015751	ACTL9	nine_banded_armadillo
SEQ	canis_lupus_dingo	ENSCAFP00020027881	QKWQ01000751.1	5109860	5111110	1	ENSCAFG00020021887	ACTL9	dingo
SEQ	procavia_capensis	ENSPCAP00000005685	scaffold_92392	4741	6498	-1	ENSPCAG00000006125	ACTL9	cape_rock_hyrax
SEQ	zalophus_californianus	ENSZCAP00015009836	1	5313095	5314837	1	ENSZCAG00015006342	ACTL9	cali_sea_lion
SEQ	mus_spicilegus	ENSMSIP00000006402	QGOO01036640.1	120129	121376	1	ENSMSIG00000005722	Actl9	steppe_mouse
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000004485	22	7710927	7712174	-1	ENSPEMG00000006803	Actl9	prairie_deer_mouse
SEQ	nomascus_leucogenys	ENSNLEP00000022986	10	65571758	65573008	1	ENSNLEG00000019136	ACTL9	gibbon
SEQ	pan_troglodytes	ENSPTRP00000059772	19	9121784	9123034	-1	ENSPTRG00000029143	ACTL9	chimpanzee
SEQ	panthera_pardus	ENSPPRP00000024693	KV860382.1	6372242	6373492	-1	ENSPPRG00000014868	ACTL9	leopard
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000018977	9	15032758	15034008	-1	ENSCHYG00000012673	ACTL9	central_asian_red_deer
SEQ	lynx_canadensis	ENSLCNP00005034271	A2	5165013	5166263	1	ENSLCNG00005022271	ACTL9	canadian_lynx
SEQ	oryctolagus_cuniculus	ENSOCUP00000026992	GL018767	142525	143751	1	ENSOCUG00000029481	ACTL9	rabbit
SEQ	moschus_moschiferus	ENSMMSP00000004893	PVHU020000454.1	2251331	2252581	-1	ENSMMSG00000003682	ACTL9	siberian_musk_deer
SEQ	sus_scrofa	ENSSSCP00000014459	2	70658247	70659497	1	ENSSSCG00000013605	ACTL9	wild_boar
SEQ	panthera_leo	ENSPLOP00000000645	A3	3772888	3774138	1	ENSPLOG00000000500	ACTL9	lion
SEQ	camelus_dromedarius	ENSCDRP00005020095	22	21688211	21689461	1	ENSCDRG00005014023	ACTL9	arabian_camel
SEQ	felis_catus	ENSFCAP00000020977	A2	5423186	5424436	1	ENSFCAG00000027714	ACTL9	domestic_cat
SEQ	callithrix_jacchus	ENSCJAP00000041048	NTIC01011113.1	6145361	6146611	-1	ENSCJAG00000022426	ACTL9	white_tufted_ear_marmoset
