Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
LSM7	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
LSM7	bison_bison_bison	american_bison	artiodactyla	1	5
LSM7	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
LSM7	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
LSM7	camelus_dromedarius	arabian_camel	artiodactyla	1	5
LSM7	sus_scrofa	wild_boar	artiodactyla	1	5
LSM7	felis_catus	domestic_cat	carnivora	1	9
LSM7	canis_lupus_dingo	dingo	carnivora	1	9
LSM7	panthera_pardus	leopard	carnivora	1	9
LSM7	lynx_canadensis	canadian_lynx	carnivora	1	9
LSM7	ursus_maritimus	polar_bear	carnivora	1	9
LSM7	canis_lupus_familiaris	domestic_dog	carnivora	1	9
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	9
LSM7	vulpes_vulpes	red_fox	carnivora	1	9
LSM7	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
LSM7	delphinapterus_leucas	beluga_whale	cetacea	1	1
LSM7	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
LSM7	equus_caballus	domestic_horse	perissodactyla	1	2
LSM7	mandrillus_leucophaeus	drill	primates	1	11
LSM7	papio_anubis	olive_baboon	primates	1	11
NULL	aotus_nancymaae	mas_night_monkey	primates	2	11
LSM7	gorilla_gorilla	gorilla	primates	1	11
LSM7	cercocebus_atys	sooty_mangabey	primates	1	11
LSM7	pan_troglodytes	chimpanzee	primates	1	11
LSM7	macaca_fascicularis	crab_eating_macaque	primates	1	11
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	11
NULL	carlito_syrichta	philippine_tarsier	primates	1	11
LSM7	nomascus_leucogenys	gibbon	primates	1	11
LSM7	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Lsm7	castor_canadensis	american_beaver	rodentia	1	11
NULL	octodon_degus	degu	rodentia	3	11
Lsm7	mus_musculus	house_mouse	rodentia	1	11
LSM7	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
Lsm7	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
LSM7	cavia_aperea	brazilian_guinea_pig	rodentia	1	11
Lsm7	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
NULL	mus_spicilegus	steppe_mouse	rodentia	1	11
Lsm7	rattus_norvegicus	norway_rat	rodentia	1	11
LSM7	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
