Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	16	16
NULL	sus_scrofa	wild_boar	artiodactyla	62	103
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	11	103
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	12	103
NULL	bison_bison_bison	american_bison	artiodactyla	11	103
NULL	camelus_dromedarius	arabian_camel	artiodactyla	7	103
OR6C2	sus_scrofa	wild_boar	artiodactyla	62	103
OR6C68	bison_bison_bison	american_bison	artiodactyla	11	103
OR6C2	camelus_dromedarius	arabian_camel	artiodactyla	7	103
OR6C70	moschus_moschiferus	siberian_musk_deer	artiodactyla	12	103
NULL	canis_lupus_dingo	dingo	carnivora	12	114
NULL	canis_lupus_familiaris	domestic_dog	carnivora	21	114
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	12	114
NULL	panthera_pardus	leopard	carnivora	9	114
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	114
OR6C85	canis_lupus_familiaris	domestic_dog	carnivora	21	114
NULL	vulpes_vulpes	red_fox	carnivora	14	114
OR6C69G	canis_lupus_familiaris	domestic_dog	carnivora	21	114
NULL	lynx_canadensis	canadian_lynx	carnivora	9	114
NULL	ursus_maritimus	polar_bear	carnivora	15	114
OR6C6	canis_lupus_familiaris	domestic_dog	carnivora	21	114
NULL	panthera_leo	lion	carnivora	9	114
NULL	felis_catus	domestic_cat	carnivora	9	114
OR6C70	ailuropoda_melanoleuca	giant_panda	carnivora	12	114
OR6C53	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C17	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C6J	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C89	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C2E	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C6	lynx_canadensis	canadian_lynx	carnivora	9	114
OR6C35	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C2D	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C2H	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C6	ursus_maritimus	polar_bear	carnivora	15	114
OR6C83	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C2G	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C38	canis_lupus_familiaris	domestic_dog	carnivora	21	114
OR6C69	canis_lupus_familiaris	domestic_dog	carnivora	21	114
