Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	7
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	7
MOSPD1	sus_scrofa	wild_boar	artiodactyla	1	7
MOSPD1	bison_bison_bison	american_bison	artiodactyla	1	7
MOSPD1	camelus_dromedarius	arabian_camel	artiodactyla	1	7
MOSPD1	canis_lupus_dingo	dingo	carnivora	1	11
MOSPD1	vulpes_vulpes	red_fox	carnivora	1	11
NULL	ursus_maritimus	polar_bear	carnivora	2	11
MOSPD1	panthera_pardus	leopard	carnivora	1	11
MOSPD1	lynx_canadensis	canadian_lynx	carnivora	1	11
MOSPD1	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
MOSPD1	panthera_leo	lion	carnivora	1	11
MOSPD1	canis_lupus_familiaris	domestic_dog	carnivora	1	11
MOSPD1	felis_catus	domestic_cat	carnivora	1	11
MOSPD1	zalophus_californianus	cali_sea_lion	carnivora	1	11
MOSPD1	delphinapterus_leucas	beluga_whale	cetacea	1	1
MOSPD1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
MOSPD1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
MOSPD1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
MOSPD1	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
MOSPD1	equus_caballus	domestic_horse	perissodactyla	1	2
MOSPD1	equus_asinus_asinus	donkey	perissodactyla	1	2
MOSPD1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
MOSPD1	pan_troglodytes	chimpanzee	primates	1	13
MOSPD1	aotus_nancymaae	mas_night_monkey	primates	1	13
MOSPD1	gorilla_gorilla	gorilla	primates	1	13
MOSPD1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	13
NULL	papio_anubis	olive_baboon	primates	2	13
NULL	macaca_fascicularis	crab_eating_macaque	primates	2	13
MOSPD1	nomascus_leucogenys	gibbon	primates	1	13
MOSPD1	carlito_syrichta	philippine_tarsier	primates	1	13
MOSPD1	cercocebus_atys	sooty_mangabey	primates	1	13
NULL	mandrillus_leucophaeus	drill	primates	2	13
MOSPD1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Mospd1	rattus_norvegicus	norway_rat	rodentia	2	11
NULL	octodon_degus	degu	rodentia	3	11
MOSPD1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
MOSPD1	cavia_aperea	brazilian_guinea_pig	rodentia	1	11
LOC686087	rattus_norvegicus	norway_rat	rodentia	2	11
Mospd1	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
Mospd1	mus_spicilegus	steppe_mouse	rodentia	1	11
Mospd1	mus_musculus	house_mouse	rodentia	1	11
Mospd1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
MOSPD1	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
