Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
PRDX6	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
PRDX6	camelus_dromedarius	arabian_camel	artiodactyla	1	8
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	8
NULL	bison_bison_bison	american_bison	artiodactyla	2	8
PRDX6	sus_scrofa	wild_boar	artiodactyla	1	8
PRDX6	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	8
NULL	lynx_canadensis	canadian_lynx	carnivora	2	15
NULL	panthera_leo	lion	carnivora	6	15
PRDX6	canis_lupus_familiaris	domestic_dog	carnivora	1	15
PRDX6	felis_catus	domestic_cat	carnivora	1	15
PRDX6	canis_lupus_dingo	dingo	carnivora	1	15
PRDX6	vulpes_vulpes	red_fox	carnivora	1	15
PRDX6	ailuropoda_melanoleuca	giant_panda	carnivora	1	15
PRDX6	zalophus_californianus	cali_sea_lion	carnivora	1	15
PRDX6	panthera_pardus	leopard	carnivora	1	15
PRDX6	delphinapterus_leucas	beluga_whale	cetacea	2	2
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
PRDX6	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
PRDX6	sorex_araneus	european_shrew	eulipotyphyla	1	2
PRDX6	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
PRDX6	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	1
NULL	equus_asinus_asinus	donkey	perissodactyla	2	3
PRDX6	equus_caballus	domestic_horse	perissodactyla	1	3
PRDX6	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	aotus_nancymaae	mas_night_monkey	primates	3	16
PRDX6	cercocebus_atys	sooty_mangabey	primates	1	16
PRDX6	nomascus_leucogenys	gibbon	primates	1	16
PRDX6	macaca_fascicularis	crab_eating_macaque	primates	1	16
NULL	pan_troglodytes	chimpanzee	primates	2	16
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	16
NULL	carlito_syrichta	philippine_tarsier	primates	2	16
NULL	gorilla_gorilla	gorilla	primates	2	16
PRDX6	gorilla_gorilla	gorilla	primates	2	16
PRDX6	pan_troglodytes	chimpanzee	primates	2	16
PRDX6	papio_anubis	olive_baboon	primates	1	16
PRDX6	mandrillus_leucophaeus	drill	primates	1	16
PRDX6	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	15
Prdx6b	mus_spicilegus	steppe_mouse	rodentia	2	15
NULL	octodon_degus	degu	rodentia	4	15
NULL	castor_canadensis	american_beaver	rodentia	1	15
Prdx6b	mus_musculus	house_mouse	rodentia	2	15
Prdx6	rattus_norvegicus	norway_rat	rodentia	1	15
PRDX6	cavia_aperea	brazilian_guinea_pig	rodentia	1	15
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	15
Prdx6	mus_spicilegus	steppe_mouse	rodentia	2	15
Prdx6	mus_musculus	house_mouse	rodentia	2	15
PRDX6	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	15
