Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
INPP5D	bison_bison_bison	american_bison	artiodactyla	1	5
INPP5D	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
INPP5D	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
INPP5D	sus_scrofa	wild_boar	artiodactyla	1	5
INPP5D	camelus_dromedarius	arabian_camel	artiodactyla	1	5
INPP5D	panthera_pardus	leopard	carnivora	1	11
INPP5D	panthera_leo	lion	carnivora	1	11
INPP5D	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
NULL	canis_lupus_dingo	dingo	carnivora	2	11
INPP5D	vulpes_vulpes	red_fox	carnivora	1	11
INPP5D	lynx_canadensis	canadian_lynx	carnivora	1	11
INPP5D	felis_catus	domestic_cat	carnivora	1	11
INPP5D	ursus_maritimus	polar_bear	carnivora	1	11
INPP5D	zalophus_californianus	cali_sea_lion	carnivora	1	11
INPP5D	canis_lupus_familiaris	domestic_dog	carnivora	1	11
INPP5D	delphinapterus_leucas	beluga_whale	cetacea	1	1
INPP5D	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
INPP5D	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
INPP5D	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
INPP5D	ochotona_princeps	american_pika	lagomorpha	1	2
INPP5D	equus_asinus_asinus	donkey	perissodactyla	1	2
INPP5D	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
INPP5D	gorilla_gorilla	gorilla	primates	1	10
INPP5D	pan_troglodytes	chimpanzee	primates	1	10
INPP5D	nomascus_leucogenys	gibbon	primates	1	10
INPP5D	papio_anubis	olive_baboon	primates	1	10
INPP5D	aotus_nancymaae	mas_night_monkey	primates	1	10
INPP5D	carlito_syrichta	philippine_tarsier	primates	1	10
INPP5D	cercocebus_atys	sooty_mangabey	primates	1	10
INPP5D	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
INPP5D	macaca_fascicularis	crab_eating_macaque	primates	1	10
INPP5D	mandrillus_leucophaeus	drill	primates	1	10
INPP5D	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
INPP5D	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Inpp5d	castor_canadensis	american_beaver	rodentia	1	9
Inpp5d	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
INPP5D	octodon_degus	degu	rodentia	1	9
Inpp5d	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Inpp5d	mus_musculus	house_mouse	rodentia	1	9
INPP5D	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Inpp5d	mus_spicilegus	steppe_mouse	rodentia	1	9
Inpp5d	rattus_norvegicus	norway_rat	rodentia	1	9
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
