Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
MYO5C	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
MYO5C	camelus_dromedarius	arabian_camel	artiodactyla	1	5
MYO5C	sus_scrofa	wild_boar	artiodactyla	1	5
MYO5C	bison_bison_bison	american_bison	artiodactyla	1	5
MYO5C	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
MYO5C	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
MYO5C	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
MYO5C	ursus_maritimus	polar_bear	carnivora	1	10
NULL	canis_lupus_dingo	dingo	carnivora	2	10
MYO5C	lynx_canadensis	canadian_lynx	carnivora	1	10
MYO5C	zalophus_californianus	cali_sea_lion	carnivora	1	10
MYO5C	panthera_leo	lion	carnivora	1	10
MYO5C	vulpes_vulpes	red_fox	carnivora	1	10
MYO5C	panthera_pardus	leopard	carnivora	1	10
MYO5C	felis_catus	domestic_cat	carnivora	1	10
MYO5C	delphinapterus_leucas	beluga_whale	cetacea	1	1
MYO5C	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
MYO5C	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
MYO5C	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
MYO5C	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
MYO5C	ochotona_princeps	american_pika	lagomorpha	1	2
MYO5C	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	2	2
MYO5C	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
MYO5C	carlito_syrichta	philippine_tarsier	primates	1	10
MYO5C	papio_anubis	olive_baboon	primates	1	10
MYO5C	macaca_fascicularis	crab_eating_macaque	primates	1	10
MYO5C	mandrillus_leucophaeus	drill	primates	1	10
MYO5C	pan_troglodytes	chimpanzee	primates	1	10
MYO5C	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
MYO5C	cercocebus_atys	sooty_mangabey	primates	1	10
MYO5C	aotus_nancymaae	mas_night_monkey	primates	1	10
MYO5C	gorilla_gorilla	gorilla	primates	1	10
MYO5C	nomascus_leucogenys	gibbon	primates	1	10
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
Myo5c	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	8
MYO5C	cavia_aperea	brazilian_guinea_pig	rodentia	1	8
MYO5C	octodon_degus	degu	rodentia	1	8
Myo5c	mus_musculus	house_mouse	rodentia	1	8
Myo5c	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	8
Myo5c	castor_canadensis	american_beaver	rodentia	1	8
Myo5c	rattus_norvegicus	norway_rat	rodentia	1	8
MYO5C	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	8
MYO5C	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
