Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	camelus_dromedarius	arabian_camel	artiodactyla	2	6
PDCD5	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
PDCD5	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
NULL	bison_bison_bison	american_bison	artiodactyla	1	6
PDCD5	sus_scrofa	wild_boar	artiodactyla	1	6
NULL	vulpes_vulpes	red_fox	carnivora	2	14
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	14
NULL	ursus_maritimus	polar_bear	carnivora	1	14
NULL	canis_lupus_dingo	dingo	carnivora	1	14
NULL	panthera_leo	lion	carnivora	1	14
PDCD5	ailuropoda_melanoleuca	giant_panda	carnivora	1	14
PDCD5	felis_catus	domestic_cat	carnivora	1	14
PDCD5	canis_lupus_familiaris	domestic_dog	carnivora	1	14
PDCD5	lynx_canadensis	canadian_lynx	carnivora	1	14
PDCD5	panthera_pardus	leopard	carnivora	1	14
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
PDCD5	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
PDCD5	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
PDCD5	ochotona_princeps	american_pika	lagomorpha	1	2
PDCD5	equus_asinus_asinus	donkey	perissodactyla	1	2
PDCD5	equus_caballus	domestic_horse	perissodactyla	1	2
PDCD5	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	6	16
PDCD5	macaca_fascicularis	crab_eating_macaque	primates	1	16
PDCD5	pan_troglodytes	chimpanzee	primates	2	16
PDCD5	carlito_syrichta	philippine_tarsier	primates	1	16
PDCD5	cercocebus_atys	sooty_mangabey	primates	1	16
PDCD5	nomascus_leucogenys	gibbon	primates	1	16
PDCD5	gorilla_gorilla	gorilla	primates	1	16
NULL	pan_troglodytes	chimpanzee	primates	2	16
NULL	aotus_nancymaae	mas_night_monkey	primates	1	16
NULL	mandrillus_leucophaeus	drill	primates	1	16
PDCD5	papio_anubis	olive_baboon	primates	1	16
PDCD5	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Pdcd5	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	17
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	6	17
Pdcd5	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	17
NULL	mus_spicilegus	steppe_mouse	rodentia	1	17
RGD1564319	rattus_norvegicus	norway_rat	rodentia	3	17
NULL	octodon_degus	degu	rodentia	2	17
NEWGENE_1310561	rattus_norvegicus	norway_rat	rodentia	3	17
Pdcd5	rattus_norvegicus	norway_rat	rodentia	3	17
Pdcd5	mus_musculus	house_mouse	rodentia	1	17
Pdcd5	castor_canadensis	american_beaver	rodentia	1	17
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	17
