Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
SH2D1B	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
SH2D1B	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
SH2D1B	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
SH2D1B	bison_bison_bison	american_bison	artiodactyla	1	4
SH2D1B	camelus_dromedarius	arabian_camel	artiodactyla	1	4
SH2D1B	panthera_pardus	leopard	carnivora	1	2
SH2D1B	canis_lupus_dingo	dingo	carnivora	1	2
SH2D1B	delphinapterus_leucas	beluga_whale	cetacea	1	1
SH2D1B	equus_caballus	domestic_horse	perissodactyla	1	1
SH2D1B	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
SH2D1B	aotus_nancymaae	mas_night_monkey	primates	1	9
SH2D1B	gorilla_gorilla	gorilla	primates	1	9
SH2D1B	cercocebus_atys	sooty_mangabey	primates	1	9
SH2D1B	papio_anubis	olive_baboon	primates	1	9
SH2D1B	pan_troglodytes	chimpanzee	primates	1	9
SH2D1B	macaca_fascicularis	crab_eating_macaque	primates	1	9
SH2D1B	mandrillus_leucophaeus	drill	primates	1	9
SH2D1B	nomascus_leucogenys	gibbon	primates	1	9
SH2D1B	carlito_syrichta	philippine_tarsier	primates	1	9
Sh2d1b2	rattus_norvegicus	norway_rat	rodentia	2	8
NULL	castor_canadensis	american_beaver	rodentia	1	8
Sh2d1b2	mus_spicilegus	steppe_mouse	rodentia	2	8
Sh2d1b1	mus_spicilegus	steppe_mouse	rodentia	2	8
Sh2d1b1	mus_musculus	house_mouse	rodentia	2	8
Sh2d1b2	mus_musculus	house_mouse	rodentia	2	8
SH2D1B	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	8
Sh2d1b	rattus_norvegicus	norway_rat	rodentia	2	8
