Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
TMEM167A	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	bison_bison_bison	american_bison	artiodactyla	2	8
TMEM167A	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	8
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	8
TMEM167A	camelus_dromedarius	arabian_camel	artiodactyla	1	8
NULL	sus_scrofa	wild_boar	artiodactyla	1	8
NULL	zalophus_californianus	cali_sea_lion	carnivora	3	19
NULL	panthera_pardus	leopard	carnivora	3	19
NULL	vulpes_vulpes	red_fox	carnivora	2	19
NULL	lynx_canadensis	canadian_lynx	carnivora	3	19
NULL	felis_catus	domestic_cat	carnivora	3	19
TMEM167A	canis_lupus_familiaris	domestic_dog	carnivora	1	19
NULL	panthera_leo	lion	carnivora	3	19
TMEM167A	ursus_maritimus	polar_bear	carnivora	1	19
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
TMEM167A	sorex_araneus	european_shrew	eulipotyphyla	1	2
TMEM167A	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
TMEM167A	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	3
TMEM167A	ochotona_princeps	american_pika	lagomorpha	1	3
TMEM167A	equus_asinus_asinus	donkey	perissodactyla	1	2
TMEM167A	equus_caballus	domestic_horse	perissodactyla	1	2
TMEM167A	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	pan_troglodytes	chimpanzee	primates	2	12
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	12
TMEM167A	carlito_syrichta	philippine_tarsier	primates	1	12
TMEM167A	mandrillus_leucophaeus	drill	primates	1	12
TMEM167A	macaca_fascicularis	crab_eating_macaque	primates	1	12
TMEM167A	aotus_nancymaae	mas_night_monkey	primates	1	12
TMEM167A	papio_anubis	olive_baboon	primates	1	12
TMEM167A	cercocebus_atys	sooty_mangabey	primates	1	12
TMEM167A	pan_troglodytes	chimpanzee	primates	2	12
TMEM167A	gorilla_gorilla	gorilla	primates	1	12
TMEM167A	nomascus_leucogenys	gibbon	primates	1	12
TMEM167A	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	octodon_degus	degu	rodentia	2	12
Tmem167	mus_musculus	house_mouse	rodentia	1	12
Tmem167	mus_spicilegus	steppe_mouse	rodentia	1	12
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	12
NULL	castor_canadensis	american_beaver	rodentia	2	12
TMEM167A	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	12
Tmem167	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	12
TMEM167A	cavia_aperea	brazilian_guinea_pig	rodentia	1	12
Tmem167a	rattus_norvegicus	norway_rat	rodentia	1	12
TMEM167A	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
