Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	camelus_dromedarius	arabian_camel	artiodactyla	9	58
NULL	sus_scrofa	wild_boar	artiodactyla	20	58
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	58
TRAV3	camelus_dromedarius	arabian_camel	artiodactyla	9	58
NULL	bison_bison_bison	american_bison	artiodactyla	13	58
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	7	58
TRAV16	moschus_moschiferus	siberian_musk_deer	artiodactyla	7	58
TRAV16	sus_scrofa	wild_boar	artiodactyla	20	58
TRAV8-7	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	58
TRAV16	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	58
TRAV3	sus_scrofa	wild_boar	artiodactyla	20	58
NULL	ursus_maritimus	polar_bear	carnivora	5	46
NULL	vulpes_vulpes	red_fox	carnivora	2	46
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	3	46
NULL	canis_lupus_familiaris	domestic_dog	carnivora	2	46
NULL	lynx_canadensis	canadian_lynx	carnivora	6	46
NULL	panthera_leo	lion	carnivora	8	46
NULL	felis_catus	domestic_cat	carnivora	9	46
NULL	panthera_pardus	leopard	carnivora	5	46
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	46
TRAV3	felis_catus	domestic_cat	carnivora	9	46
NULL	canis_lupus_dingo	dingo	carnivora	2	46
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	14	14
TRAV3	dasypus_novemcinctus	nine_banded_armadillo	cingulata	14	14
TRAV16	dasypus_novemcinctus	nine_banded_armadillo	cingulata	14	14
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	5	5
NULL	equus_caballus	domestic_horse	perissodactyla	35	48
NULL	equus_asinus_asinus	donkey	perissodactyla	13	48
TRAV3	equus_asinus_asinus	donkey	perissodactyla	13	48
NULL	papio_anubis	olive_baboon	primates	5	54
NULL	nomascus_leucogenys	gibbon	primates	7	54
TRAV8-6	cercocebus_atys	sooty_mangabey	primates	5	54
NULL	pan_troglodytes	chimpanzee	primates	9	54
TRAV8-2	gorilla_gorilla	gorilla	primates	7	54
TRAV8-7	aotus_nancymaae	mas_night_monkey	primates	6	54
TRAV8-4	gorilla_gorilla	gorilla	primates	7	54
TRAV16	macaca_fascicularis	crab_eating_macaque	primates	5	54
NULL	cercocebus_atys	sooty_mangabey	primates	5	54
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	6	54
NULL	gorilla_gorilla	gorilla	primates	7	54
TRAV3	macaca_fascicularis	crab_eating_macaque	primates	5	54
NULL	aotus_nancymaae	mas_night_monkey	primates	6	54
NULL	mandrillus_leucophaeus	drill	primates	4	54
TRAV3	papio_anubis	olive_baboon	primates	5	54
TRAV8-6	mandrillus_leucophaeus	drill	primates	4	54
TRAV8-3	aotus_nancymaae	mas_night_monkey	primates	6	54
TRAV3	mandrillus_leucophaeus	drill	primates	4	54
TRAV3	cercocebus_atys	sooty_mangabey	primates	5	54
TRAV8-3	callithrix_jacchus	white_tufted_ear_marmoset	primates	6	54
TRAV8-1	callithrix_jacchus	white_tufted_ear_marmoset	primates	6	54
TRAV8-6	macaca_fascicularis	crab_eating_macaque	primates	5	54
TRAV16	aotus_nancymaae	mas_night_monkey	primates	6	54
TRAV3	callithrix_jacchus	white_tufted_ear_marmoset	primates	6	54
TRAV3	gorilla_gorilla	gorilla	primates	7	54
NULL	macaca_fascicularis	crab_eating_macaque	primates	5	54
TRAV16	cercocebus_atys	sooty_mangabey	primates	5	54
TRAV16	papio_anubis	olive_baboon	primates	5	54
TRAV8-6	aotus_nancymaae	mas_night_monkey	primates	6	54
TRAV8-6	papio_anubis	olive_baboon	primates	5	54
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	12	12
LOC688340	rattus_norvegicus	norway_rat	rodentia	22	51
AABR07017825.3	rattus_norvegicus	norway_rat	rodentia	22	51
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	8	51
Trav9n-3	mus_musculus	house_mouse	rodentia	11	51
NULL	castor_canadensis	american_beaver	rodentia	7	51
AABR07046563.1	rattus_norvegicus	norway_rat	rodentia	22	51
Trav9n-4	mus_musculus	house_mouse	rodentia	11	51
AABR07017748.1	rattus_norvegicus	norway_rat	rodentia	22	51
Trav17	mus_musculus	house_mouse	rodentia	11	51
AABR07017809.1	rattus_norvegicus	norway_rat	rodentia	22	51
AABR07017676.2	rattus_norvegicus	norway_rat	rodentia	22	51
AABR07017768.2	rattus_norvegicus	norway_rat	rodentia	22	51
Trav9-1	mus_musculus	house_mouse	rodentia	11	51
AABR07017773.1	rattus_norvegicus	norway_rat	rodentia	22	51
LOC103693854	rattus_norvegicus	norway_rat	rodentia	22	51
Trav17	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	8	51
AABR07017647.1	rattus_norvegicus	norway_rat	rodentia	22	51
AABR07017658.1	rattus_norvegicus	norway_rat	rodentia	22	51
AABR07017772.1	rattus_norvegicus	norway_rat	rodentia	22	51
