Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
KIFC1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
KIFC1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
KIFC1	camelus_dromedarius	arabian_camel	artiodactyla	1	5
KIFC1	sus_scrofa	wild_boar	artiodactyla	1	5
KIFC1	bison_bison_bison	american_bison	artiodactyla	1	5
KIFC1	ursus_maritimus	polar_bear	carnivora	1	9
NULL	felis_catus	domestic_cat	carnivora	2	9
KIFC1	zalophus_californianus	cali_sea_lion	carnivora	1	9
KIFC1	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
KIFC1	canis_lupus_familiaris	domestic_dog	carnivora	1	9
KIFC1	lynx_canadensis	canadian_lynx	carnivora	1	9
KIFC1	panthera_pardus	leopard	carnivora	1	9
KIFC1	panthera_leo	lion	carnivora	1	9
KIFC1	delphinapterus_leucas	beluga_whale	cetacea	1	1
KIFC1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
KIFC1	ochotona_princeps	american_pika	lagomorpha	1	2
KIFC1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
KIFC1	equus_asinus_asinus	donkey	perissodactyla	1	2
KIFC1	equus_caballus	domestic_horse	perissodactyla	1	2
KIFC1	nomascus_leucogenys	gibbon	primates	1	10
KIFC1	macaca_fascicularis	crab_eating_macaque	primates	1	10
KIFC1	mandrillus_leucophaeus	drill	primates	1	10
KIFC1	pan_troglodytes	chimpanzee	primates	1	10
KIFC1	cercocebus_atys	sooty_mangabey	primates	1	10
KIFC1	gorilla_gorilla	gorilla	primates	1	10
KIFC1	aotus_nancymaae	mas_night_monkey	primates	1	10
KIFC1	papio_anubis	olive_baboon	primates	1	10
KIFC1	carlito_syrichta	philippine_tarsier	primates	1	10
KIFC1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
Kifc1	mus_musculus	house_mouse	rodentia	2	9
NULL	castor_canadensis	american_beaver	rodentia	1	9
KIFC1	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
KIFC1	octodon_degus	degu	rodentia	1	9
Kifc5b	mus_musculus	house_mouse	rodentia	2	9
Kifc1	rattus_norvegicus	norway_rat	rodentia	1	9
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
KIFC1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
