gene_stable_id	protein_stable_id	species	identity	homology_type	homology_gene_stable_id	homology_protein_stable_id	homology_species	homology_identity	dn	ds	goc_score	wga_coverage	is_high_confidence	homology_id	common_name
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	80.4196	ortholog_one2one	ENSCHOG00000009477	ENSCHOP00000008395	choloepus_hoffmanni	86.0349			0.0		0.0	106739764	Hoffmann's_two_fingered_sloth
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.7669	ortholog_one2one	ENSDNOG00000011367	ENSDNOP00000008813	dasypus_novemcinctus	99.7669			100.0		1.0	107330019	nine_banded_armadillo
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	76.9231	ortholog_one2one	ENSEEUG00000012092	ENSEEUP00000011049	erinaceus_europaeus	98.5075			25.0		0.0	109889155	western_european_hedgehog
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	97.2028	ortholog_one2one	ENSETEG00000019357	ENSETEP00000015728	echinops_telfairi	97.2028			50.0		0.0	111970147	lesser_hedgehog_tenrec
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.5338	ortholog_one2one	ENSMFAG00000030153	ENSMFAP00000014208	macaca_fascicularis	99.5338			50.0	0.0	0.0	116093520	crab_eating_macaque
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.5338	ortholog_one2one	ENSPANG00000024431	ENSPANP00000008057	papio_anubis	99.5338			100.0	0.0	1.0	124036844	olive_baboon
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.5338	ortholog_one2one	ENSCATG00000017467	ENSCATP00000005293	cercocebus_atys	99.5338			50.0		0.0	127376056	sooty_mangabey
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.5338	ortholog_one2one	ENSGGOG00000015710	ENSGGOP00000015328	gorilla_gorilla	99.5338			100.0	0.0	1.0	131458947	gorilla
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	97.669	ortholog_one2one	ENSMLEG00000034199	ENSMLEP00000020223	mandrillus_leucophaeus	97.4419			100.0		1.0	131997194	drill
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	97.669	ortholog_one2one	ENSPTRG00000023973	ENSPTRP00000072699	pan_troglodytes	97.4419			100.0	0.0	1.0	134091337	chimpanzee
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	98.1352	ortholog_one2one	ENSCAFG00000011364	ENSCAFP00000016743	canis_lupus_familiaris	92.936			100.0	100.0	1.0	137807511	domestic_dog
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	98.1352	ortholog_one2one	ENSVVUG00000004812	ENSVVUP00000006176	vulpes_vulpes	94.1834			100.0	0.0	1.0	147656572	red_fox
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	98.1352	ortholog_one2one	ENSAMEG00000010856	ENSAMEP00000011422	ailuropoda_melanoleuca	98.1352			100.0		1.0	147801563	giant_panda
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	100.0	ortholog_one2one	ENSZCAG00015000172	ENSZCAP00015000229	zalophus_californianus	100.0			100.0	0.0	1.0	149162128	cali_sea_lion
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.3007	ortholog_one2one	ENSUMAG00000007556	ENSUMAP00000010040	ursus_maritimus	92.4078			100.0		1.0	149250909	polar_bear
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.7669	ortholog_one2one	ENSSSCG00000011762	ENSSSCP00000012532	sus_scrofa	99.7669			100.0	0.0	1.0	149561303	wild_boar
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.7669	ortholog_one2one	ENSCDRG00005000384	ENSCDRP00005000490	camelus_dromedarius	99.7669			100.0	0.0	1.0	149636108	arabian_camel
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	78.3217	ortholog_one2one	ENSCAPG00000014138	ENSCAPP00000013540	cavia_aperea	91.3043			100.0	0.0	1.0	149745286	brazilian_guinea_pig
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.3007	ortholog_one2one	ENSCCNG00000029613	ENSCCNP00000031035	castor_canadensis	99.3007			100.0		1.0	149887930	american_beaver
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	90.2098	ortholog_one2one	ENSEASG00005016862	ENSEASP00005024780	equus_asinus_asinus	100.0			100.0		1.0	149997669	donkey
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	98.8345	ortholog_one2one	ENSPEMG00000015742	ENSPEMP00000016541	peromyscus_maniculatus_bairdii	98.8345			100.0	0.0	1.0	150054050	prairie_deer_mouse
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	76.69	ortholog_one2one	ENSSARG00000013987	ENSSARP00000012646	sorex_araneus	90.137			0.0		0.0	150119256	european_shrew
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	100.0	ortholog_one2one	ENSPLOG00000014922	ENSPLOP00000020390	panthera_leo	100.0			100.0	100.0	1.0	150187412	lion
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.5338	ortholog_one2one	ENSCLAG00000012251	ENSCLAP00000017858	chinchilla_lanigera	99.5338			100.0		1.0	150313682	long_tailed_chinchilla
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	100.0	ortholog_one2one	ENSCHYG00000019950	ENSCHYP00000029784	cervus_hanglu_yarkandensis	100.0			100.0	0.0	1.0	150442145	central_asian_red_deer
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	98.6014	ortholog_one2one	ENSRNOG00000011553	ENSRNOP00000015460	rattus_norvegicus	98.6014			100.0	0.0	1.0	150490599	norway_rat
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	98.8345	ortholog_one2one	ENSLAFG00000013530	ENSLAFP00000011318	loxodonta_africana	98.8345			75.0	0.0	1.0	150510303	african_savanna_elephant
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	100.0	ortholog_one2one	ENSPPRG00000000310	ENSPPRP00000004090	panthera_pardus	100.0			100.0	100.0	1.0	150656419	leopard
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	94.8718	ortholog_one2one	ENSNLEG00000035913	ENSNLEP00000027914	nomascus_leucogenys	96.6746			100.0	0.0	1.0	150903750	gibbon
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	97.669	ortholog_one2one	ENSTSYG00000001527	ENSTSYP00000001422	carlito_syrichta	97.2158			100.0		1.0	150941211	philippine_tarsier
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	77.8555	ortholog_one2one	ENSOPRG00000007803	ENSOPRP00000007148	ochotona_princeps	79.5238			50.0		0.0	151029110	american_pika
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	100.0	ortholog_one2one	ENSBBBG00000004132	ENSBBBP00000008664	bison_bison_bison	100.0			100.0		1.0	151538263	american_bison
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	100.0	ortholog_one2one	ENSCAFG00020023126	ENSCAFP00020029646	canis_lupus_dingo	100.0			100.0	58.94	1.0	151854802	dingo
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	100.0	ortholog_one2one	ENSECAG00000013622	ENSECAP00000011372	equus_caballus	100.0			100.0	0.0	1.0	151964302	domestic_horse
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.5338	ortholog_one2one	ENSOCUG00000017883	ENSOCUP00000015364	oryctolagus_cuniculus	99.5338			100.0	100.0	1.0	152349108	rabbit
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	98.8345	ortholog_one2one	ENSMUSG00000027671	ENSMUSP00000029214	mus_musculus	98.8345			100.0	0.0	1.0	152661846	house_mouse
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	99.3007	ortholog_one2one	ENSPVAG00000004278	ENSPVAP00000004053	pteropus_vampyrus	99.3007			50.0		0.0	153296838	large_flying_fox
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	96.9697	ortholog_one2one	ENSMSIG00000031649	ENSMSIP00000037990	mus_spicilegus	95.1945			100.0		1.0	155563404	steppe_mouse
ENSFCAG00000012364	ENSFCAP00000011471	felis_catus	76.9231	ortholog_one2one	ENSPCAG00000016438	ENSPCAP00000015403	procavia_capensis	77.2834			50.0		0.0	166451190	cape_rock_hyrax
