Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
SRSF3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	bison_bison_bison	american_bison	artiodactyla	5	16
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	16
SRSF7	sus_scrofa	wild_boar	artiodactyla	2	16
SRSF7	bison_bison_bison	american_bison	artiodactyla	5	16
SRSF7	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	16
SRSF7	camelus_dromedarius	arabian_camel	artiodactyla	2	16
SRSF3	camelus_dromedarius	arabian_camel	artiodactyla	2	16
SRSF7	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	16
SRSF3	sus_scrofa	wild_boar	artiodactyla	2	16
SRSF3	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	16
NULL	panthera_pardus	leopard	carnivora	3	28
NULL	felis_catus	domestic_cat	carnivora	4	28
SRSF7	ursus_maritimus	polar_bear	carnivora	3	28
SRSF7	vulpes_vulpes	red_fox	carnivora	3	28
NULL	vulpes_vulpes	red_fox	carnivora	3	28
SRSF3	ailuropoda_melanoleuca	giant_panda	carnivora	2	28
SRSF3	canis_lupus_familiaris	domestic_dog	carnivora	3	28
SRSF3	panthera_leo	lion	carnivora	2	28
NULL	canis_lupus_dingo	dingo	carnivora	3	28
NULL	lynx_canadensis	canadian_lynx	carnivora	3	28
SRSF7	canis_lupus_dingo	dingo	carnivora	3	28
SRSF3	canis_lupus_dingo	dingo	carnivora	3	28
SRSF7	felis_catus	domestic_cat	carnivora	4	28
SRSF7	panthera_pardus	leopard	carnivora	3	28
SRSF7	panthera_leo	lion	carnivora	2	28
SRSF7	ailuropoda_melanoleuca	giant_panda	carnivora	2	28
SRSF7	canis_lupus_familiaris	domestic_dog	carnivora	3	28
SRSF3	lynx_canadensis	canadian_lynx	carnivora	3	28
SRSF3	vulpes_vulpes	red_fox	carnivora	3	28
SRSF7	zalophus_californianus	cali_sea_lion	carnivora	2	28
SRSF3	ursus_maritimus	polar_bear	carnivora	3	28
NULL	canis_lupus_familiaris	domestic_dog	carnivora	3	28
NULL	ursus_maritimus	polar_bear	carnivora	3	28
SRSF3	zalophus_californianus	cali_sea_lion	carnivora	2	28
NULL	delphinapterus_leucas	beluga_whale	cetacea	5	5
SRSF7	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
SRSF3	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
SRSF3	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
SRSF7	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
SRSF3	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	2
SRSF7	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	2
SRSF7	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
SRSF3	ochotona_princeps	american_pika	lagomorpha	2	3
SRSF3	oryctolagus_cuniculus	rabbit	lagomorpha	1	3
SRSF7	ochotona_princeps	american_pika	lagomorpha	2	3
SRSF7	equus_asinus_asinus	donkey	perissodactyla	1	4
SRSF3	equus_caballus	domestic_horse	perissodactyla	3	4
NULL	equus_caballus	domestic_horse	perissodactyla	3	4
SRSF7	equus_caballus	domestic_horse	perissodactyla	3	4
SRSF3	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
SRSF7	papio_anubis	olive_baboon	primates	3	29
NULL	aotus_nancymaae	mas_night_monkey	primates	4	29
NULL	gorilla_gorilla	gorilla	primates	4	29
SRSF7	nomascus_leucogenys	gibbon	primates	3	29
SRSF3	cercocebus_atys	sooty_mangabey	primates	2	29
SRSF7	pan_troglodytes	chimpanzee	primates	3	29
SRSF3	pan_troglodytes	chimpanzee	primates	3	29
SRSF3	macaca_fascicularis	crab_eating_macaque	primates	2	29
SRSF3	mandrillus_leucophaeus	drill	primates	2	29
SRSF7	callithrix_jacchus	white_tufted_ear_marmoset	primates	4	29
NULL	papio_anubis	olive_baboon	primates	3	29
SRSF3	nomascus_leucogenys	gibbon	primates	3	29
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	4	29
SRSF7	gorilla_gorilla	gorilla	primates	4	29
SRSF7	carlito_syrichta	philippine_tarsier	primates	2	29
SRSF7	cercocebus_atys	sooty_mangabey	primates	2	29
NULL	nomascus_leucogenys	gibbon	primates	3	29
SRSF7	macaca_fascicularis	crab_eating_macaque	primates	2	29
SRSF3	carlito_syrichta	philippine_tarsier	primates	2	29
SRSF7	mandrillus_leucophaeus	drill	primates	2	29
SRSF7	aotus_nancymaae	mas_night_monkey	primates	4	29
NULL	pan_troglodytes	chimpanzee	primates	3	29
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
SRSF7	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	6	27
SRSF7	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	27
NULL	octodon_degus	degu	rodentia	3	27
Srsf7	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	6	27
Srsf7	mus_spicilegus	steppe_mouse	rodentia	6	27
Srsf3	castor_canadensis	american_beaver	rodentia	2	27
NULL	mus_spicilegus	steppe_mouse	rodentia	6	27
Srsf7	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	27
Srsf7	castor_canadensis	american_beaver	rodentia	2	27
Srsf3	mus_musculus	house_mouse	rodentia	2	27
Srsf7	mus_musculus	house_mouse	rodentia	2	27
AABR07055789.1	rattus_norvegicus	norway_rat	rodentia	3	27
SRSF3	cavia_aperea	brazilian_guinea_pig	rodentia	1	27
SRSF3	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	27
Srsf7	rattus_norvegicus	norway_rat	rodentia	3	27
Srsf3	rattus_norvegicus	norway_rat	rodentia	3	27
Srsf3	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	27
SRSF3	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
SRSF7	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
