SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene
SEQ	chinchilla_lanigera	ENSCLAP00000025980	JH721882.1	27650277	27651317	-1	ENSCLAG00000018112	NULL
SEQ	equus_asinus_asinus	ENSEASP00005012239	PSZQ01004655.1	24919147	24919884	-1	ENSEASG00005008546	NULL
SEQ	rattus_norvegicus	ENSRNOP00000052202	3	150055749	150056789	1	ENSRNOG00000036864	Actl10
SEQ	oryctolagus_cuniculus	ENSOCUP00000000743	4	6018998	6020839	-1	ENSOCUG00000000854	NULL
SEQ	mus_musculus	ENSMUSP00000100532	2	154551776	154553276	1	ENSMUSG00000078129	Actl10
SEQ	castor_canadensis	ENSCCNP00000029036	MTKA01001730.1	127352	129064	1	ENSCCNG00000027877	Actl10
SEQ	nannospalax_galili	ENSNGAP00000021252	AXCS01356039.1	3962	4920	1	ENSNGAG00000020489	Actl10
SEQ	procavia_capensis	ENSPCAP00000014737	GeneScaffold_774	63916	64653	1	ENSPCAG00000015815	NULL
SEQ	canis_lupus_dingo	ENSCAFP00020006100	QKWQ01002044.1	22974268	22975005	1	ENSCAFG00020004965	NULL
SEQ	ursus_maritimus	ENSUMAP00000033445	KK498684.1	454714	455451	-1	ENSUMAG00000024114	NULL
SEQ	erinaceus_europaeus	ENSEEUP00000004280	GeneScaffold_7709	5	1021	1	ENSEEUG00000004726	NULL
SEQ	mus_spicilegus	ENSMSIP00000001400	QGOO01000321.1	230513	231553	1	ENSMSIG00000001387	Actl10
SEQ	vulpes_vulpes	ENSVVUP00000006186	NBDQ01000080.1	8342154	8342891	-1	ENSVVUG00000004819	ACTL10
SEQ	felis_catus	ENSFCAP00000004641	A3	25633344	25634627	-1	ENSFCAG00000005015	ACTL10
SEQ	delphinapterus_leucas	ENSDLEP00000025348	ML702046.1	25262418	25263155	-1	ENSDLEG00000018420	NULL
SEQ	dasypus_novemcinctus	ENSDNOP00000026041	JH568738.1	375229	375963	1	ENSDNOG00000032070	NULL
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000031423	23	59592620	59593759	1	ENSCHYG00000021085	NULL
SEQ	echinops_telfairi	ENSETEP00000015382	scaffold_307557	4940	5539	1	ENSETEG00000018934	NULL
SEQ	pan_troglodytes	ENSPTRP00000071266	KV421323.1	216330	217067	1	ENSPTRG00000044260	NULL
SEQ	loxodonta_africana	ENSLAFP00000015174	scaffold_19	32843847	32844944	1	ENSLAFG00000018108	NULL
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000029923	4	129092915	129093946	1	ENSPEMG00000026578	Actl10
SEQ	cercocebus_atys	ENSCATP00000007528	KQ012663.1	27842211	27842948	1	ENSCATG00000022465	NULL
SEQ	macaca_fascicularis	ENSMFAP00000014285	10	65004599	65005336	1	ENSMFAG00000030273	NULL
SEQ	gorilla_gorilla	ENSGGOP00000043695	20	32309872	32310609	1	ENSGGOG00000042107	NULL
SEQ	papio_anubis	ENSPANP00000009113	10	30713923	30714660	-1	ENSPANG00000004544	NULL
SEQ	bison_bison_bison	ENSBBBP00000023526	KN265067.1	649349	650086	1	ENSBBBG00000018177	NULL
SEQ	pan_troglodytes	ENSPTRP00000090248	20	35053976	35054713	1	ENSPTRG00000047541	ACTL10
SEQ	panthera_pardus	ENSPPRP00000025114	KV860304.1	21170497	21171234	-1	ENSPPRG00000015321	NULL
SEQ	mandrillus_leucophaeus	ENSMLEP00000002228	KN979070.1	344539	345276	1	ENSMLEG00000008960	NULL
SEQ	zalophus_californianus	ENSZCAP00015014435	8	115095273	115096010	1	ENSZCAG00015009221	NULL
SEQ	sus_scrofa	ENSSSCP00000060722	17	37169906	37170643	1	ENSSSCG00000044750	NULL
SEQ	lynx_canadensis	ENSLCNP00005007247	A3	25008398	25009135	-1	ENSLCNG00005004752	NULL
SEQ	equus_caballus	ENSECAP00000000848	22	25391136	25391873	1	ENSECAG00000001232	ACTL10
SEQ	canis_lupus_familiaris	ENSCAFP00000011043	24	22886924	22887661	1	ENSCAFG00000007430	ACTL10
SEQ	camelus_dromedarius	ENSCDRP00005016223	19	22996653	22997390	1	ENSCDRG00005011389	NULL
SEQ	panthera_leo	ENSPLOP00000022607	B1	112609324	112610061	1	ENSPLOG00000016575	NULL
SEQ	callithrix_jacchus	ENSCJAP00000077801	NTIC01034389.1	3455951	3456688	-1	ENSCJAG00000058257	NULL
SEQ	moschus_moschiferus	ENSMMSP00000016195	PVHU021072394.1	10844285	10845022	-1	ENSMMSG00000012331	NULL
