Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
CRAMP1	sus_scrofa	wild_boar	artiodactyla	1	5
CRAMP1	camelus_dromedarius	arabian_camel	artiodactyla	1	5
CRAMP1	bison_bison_bison	american_bison	artiodactyla	1	5
CRAMP1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
CRAMP1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
CRAMP1	panthera_leo	lion	carnivora	1	10
CRAMP1	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
CRAMP1	canis_lupus_dingo	dingo	carnivora	1	10
CRAMP1	ursus_maritimus	polar_bear	carnivora	1	10
CRAMP1	zalophus_californianus	cali_sea_lion	carnivora	1	10
CRAMP1	canis_lupus_familiaris	domestic_dog	carnivora	1	10
CRAMP1	lynx_canadensis	canadian_lynx	carnivora	1	10
JPT2	vulpes_vulpes	red_fox	carnivora	1	10
CRAMP1	felis_catus	domestic_cat	carnivora	1	10
CRAMP1	panthera_pardus	leopard	carnivora	1	10
CRAMP1	delphinapterus_leucas	beluga_whale	cetacea	1	1
CRAMP1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
CRAMP1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
CRAMP1	ochotona_princeps	american_pika	lagomorpha	1	2
CRAMP1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
CRAMP1	equus_asinus_asinus	donkey	perissodactyla	1	2
CRAMP1	equus_caballus	domestic_horse	perissodactyla	1	2
CRAMP1	aotus_nancymaae	mas_night_monkey	primates	1	10
CRAMP1	pan_troglodytes	chimpanzee	primates	1	10
CRAMP1	gorilla_gorilla	gorilla	primates	1	10
CRAMP1	cercocebus_atys	sooty_mangabey	primates	1	10
CRAMP1	carlito_syrichta	philippine_tarsier	primates	1	10
CRAMP1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
CRAMP1	papio_anubis	olive_baboon	primates	1	10
CRAMP1	mandrillus_leucophaeus	drill	primates	1	10
CRAMP1	nomascus_leucogenys	gibbon	primates	1	10
CRAMP1	macaca_fascicularis	crab_eating_macaque	primates	1	10
CRAMP1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
CRAMP1	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Cramp1	rattus_norvegicus	norway_rat	rodentia	1	9
Cramp1l	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Cramp1l	mus_musculus	house_mouse	rodentia	1	9
Cramp1l	mus_spicilegus	steppe_mouse	rodentia	1	9
CRAMP1	octodon_degus	degu	rodentia	1	9
Cramp1l	castor_canadensis	american_beaver	rodentia	1	9
CRAMP1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Cramp1l	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
