Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	sus_scrofa	wild_boar	artiodactyla	1	5
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	5
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
NULL	bison_bison_bison	american_bison	artiodactyla	1	5
NULL	felis_catus	domestic_cat	carnivora	1	9
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
NULL	canis_lupus_familiaris	domestic_dog	carnivora	1	9
NULL	ursus_maritimus	polar_bear	carnivora	1	9
NULL	canis_lupus_dingo	dingo	carnivora	1	9
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	9
NULL	lynx_canadensis	canadian_lynx	carnivora	1	9
NULL	panthera_leo	lion	carnivora	1	9
NULL	vulpes_vulpes	red_fox	carnivora	1	9
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	papio_anubis	olive_baboon	primates	1	10
PAM16	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
NULL	macaca_fascicularis	crab_eating_macaque	primates	1	10
NULL	carlito_syrichta	philippine_tarsier	primates	1	10
CORO7	pan_troglodytes	chimpanzee	primates	1	10
NULL	aotus_nancymaae	mas_night_monkey	primates	1	10
NULL	mandrillus_leucophaeus	drill	primates	1	10
NULL	cercocebus_atys	sooty_mangabey	primates	1	10
NULL	nomascus_leucogenys	gibbon	primates	1	10
NULL	gorilla_gorilla	gorilla	primates	1	10
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Coro7	mus_spicilegus	steppe_mouse	rodentia	1	9
Coro7	mus_musculus	house_mouse	rodentia	1	9
NULL	octodon_degus	degu	rodentia	1	9
Coro7	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Coro7	castor_canadensis	american_beaver	rodentia	1	9
Coro7	rattus_norvegicus	norway_rat	rodentia	1	9
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Coro7	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
