Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
CDC34	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
CDC34	camelus_dromedarius	arabian_camel	artiodactyla	1	5
CDC34	bison_bison_bison	american_bison	artiodactyla	1	5
CDC34	sus_scrofa	wild_boar	artiodactyla	1	5
CDC34	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
CDC34	canis_lupus_familiaris	domestic_dog	carnivora	1	11
CDC34	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
CDC34	panthera_leo	lion	carnivora	1	11
NULL	panthera_pardus	leopard	carnivora	2	11
CDC34	vulpes_vulpes	red_fox	carnivora	1	11
CDC34	ursus_maritimus	polar_bear	carnivora	1	11
CDC34	felis_catus	domestic_cat	carnivora	1	11
CDC34	canis_lupus_dingo	dingo	carnivora	1	11
CDC34	panthera_pardus	leopard	carnivora	2	11
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	11
CDC34	lynx_canadensis	canadian_lynx	carnivora	1	11
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
CDC34	delphinapterus_leucas	beluga_whale	cetacea	2	2
CDC34	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
CDC34	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
CDC34	ochotona_princeps	american_pika	lagomorpha	1	2
CDC34	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	equus_caballus	domestic_horse	perissodactyla	1	2
CDC34	papio_anubis	olive_baboon	primates	1	10
CDC34	macaca_fascicularis	crab_eating_macaque	primates	1	10
CDC34	cercocebus_atys	sooty_mangabey	primates	1	10
CDC34	mandrillus_leucophaeus	drill	primates	1	10
CDC34	carlito_syrichta	philippine_tarsier	primates	1	10
NULL	nomascus_leucogenys	gibbon	primates	1	10
CDC34	gorilla_gorilla	gorilla	primates	1	10
CDC34	aotus_nancymaae	mas_night_monkey	primates	1	10
CDC34	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
CDC34	pan_troglodytes	chimpanzee	primates	1	10
CDC34	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
CDC34	octodon_degus	degu	rodentia	1	11
CDC34	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
CDC34	cavia_aperea	brazilian_guinea_pig	rodentia	1	11
NULL	castor_canadensis	american_beaver	rodentia	1	11
Cdc34b	mus_musculus	house_mouse	rodentia	2	11
Cdc34	mus_spicilegus	steppe_mouse	rodentia	2	11
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
Cdc34b	mus_spicilegus	steppe_mouse	rodentia	2	11
Cdc34	mus_musculus	house_mouse	rodentia	2	11
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
Cdc34	rattus_norvegicus	norway_rat	rodentia	1	11
