SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName	Order
SEQ	echinops_telfairi	ENSETEP00000004359	GeneScaffold_3635	729	9049	1	ENSETEG00000005367	NULL	lesser_hedgehog_tenrec	afrosoricida
SEQ	bison_bison_bison	ENSBBBP00000021913	KN265094.1	1813092	1885580	-1	ENSBBBG00000006993	NULL	american_bison	artiodactyla
SEQ	moschus_moschiferus	ENSMMSP00000010958	PVHU020009889.1	4887591	4964424	-1	ENSMMSG00000008408	NULL	siberian_musk_deer	artiodactyla
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000020440	18	107249016	107318896	1	ENSCHYG00000013620	NULL	central_asian_red_deer	artiodactyla
SEQ	camelus_dromedarius	ENSCDRP00005018821	7	82438304	82499687	1	ENSCDRG00005013078	NULL	arabian_camel	artiodactyla
SEQ	sus_scrofa	ENSSSCP00000062849	18	4640689	4748222	-1	ENSSSCG00000016426	NULL	wild_boar	artiodactyla
SEQ	panthera_pardus	ENSPPRP00000015293	KV860372.1	2087252	2185226	1	ENSPPRG00000007943	NULL	leopard	carnivora
SEQ	panthera_leo	ENSPLOP00000004585	A3	157588045	157677518	1	ENSPLOG00000003354	NULL	lion	carnivora
SEQ	felis_catus	ENSFCAP00000052227	A2	166546239	166636737	1	ENSFCAG00000005546	NULL	domestic_cat	carnivora
SEQ	ailuropoda_melanoleuca	ENSAMEP00000014001	GL192435.1	1217959	1280899	-1	ENSAMEG00000013262	NULL	giant_panda	carnivora
SEQ	canis_lupus_dingo	ENSCAFP00020006616	QKWQ01000528.1	24990815	25074655	-1	ENSCAFG00020005358	NULL	dingo	carnivora
SEQ	ursus_maritimus	ENSUMAP00000021897	KK498573.1	4679504	4744218	-1	ENSUMAG00000016012	NULL	polar_bear	carnivora
SEQ	canis_lupus_familiaris	ENSCAFP00000037793	16	16470853	16555259	1	ENSCAFG00000004971	ACTR3B	domestic_dog	carnivora
