Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
CXXC5	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
CXXC5	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
CXXC4	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
CXXC5	bison_bison_bison	american_bison	artiodactyla	2	10
CXXC5	sus_scrofa	wild_boar	artiodactyla	2	10
CXXC4	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
CXXC4	sus_scrofa	wild_boar	artiodactyla	2	10
CXXC5	camelus_dromedarius	arabian_camel	artiodactyla	2	10
CXXC4	camelus_dromedarius	arabian_camel	artiodactyla	2	10
CXXC4	bison_bison_bison	american_bison	artiodactyla	2	10
NULL	ursus_maritimus	polar_bear	carnivora	1	18
CXXC4	canis_lupus_familiaris	domestic_dog	carnivora	1	18
CXXC5	canis_lupus_dingo	dingo	carnivora	2	18
CXXC5	ailuropoda_melanoleuca	giant_panda	carnivora	2	18
CXXC5	panthera_pardus	leopard	carnivora	2	18
CXXC5	felis_catus	domestic_cat	carnivora	2	18
CXXC4	vulpes_vulpes	red_fox	carnivora	2	18
CXXC4	canis_lupus_dingo	dingo	carnivora	2	18
CXXC5	lynx_canadensis	canadian_lynx	carnivora	2	18
CXXC4	panthera_leo	lion	carnivora	2	18
CXXC5	vulpes_vulpes	red_fox	carnivora	2	18
CXXC4	felis_catus	domestic_cat	carnivora	2	18
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	18
CXXC5	panthera_leo	lion	carnivora	2	18
CXXC4	panthera_pardus	leopard	carnivora	2	18
CXXC5	zalophus_californianus	cali_sea_lion	carnivora	2	18
CXXC4	zalophus_californianus	cali_sea_lion	carnivora	2	18
CXXC4	lynx_canadensis	canadian_lynx	carnivora	2	18
CXXC4	delphinapterus_leucas	beluga_whale	cetacea	2	2
CXXC5	delphinapterus_leucas	beluga_whale	cetacea	2	2
CXXC5	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
CXXC4	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
CXXC5	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
CXXC5	sorex_araneus	european_shrew	eulipotyphyla	2	3
CXXC5	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	3
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	3
CXXC4	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
CXXC5	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
CXXC5	ochotona_princeps	american_pika	lagomorpha	1	2
CXXC5	equus_caballus	domestic_horse	perissodactyla	2	4
CXXC4	equus_asinus_asinus	donkey	perissodactyla	2	4
CXXC4	equus_caballus	domestic_horse	perissodactyla	2	4
CXXC5	equus_asinus_asinus	donkey	perissodactyla	2	4
CXXC5	papio_anubis	olive_baboon	primates	2	19
CXXC4	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	19
CXXC5	macaca_fascicularis	crab_eating_macaque	primates	2	19
CXXC4	papio_anubis	olive_baboon	primates	2	19
NULL	gorilla_gorilla	gorilla	primates	2	19
CXXC4	cercocebus_atys	sooty_mangabey	primates	2	19
CXXC4	aotus_nancymaae	mas_night_monkey	primates	2	19
CXXC5	nomascus_leucogenys	gibbon	primates	2	19
CXXC5	cercocebus_atys	sooty_mangabey	primates	2	19
CXXC5	pan_troglodytes	chimpanzee	primates	2	19
CXXC4	mandrillus_leucophaeus	drill	primates	2	19
CXXC4	pan_troglodytes	chimpanzee	primates	2	19
CXXC4	nomascus_leucogenys	gibbon	primates	2	19
CXXC5	aotus_nancymaae	mas_night_monkey	primates	2	19
CXXC5	mandrillus_leucophaeus	drill	primates	2	19
CXXC5	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	19
CXXC4	carlito_syrichta	philippine_tarsier	primates	1	19
CXXC5	gorilla_gorilla	gorilla	primates	2	19
CXXC4	macaca_fascicularis	crab_eating_macaque	primates	2	19
CXXC5	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
Cxxc5	castor_canadensis	american_beaver	rodentia	2	18
Cxxc4	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	18
Cxxc5	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	18
Cxxc4	castor_canadensis	american_beaver	rodentia	2	18
Cxxc4	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	18
Cxxc4	mus_musculus	house_mouse	rodentia	2	18
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	18
Cxxc4	mus_spicilegus	steppe_mouse	rodentia	2	18
Cxxc4	rattus_norvegicus	norway_rat	rodentia	3	18
CXXC5	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	18
NULL	octodon_degus	degu	rodentia	2	18
Cxxc5	mus_musculus	house_mouse	rodentia	2	18
CXXC5	octodon_degus	degu	rodentia	2	18
Cxxc5	rattus_norvegicus	norway_rat	rodentia	3	18
AABR07041600.1	rattus_norvegicus	norway_rat	rodentia	3	18
Cxxc5	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	18
Cxxc5	mus_spicilegus	steppe_mouse	rodentia	2	18
CXXC5	cavia_aperea	brazilian_guinea_pig	rodentia	1	18
CXXC5	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
