Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
ACOT9	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
ACOT9	camelus_dromedarius	arabian_camel	artiodactyla	1	5
ACOT9	sus_scrofa	wild_boar	artiodactyla	1	5
ACOT9	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
ACOT9	bison_bison_bison	american_bison	artiodactyla	1	5
ACOT9	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
ACOT9	panthera_leo	lion	carnivora	1	10
ACOT9	lynx_canadensis	canadian_lynx	carnivora	1	10
ACOT9	ursus_maritimus	polar_bear	carnivora	1	10
ACOT9	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
ACOT9	canis_lupus_familiaris	domestic_dog	carnivora	1	10
ACOT9	felis_catus	domestic_cat	carnivora	1	10
ACOT9	vulpes_vulpes	red_fox	carnivora	1	10
ACOT9	zalophus_californianus	cali_sea_lion	carnivora	1	10
ACOT9	panthera_pardus	leopard	carnivora	1	10
ACOT9	canis_lupus_dingo	dingo	carnivora	1	10
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
ACOT9	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
ACOT9	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	3
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	3
ACOT9	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
ACOT9	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
ACOT9	equus_asinus_asinus	donkey	perissodactyla	1	2
ACOT9	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	pan_troglodytes	chimpanzee	primates	2	11
ACOT9	macaca_fascicularis	crab_eating_macaque	primates	1	11
ACOT9	gorilla_gorilla	gorilla	primates	1	11
ACOT9	papio_anubis	olive_baboon	primates	1	11
NULL	carlito_syrichta	philippine_tarsier	primates	2	11
ACOT9	aotus_nancymaae	mas_night_monkey	primates	1	11
ACOT9	pan_troglodytes	chimpanzee	primates	2	11
ACOT9	nomascus_leucogenys	gibbon	primates	1	11
ACOT9	cercocebus_atys	sooty_mangabey	primates	1	11
ACOT9	mandrillus_leucophaeus	drill	primates	1	11
ACOT9	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
Acot9	rattus_norvegicus	norway_rat	rodentia	1	11
NULL	octodon_degus	degu	rodentia	2	11
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
ACOT9	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
Acot10	mus_musculus	house_mouse	rodentia	2	11
Acot10	mus_spicilegus	steppe_mouse	rodentia	2	11
NULL	castor_canadensis	american_beaver	rodentia	1	11
Acot9	mus_spicilegus	steppe_mouse	rodentia	2	11
Acot9	mus_musculus	house_mouse	rodentia	2	11
ACOT9	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
