Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
APOO	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
APOOL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	11
NULL	camelus_dromedarius	arabian_camel	artiodactyla	3	11
APOO	sus_scrofa	wild_boar	artiodactyla	2	11
APOOL	sus_scrofa	wild_boar	artiodactyla	2	11
APOO	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
APOOL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	11
NULL	bison_bison_bison	american_bison	artiodactyla	1	11
APOOL	camelus_dromedarius	arabian_camel	artiodactyla	3	11
APOOL	canis_lupus_dingo	dingo	carnivora	7	40
NULL	panthera_leo	lion	carnivora	4	40
APOO	ursus_maritimus	polar_bear	carnivora	2	40
NULL	canis_lupus_dingo	dingo	carnivora	7	40
APOO	ailuropoda_melanoleuca	giant_panda	carnivora	2	40
APOOL	felis_catus	domestic_cat	carnivora	2	40
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	40
NULL	panthera_pardus	leopard	carnivora	5	40
APOOL	vulpes_vulpes	red_fox	carnivora	5	40
NULL	vulpes_vulpes	red_fox	carnivora	5	40
NULL	canis_lupus_familiaris	domestic_dog	carnivora	6	40
APOOL	lynx_canadensis	canadian_lynx	carnivora	3	40
APOO	panthera_pardus	leopard	carnivora	5	40
NULL	lynx_canadensis	canadian_lynx	carnivora	3	40
APOO	felis_catus	domestic_cat	carnivora	2	40
APOOL	canis_lupus_familiaris	domestic_dog	carnivora	6	40
APOOL	ailuropoda_melanoleuca	giant_panda	carnivora	2	40
APOOL	zalophus_californianus	cali_sea_lion	carnivora	4	40
APOOL	ursus_maritimus	polar_bear	carnivora	2	40
APOO	delphinapterus_leucas	beluga_whale	cetacea	3	3
NULL	delphinapterus_leucas	beluga_whale	cetacea	3	3
APOO	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
APOOL	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
APOO	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
APOO	sorex_araneus	european_shrew	eulipotyphyla	2	3
APOO	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	3
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	3
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	4	5
APOOL	oryctolagus_cuniculus	rabbit	lagomorpha	4	5
APOO	ochotona_princeps	american_pika	lagomorpha	1	5
NULL	equus_asinus_asinus	donkey	perissodactyla	3	8
APOO	equus_caballus	domestic_horse	perissodactyla	5	8
NULL	equus_caballus	domestic_horse	perissodactyla	5	8
APOOL	equus_caballus	domestic_horse	perissodactyla	5	8
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
APOOL	pan_troglodytes	chimpanzee	primates	4	38
NULL	aotus_nancymaae	mas_night_monkey	primates	7	38
NULL	nomascus_leucogenys	gibbon	primates	3	38
NULL	macaca_fascicularis	crab_eating_macaque	primates	4	38
NULL	mandrillus_leucophaeus	drill	primates	3	38
NULL	gorilla_gorilla	gorilla	primates	4	38
APOOL	nomascus_leucogenys	gibbon	primates	3	38
NULL	papio_anubis	olive_baboon	primates	3	38
NULL	cercocebus_atys	sooty_mangabey	primates	4	38
APOO	mandrillus_leucophaeus	drill	primates	3	38
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	38
APOO	cercocebus_atys	sooty_mangabey	primates	4	38
APOO	pan_troglodytes	chimpanzee	primates	4	38
APOO	gorilla_gorilla	gorilla	primates	4	38
APOOL	macaca_fascicularis	crab_eating_macaque	primates	4	38
APOO	papio_anubis	olive_baboon	primates	3	38
NULL	carlito_syrichta	philippine_tarsier	primates	3	38
NULL	pan_troglodytes	chimpanzee	primates	4	38
APOO	macaca_fascicularis	crab_eating_macaque	primates	4	38
APOO	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
APOOL	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
Apoo	rattus_norvegicus	norway_rat	rodentia	2	14
NULL	mus_spicilegus	steppe_mouse	rodentia	2	14
Apool	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
Apoo	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
APOO	octodon_degus	degu	rodentia	2	14
Apoo	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	14
APOOL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	14
Apool	mus_musculus	house_mouse	rodentia	2	14
Apool	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	14
APOO	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	14
APOOL	octodon_degus	degu	rodentia	2	14
Apoo	mus_musculus	house_mouse	rodentia	2	14
Apool	rattus_norvegicus	norway_rat	rodentia	2	14
APOOL	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
APOO	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
