SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene
SEQ	ursus_maritimus	ENSUMAP00000030322	KK498595.1	13031098	13090583	-1	ENSUMAG00000021936	CEMIP2
SEQ	gorilla_gorilla	ENSGGOP00000009978	9	53425540	53511529	-1	ENSGGOG00000010214	CEMIP2
SEQ	mus_musculus	ENSMUSP00000063277	7	83932857	84086502	-1	ENSMUSG00000052353	Cemip
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000003308	1	153829377	153894857	1	ENSPEMG00000004550	Cemip2
SEQ	canis_lupus_dingo	ENSCAFP00020033324	QKWQ01000848.1	86504978	86562530	1	ENSCAFG00020025690	CEMIP2
SEQ	mus_spicilegus	ENSMSIP00000020334	QGOO01036235.1	289912	358070	-1	ENSMSIG00000017202	Cemip
SEQ	delphinapterus_leucas	ENSDLEP00000012667	ML702060.1	21053346	21130856	1	ENSDLEG00000009313	TMEM2
SEQ	camelus_dromedarius	ENSCDRP00005025424	27	20204008	20268215	-1	ENSCDRG00005017507	CEMIP
SEQ	cavia_aperea	ENSCAPP00000001456	AVPZ01000134.1	22783292	22835441	-1	ENSCAPG00000002744	CEMIP2
SEQ	castor_canadensis	ENSCCNP00000009200	MTKA01002734.1	89456	151444	1	ENSCCNG00000009609	Cemip
SEQ	canis_lupus_dingo	ENSCAFP00020019908	QKWQ01000898.1	35304413	35361516	1	ENSCAFG00020015762	CEMIP
SEQ	choloepus_hoffmanni	ENSCHOP00000003287	GeneScaffold_3486	8294	67437	-1	ENSCHOG00000003708	CEMIP2
SEQ	nomascus_leucogenys	ENSNLEP00000010991	6	100421225	100496837	1	ENSNLEG00000009016	CEMIP
SEQ	moschus_moschiferus	ENSMMSP00000028653	PVHU021072495.1	2980059	3142027	-1	ENSMMSG00000021478	CEMIP
SEQ	mus_musculus	ENSMUSP00000093908	19	21778342	21858327	1	ENSMUSG00000024754	Cemip2
SEQ	ochotona_princeps	ENSOPRP00000011167	GeneScaffold_2165	25420	66090	-1	ENSOPRG00000012218	CEMIP2
SEQ	sus_scrofa	ENSSSCP00000072176	7	49622536	49792543	1	ENSSSCG00000038929	CEMIP
SEQ	felis_catus	ENSFCAP00000057746	B3	2066315	2156482	1	ENSFCAG00000012937	CEMIP
SEQ	lynx_canadensis	ENSLCNP00005028654	D4	13942609	14029367	-1	ENSLCNG00005018625	CEMIP2
SEQ	dasypus_novemcinctus	ENSDNOP00000003867	JH569292.1	322062	403587	-1	ENSDNOG00000004993	CEMIP2
SEQ	callithrix_jacchus	ENSCJAP00000014449	NTIC01035500.1	24761068	24934000	-1	ENSCJAG00000007708	CEMIP
SEQ	zalophus_californianus	ENSZCAP00015020918	7	143662614	143719058	-1	ENSZCAG00015013358	CEMIP
SEQ	ailuropoda_melanoleuca	ENSAMEP00000007613	GL192399.1	2356669	2414800	-1	ENSAMEG00000007213	CEMIP2
SEQ	pan_troglodytes	ENSPTRP00000012587	15	61993998	62072650	1	ENSPTRG00000007365	CEMIP
SEQ	papio_anubis	ENSPANP00000014344	7	55484417	55653384	1	ENSPANG00000015672	CEMIP
SEQ	octodon_degus	ENSODEP00000006652	JH651602.1	1399904	1461420	1	ENSODEG00000004973	CEMIP2
SEQ	felis_catus	ENSFCAP00000042116	D4	14020289	14086352	-1	ENSFCAG00000010639	CEMIP2
SEQ	equus_caballus	ENSECAP00000019147	23	18615027	18670051	1	ENSECAG00000021484	CEMIP2
SEQ	pteropus_vampyrus	ENSPVAP00000015137	GeneScaffold_1597	50909	101433	-1	ENSPVAG00000016038	CEMIP2
SEQ	carlito_syrichta	ENSTSYP00000011364	KE930061.1	157882	232982	-1	ENSTSYG00000012380	CEMIP2
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000034056	29	44349699	44406568	-1	ENSCHYG00000022818	CEMIP2
SEQ	ochotona_princeps	ENSOPRP00000001847	GeneScaffold_4093	477459	530741	1	ENSOPRG00000001976	CEMIP
SEQ	cercocebus_atys	ENSCATP00000029767	KQ009536.1	7583304	7661813	-1	ENSCATG00000038083	CEMIP
SEQ	panthera_leo	ENSPLOP00000016680	B4	1355183	1407911	1	ENSPLOG00000011977	CEMIP
SEQ	cercocebus_atys	ENSCATP00000020722	KQ012774.1	24628645	24715494	-1	ENSCATG00000034104	CEMIP2
SEQ	chinchilla_lanigera	ENSCLAP00000021406	JH721894.1	1400949	1478440	1	ENSCLAG00000014658	CEMIP2
SEQ	gorilla_gorilla	ENSGGOP00000004449	15	59676921	59755516	1	ENSGGOG00000004531	CEMIP
SEQ	delphinapterus_leucas	ENSDLEP00000009483	ML702062.1	6287602	6441812	1	ENSDLEG00000006917	CEMIP
SEQ	loxodonta_africana	ENSLAFP00000013103	scaffold_6	22013055	22082429	1	ENSLAFG00000015624	CEMIP2
SEQ	mus_spicilegus	ENSMSIP00000014657	QGOO01037445.1	4686399	4766232	-1	ENSMSIG00000012610	Cemip2
SEQ	equus_asinus_asinus	ENSEASP00005009944	PSZQ01000652.1	3208395	3271809	1	ENSEASG00005007005	CEMIP
SEQ	ursus_maritimus	ENSUMAP00000014202	KK498567.1	6064876	6121870	-1	ENSUMAG00000010401	CEMIP
SEQ	procavia_capensis	ENSPCAP00000011341	GeneScaffold_1455	10515	85036	1	ENSPCAG00000012042	CEMIP
SEQ	nannospalax_galili	ENSNGAP00000019384	KL202521.1	2416358	2494439	-1	ENSNGAG00000019214	Cemip2
SEQ	castor_canadensis	ENSCCNP00000019417	MTKA01002672.1	18888	78117	1	ENSCCNG00000019489	Cemip2
SEQ	canis_lupus_familiaris	ENSCAFP00000002671	1	85945557	86019195	1	ENSCAFG00000001825	CEMIP2
SEQ	tupaia_belangeri	ENSTBEP00000000668	GeneScaffold_2521	270321	372316	1	ENSTBEG00000000734	CEMIP
SEQ	mandrillus_leucophaeus	ENSMLEP00000007352	KN979307.1	5571671	5657916	-1	ENSMLEG00000027674	CEMIP2
SEQ	callithrix_jacchus	ENSCJAP00000002634	NTIC01000001.1	122406878	122468576	-1	ENSCJAG00000001452	CEMIP2
SEQ	sus_scrofa	ENSSSCP00000005651	1	224962696	225041539	-1	ENSSSCG00000024257	CEMIP2
SEQ	canis_lupus_familiaris	ENSCAFP00000062532	3	56726493	56861885	-1	ENSCAFG00000013863	CEMIP
SEQ	zalophus_californianus	ENSZCAP00015021124	13	81376340	81451900	1	ENSZCAG00015013498	CEMIP2
SEQ	erinaceus_europaeus	ENSEEUP00000010089	GeneScaffold_3856	14901	187707	-1	ENSEEUG00000011031	CEMIP2
SEQ	lynx_canadensis	ENSLCNP00005013785	B3	1843796	1868780	1	ENSLCNG00005009025	CEMIP
SEQ	pan_troglodytes	ENSPTRP00000039570	9	48866553	48952251	-1	ENSPTRG00000021016	CEMIP2
SEQ	rattus_norvegicus	ENSRNOP00000070973	1	239398043	239474255	1	ENSRNOG00000012782	Cemip2
SEQ	vulpes_vulpes	ENSVVUP00000006172	NBDQ01000002.1	35691508	35830040	1	ENSVVUG00000004803	CEMIP
SEQ	moschus_moschiferus	ENSMMSP00000006115	PVHU020000574.1	5706919	5786443	-1	ENSMMSG00000004575	CEMIP2
SEQ	echinops_telfairi	ENSETEP00000005469	GeneScaffold_3752	3321	167185	-1	ENSETEG00000006730	CEMIP2
SEQ	vulpes_vulpes	ENSVVUP00000004728	NBDQ01000038.1	7364878	7444312	1	ENSVVUG00000003729	CEMIP2
SEQ	panthera_leo	ENSPLOP00000015986	E1	77014982	77078397	1	ENSPLOG00000011681	CEMIP2
SEQ	echinops_telfairi	ENSETEP00000013775	GeneScaffold_1620	91797	224599	1	ENSETEG00000016971	CEMIP
SEQ	ailuropoda_melanoleuca	ENSAMEP00000006553	GL192648.1	1008252	1065819	-1	ENSAMEG00000006176	CEMIP
SEQ	bison_bison_bison	ENSBBBP00000002219	KN264896.1	1596074	1662379	1	ENSBBBG00000002077	CEMIP
SEQ	mandrillus_leucophaeus	ENSMLEP00000007875	KN974695.1	1557075	1635674	-1	ENSMLEG00000027906	CEMIP
SEQ	dasypus_novemcinctus	ENSDNOP00000004445	JH579887.1	1439400	1505839	1	ENSDNOG00000005726	CEMIP
SEQ	pteropus_vampyrus	ENSPVAP00000015005	GeneScaffold_719	68179	121322	1	ENSPVAG00000015903	CEMIP
SEQ	rattus_norvegicus	ENSRNOP00000037364	1	146069771	146226462	-1	ENSRNOG00000012442	Cemip
SEQ	macaca_fascicularis	ENSMFAP00000016273	7	59372286	59451792	1	ENSMFAG00000031330	CEMIP
SEQ	panthera_pardus	ENSPPRP00000018414	KV860314.1	7886010	7975891	1	ENSPPRG00000010118	CEMIP2
SEQ	equus_caballus	ENSECAP00000034792	1	91089575	91156084	-1	ENSECAG00000018674	CEMIP
SEQ	sorex_araneus	ENSSARP00000006415	GeneScaffold_1331	749	22575	1	ENSSARG00000007037	CEMIP
SEQ	sorex_araneus	ENSSARP00000004066	GeneScaffold_3128	40354	129335	-1	ENSSARG00000004447	CEMIP2
SEQ	chinchilla_lanigera	ENSCLAP00000013689	JH721876.1	11613316	11699925	1	ENSCLAG00000009458	CEMIP
SEQ	aotus_nancymaae	ENSANAP00000013488	KZ202023.1	381267	464855	-1	ENSANAG00000024655	CEMIP
