Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
THOC2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	6
THOC2	sus_scrofa	wild_boar	artiodactyla	1	6
THOC2	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
THOC2	camelus_dromedarius	arabian_camel	artiodactyla	1	6
NULL	bison_bison_bison	american_bison	artiodactyla	1	6
THOC2	felis_catus	domestic_cat	carnivora	1	9
THOC2	ursus_maritimus	polar_bear	carnivora	1	9
THOC2	canis_lupus_familiaris	domestic_dog	carnivora	1	9
THOC2	vulpes_vulpes	red_fox	carnivora	1	9
THOC2	zalophus_californianus	cali_sea_lion	carnivora	1	9
THOC2	canis_lupus_dingo	dingo	carnivora	1	9
THOC2	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
THOC2	lynx_canadensis	canadian_lynx	carnivora	1	9
THOC2	panthera_leo	lion	carnivora	1	9
THOC2	delphinapterus_leucas	beluga_whale	cetacea	1	1
THOC2	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
THOC2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
THOC2	sorex_araneus	european_shrew	eulipotyphyla	1	2
THOC2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
THOC2	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
THOC2	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
THOC2	equus_asinus_asinus	donkey	perissodactyla	1	2
THOC2	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	aotus_nancymaae	mas_night_monkey	primates	2	11
THOC2	cercocebus_atys	sooty_mangabey	primates	1	11
THOC2	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	11
THOC2	carlito_syrichta	philippine_tarsier	primates	1	11
THOC2	macaca_fascicularis	crab_eating_macaque	primates	1	11
THOC2	nomascus_leucogenys	gibbon	primates	1	11
THOC2	mandrillus_leucophaeus	drill	primates	1	11
THOC2	papio_anubis	olive_baboon	primates	1	11
THOC2	pan_troglodytes	chimpanzee	primates	1	11
THOC2	gorilla_gorilla	gorilla	primates	1	11
THOC2	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	castor_canadensis	american_beaver	rodentia	1	13
Thoc2l	mus_spicilegus	steppe_mouse	rodentia	2	13
THOC2	octodon_degus	degu	rodentia	1	13
LOC679894	rattus_norvegicus	norway_rat	rodentia	2	13
Thoc2l	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	13
Thoc2	rattus_norvegicus	norway_rat	rodentia	2	13
Thoc2l	mus_musculus	house_mouse	rodentia	2	13
Thoc2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	13
Thoc2	mus_musculus	house_mouse	rodentia	2	13
Thoc2	mus_spicilegus	steppe_mouse	rodentia	2	13
Thoc2l	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	13
THOC2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	13
Thoc2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	13
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
