Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
DPPA2	sus_scrofa	wild_boar	artiodactyla	2	11
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	11
NULL	sus_scrofa	wild_boar	artiodactyla	2	11
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
DPPA2	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
NULL	bison_bison_bison	american_bison	artiodactyla	3	11
DPPA2	camelus_dromedarius	arabian_camel	artiodactyla	1	11
DPPA2	lynx_canadensis	canadian_lynx	carnivora	1	25
NULL	canis_lupus_dingo	dingo	carnivora	6	25
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	25
DPPA2	vulpes_vulpes	red_fox	carnivora	2	25
DPPA2	panthera_pardus	leopard	carnivora	2	25
DPPA2	felis_catus	domestic_cat	carnivora	2	25
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	25
NULL	canis_lupus_familiaris	domestic_dog	carnivora	4	25
DPPA2	panthera_leo	lion	carnivora	1	25
DPPA4	panthera_pardus	leopard	carnivora	2	25
DPPA2	ursus_maritimus	polar_bear	carnivora	1	25
DPPA4	felis_catus	domestic_cat	carnivora	2	25
NULL	vulpes_vulpes	red_fox	carnivora	2	25
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
DPPA4	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
DPPA2	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	5	5
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	4
DPPA4	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
DPPA2	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	4	6
NULL	ochotona_princeps	american_pika	lagomorpha	2	6
DPPA4	equus_caballus	domestic_horse	perissodactyla	2	3
DPPA2	equus_asinus_asinus	donkey	perissodactyla	1	3
DPPA2	equus_caballus	domestic_horse	perissodactyla	2	3
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	papio_anubis	olive_baboon	primates	6	36
NULL	macaca_fascicularis	crab_eating_macaque	primates	5	36
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	4	36
NULL	gorilla_gorilla	gorilla	primates	4	36
NULL	pan_troglodytes	chimpanzee	primates	3	36
NULL	cercocebus_atys	sooty_mangabey	primates	3	36
DPPA4	pan_troglodytes	chimpanzee	primates	3	36
NULL	aotus_nancymaae	mas_night_monkey	primates	3	36
DPPA4	cercocebus_atys	sooty_mangabey	primates	3	36
DPPA4	aotus_nancymaae	mas_night_monkey	primates	3	36
DPPA4	papio_anubis	olive_baboon	primates	6	36
DPPA4	carlito_syrichta	philippine_tarsier	primates	2	36
NULL	mandrillus_leucophaeus	drill	primates	4	36
DPPA2	gorilla_gorilla	gorilla	primates	4	36
DPPA4	macaca_fascicularis	crab_eating_macaque	primates	5	36
DPPA2	pan_troglodytes	chimpanzee	primates	3	36
DPPA2	nomascus_leucogenys	gibbon	primates	2	36
DPPA2	carlito_syrichta	philippine_tarsier	primates	2	36
DPPA4	mandrillus_leucophaeus	drill	primates	4	36
DPPA2	callithrix_jacchus	white_tufted_ear_marmoset	primates	4	36
DPPA4	gorilla_gorilla	gorilla	primates	4	36
DPPA4	nomascus_leucogenys	gibbon	primates	2	36
DPPA4	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
DPPA2	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
NULL	mus_spicilegus	steppe_mouse	rodentia	4	14
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	14
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	14
Dppa4	castor_canadensis	american_beaver	rodentia	1	14
Dppa4	mus_spicilegus	steppe_mouse	rodentia	4	14
Dppa4	rattus_norvegicus	norway_rat	rodentia	1	14
DPPA2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	14
Dppa2	mus_musculus	house_mouse	rodentia	2	14
Dppa2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
Dppa4	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
Dppa4	mus_musculus	house_mouse	rodentia	2	14
DPPA2	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
