Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	8
OR4C15	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	8
NULL	sus_scrofa	wild_boar	artiodactyla	3	8
NULL	bison_bison_bison	american_bison	artiodactyla	3	8
OR4C15	vulpes_vulpes	red_fox	carnivora	1	7
OR4C15	canis_lupus_familiaris	domestic_dog	carnivora	1	7
OR4C15	zalophus_californianus	cali_sea_lion	carnivora	1	7
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	7
OR4C15	canis_lupus_dingo	dingo	carnivora	1	7
OR4C15	ursus_maritimus	polar_bear	carnivora	1	7
OR4C15	panthera_leo	lion	carnivora	1	7
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	3	3
NULL	equus_caballus	domestic_horse	perissodactyla	2	2
OR4C15	nomascus_leucogenys	gibbon	primates	1	2
OR4C15	pan_troglodytes	chimpanzee	primates	1	2
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	23	23
NULL	castor_canadensis	american_beaver	rodentia	3	89
Olr679	rattus_norvegicus	norway_rat	rodentia	23	89
Olr690	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1229	mus_spicilegus	steppe_mouse	rodentia	18	89
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	22	89
Olfr1215	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1222	mus_musculus	house_mouse	rodentia	19	89
LOC687065	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1221	mus_musculus	house_mouse	rodentia	19	89
AABR07052831.1	rattus_norvegicus	norway_rat	rodentia	23	89
Olr663	rattus_norvegicus	norway_rat	rodentia	23	89
Olr678	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1213	mus_musculus	house_mouse	rodentia	19	89
Olfr1220	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1217	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1218	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1228	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1225	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1223	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1221	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	22	89
Olfr1221	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1213	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	22	89
Olfr1211	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1217	mus_musculus	house_mouse	rodentia	19	89
Olfr1232	mus_spicilegus	steppe_mouse	rodentia	18	89
Olr671	rattus_norvegicus	norway_rat	rodentia	23	89
Olr689	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1219	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1226	mus_musculus	house_mouse	rodentia	19	89
Olfr1224-ps1	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1214	mus_spicilegus	steppe_mouse	rodentia	18	89
Olfr1223	mus_musculus	house_mouse	rodentia	19	89
Olfr1220	mus_musculus	house_mouse	rodentia	19	89
Olr665	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1214	mus_musculus	house_mouse	rodentia	19	89
Olr666	rattus_norvegicus	norway_rat	rodentia	23	89
AC132028.1	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1212	mus_musculus	house_mouse	rodentia	19	89
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	89
Olfr1216	mus_spicilegus	steppe_mouse	rodentia	18	89
Olr675	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1224-ps1	mus_musculus	house_mouse	rodentia	19	89
Olr686	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1229	mus_musculus	house_mouse	rodentia	19	89
Olfr1226	mus_spicilegus	steppe_mouse	rodentia	18	89
Olr670	rattus_norvegicus	norway_rat	rodentia	23	89
Olr668	rattus_norvegicus	norway_rat	rodentia	23	89
Olfr1218	mus_musculus	house_mouse	rodentia	19	89
