Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
COX10	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
COQ2	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
COX10	camelus_dromedarius	arabian_camel	artiodactyla	2	10
COQ2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
COQ2	camelus_dromedarius	arabian_camel	artiodactyla	2	10
COX10	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
COQ2	sus_scrofa	wild_boar	artiodactyla	2	10
COX10	bison_bison_bison	american_bison	artiodactyla	2	10
COQ2	bison_bison_bison	american_bison	artiodactyla	2	10
COX10	sus_scrofa	wild_boar	artiodactyla	2	10
COX10	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
COQ2	zalophus_californianus	cali_sea_lion	carnivora	2	20
COQ2	panthera_leo	lion	carnivora	2	20
COX10	vulpes_vulpes	red_fox	carnivora	2	20
COX10	canis_lupus_dingo	dingo	carnivora	2	20
COX10	felis_catus	domestic_cat	carnivora	2	20
COQ2	lynx_canadensis	canadian_lynx	carnivora	2	20
COQ2	canis_lupus_dingo	dingo	carnivora	2	20
NULL	panthera_pardus	leopard	carnivora	2	20
COX10	ursus_maritimus	polar_bear	carnivora	2	20
COX10	panthera_leo	lion	carnivora	2	20
COQ2	ursus_maritimus	polar_bear	carnivora	2	20
COQ2	felis_catus	domestic_cat	carnivora	2	20
COX10	zalophus_californianus	cali_sea_lion	carnivora	2	20
COX10	ailuropoda_melanoleuca	giant_panda	carnivora	2	20
COQ2	canis_lupus_familiaris	domestic_dog	carnivora	2	20
COQ2	panthera_pardus	leopard	carnivora	2	20
COQ2	ailuropoda_melanoleuca	giant_panda	carnivora	2	20
COX10	canis_lupus_familiaris	domestic_dog	carnivora	2	20
COX10	lynx_canadensis	canadian_lynx	carnivora	2	20
NULL	vulpes_vulpes	red_fox	carnivora	2	20
NULL	delphinapterus_leucas	beluga_whale	cetacea	4	4
COX10	delphinapterus_leucas	beluga_whale	cetacea	4	4
COX10	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
COQ2	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
COQ2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
COX10	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	3
COQ2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	3
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	3
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
COQ2	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
COX10	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
NULL	ochotona_princeps	american_pika	lagomorpha	2	4
COX10	ochotona_princeps	american_pika	lagomorpha	2	4
COQ2	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
COX10	equus_asinus_asinus	donkey	perissodactyla	2	4
COQ2	equus_caballus	domestic_horse	perissodactyla	2	4
COX10	equus_caballus	domestic_horse	perissodactyla	2	4
COQ2	equus_asinus_asinus	donkey	perissodactyla	2	4
COQ2	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
COX10	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
COX10	nomascus_leucogenys	gibbon	primates	2	22
COQ2	papio_anubis	olive_baboon	primates	2	22
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	22
COX10	aotus_nancymaae	mas_night_monkey	primates	2	22
COQ2	macaca_fascicularis	crab_eating_macaque	primates	2	22
COX10	mandrillus_leucophaeus	drill	primates	2	22
COX10	pan_troglodytes	chimpanzee	primates	2	22
COQ2	carlito_syrichta	philippine_tarsier	primates	3	22
COX10	cercocebus_atys	sooty_mangabey	primates	2	22
COQ2	nomascus_leucogenys	gibbon	primates	2	22
COX10	carlito_syrichta	philippine_tarsier	primates	3	22
NULL	carlito_syrichta	philippine_tarsier	primates	3	22
COX10	papio_anubis	olive_baboon	primates	2	22
COQ2	pan_troglodytes	chimpanzee	primates	2	22
COQ2	mandrillus_leucophaeus	drill	primates	2	22
COQ2	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	22
COX10	gorilla_gorilla	gorilla	primates	2	22
COX10	macaca_fascicularis	crab_eating_macaque	primates	2	22
COQ2	gorilla_gorilla	gorilla	primates	2	22
COQ2	aotus_nancymaae	mas_night_monkey	primates	2	22
COQ2	cercocebus_atys	sooty_mangabey	primates	2	22
COQ2	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Cox10	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	18
Cox10	mus_musculus	house_mouse	rodentia	2	18
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	18
Coq2	mus_musculus	house_mouse	rodentia	2	18
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	18
NULL	mus_spicilegus	steppe_mouse	rodentia	3	18
Cox10	mus_spicilegus	steppe_mouse	rodentia	3	18
COX10	cavia_aperea	brazilian_guinea_pig	rodentia	2	18
Coq2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	18
Coq2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	18
Coq2	castor_canadensis	american_beaver	rodentia	1	18
COX10	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	18
COQ2	octodon_degus	degu	rodentia	2	18
Cox10	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	18
COX10	octodon_degus	degu	rodentia	2	18
Cox10	rattus_norvegicus	norway_rat	rodentia	2	18
Coq2	rattus_norvegicus	norway_rat	rodentia	2	18
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
