SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	gorilla_gorilla	ENSGGOP00000045879	17	18706920	18708614	-1	ENSGGOG00000027597	NULL	gorilla
SEQ	chinchilla_lanigera	ENSCLAP00000012616	JH721966.1	1546678	1552105	1	ENSCLAG00000008725	ACTG1	long_tailed_chinchilla
SEQ	vulpes_vulpes	ENSVVUP00000018607	NBDQ01000009.1	19395470	19399550	-1	ENSVVUG00000013677	NULL	red_fox
SEQ	felis_catus	ENSFCAP00000061043	E3	4372765	4380918	-1	ENSFCAG00000006788	ACTB	domestic_cat
SEQ	vulpes_vulpes	ENSVVUP00000026289	NBDQ01000032.1	16601387	16603000	-1	ENSVVUG00000019045	ACTG1	red_fox
SEQ	callithrix_jacchus	ENSCJAP00000066862	NTIC01002224.1	84437466	84478432	1	ENSCJAG00000038612	NULL	white_tufted_ear_marmoset
SEQ	panthera_pardus	ENSPPRP00000010335	KV860363.1	4945772	4947598	-1	ENSPPRG00000004533	ACTB	leopard
SEQ	cercocebus_atys	ENSCATP00000014224	KQ011019.1	403243	406776	-1	ENSCATG00000031161	NULL	sooty_mangabey
SEQ	equus_asinus_asinus	ENSEASP00005007875	PSZQ01001389.1	19699454	19702028	-1	ENSEASG00005005734	ACTG1	donkey
SEQ	gorilla_gorilla	ENSGGOP00000045882	7	5420174	5422238	-1	ENSGGOG00000001133	ACTB	gorilla
SEQ	castor_canadensis	ENSCCNP00000031638	MTKA01003603.1	471	3009	-1	ENSCCNG00000030119	Actb	american_beaver
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000010067	5	117690776	117693129	1	ENSCHYG00000006481	ACTG1	central_asian_red_deer
SEQ	nomascus_leucogenys	ENSNLEP00000023255	14	86971840	86974036	1	ENSNLEG00000013385	NULL	gibbon
SEQ	mus_spicilegus	ENSMSIP00000003313	QGOO01009176.1	56	1182	-1	ENSMSIG00000003086	NULL	steppe_mouse
SEQ	cercocebus_atys	ENSCATP00000001499	KQ009809.1	1752467	1754647	1	ENSCATG00000006142	NULL	sooty_mangabey
SEQ	canis_lupus_dingo	ENSCAFP00020021726	QKWQ01002087.1	12501954	12503597	1	ENSCAFG00020017179	NULL	dingo
SEQ	macaca_fascicularis	ENSMFAP00000001080	12	71242555	71243692	1	ENSMFAG00000000056	NULL	crab_eating_macaque
SEQ	bison_bison_bison	ENSBBBP00000022263	KN265086.1	11990427	11992029	-1	ENSBBBG00000016050	ACTG1	american_bison
SEQ	aotus_nancymaae	ENSANAP00000017912	KZ200996.1	1064094	1065219	-1	ENSANAG00000026818	NULL	mas_night_monkey
SEQ	nannospalax_galili	ENSNGAP00000014925	KL199143.1	722340	723453	-1	ENSNGAG00000016110	NULL	upper_galilee_mountains_blind_mole_rat
SEQ	echinops_telfairi	ENSETEP00000012847	scaffold_214059	192	2282	-1	ENSETEG00000015843	ACTB	lesser_hedgehog_tenrec
SEQ	aotus_nancymaae	ENSANAP00000029195	KZ196972.1	2047857	2049112	1	ENSANAG00000032345	NULL	mas_night_monkey
SEQ	callithrix_jacchus	ENSCJAP00000056927	NTIC01038833.1	52715354	52716481	-1	ENSCJAG00000059116	NULL	white_tufted_ear_marmoset
SEQ	canis_lupus_familiaris	ENSCAFP00000037954	6	12421055	12424375	1	ENSCAFG00000016020	ACTB	domestic_dog
SEQ	gorilla_gorilla	ENSGGOP00000013697	5	1540149	1543143	1	ENSGGOG00000014043	ACTG1	gorilla
SEQ	echinops_telfairi	ENSETEP00000007263	GeneScaffold_6308	72388	73249	1	ENSETEG00000008942	NULL	lesser_hedgehog_tenrec
SEQ	mandrillus_leucophaeus	ENSMLEP00000036637	KN972984.1	15475649	15477327	-1	ENSMLEG00000042380	NULL	drill
SEQ	octodon_degus	ENSODEP00000004071	JH651656.1	5690405	5691532	-1	ENSODEG00000003108	NULL	degu
SEQ	dasypus_novemcinctus	ENSDNOP00000026233	JH564056.1	2193260	2194283	-1	ENSDNOG00000011894	NULL	nine_banded_armadillo
SEQ	loxodonta_africana	ENSLAFP00000001069	scaffold_45	7768852	7770883	-1	ENSLAFG00000001268	ACTB	african_savanna_elephant
SEQ	macaca_fascicularis	ENSMFAP00000040574	4	124322176	124322608	-1	ENSMFAG00000041081	NULL	crab_eating_macaque
SEQ	carlito_syrichta	ENSTSYP00000013967	KE938299.1	225023	226192	-1	ENSTSYG00000025520	NULL	philippine_tarsier
SEQ	zalophus_californianus	ENSZCAP00015007250	5	133484968	133486093	1	ENSZCAG00015004542	NULL	cali_sea_lion
SEQ	camelus_dromedarius	ENSCDRP00005021339	11	10227057	10270187	1	ENSCDRG00005014853	NULL	arabian_camel
SEQ	carlito_syrichta	ENSTSYP00000019447	KE938408.1	33083	37827	1	ENSTSYG00000036183	NULL	philippine_tarsier
SEQ	canis_lupus_dingo	ENSCAFP00020011398	QKWQ01000452.1	7910259	7911976	-1	ENSCAFG00020009054	ACTG1	dingo
SEQ	ochotona_princeps	ENSOPRP00000008434	scaffold_10130	39615	40547	-1	ENSOPRG00000009232	ACTB	american_pika
SEQ	delphinapterus_leucas	ENSDLEP00000004483	ML702036.1	13499992	13502920	1	ENSDLEG00000003467	ACTG1	beluga_whale
SEQ	pan_troglodytes	ENSPTRP00000093517	Y	13516503	13517627	-1	ENSPTRG00000052554	NULL	chimpanzee
SEQ	vulpes_vulpes	ENSVVUP00000008440	NBDQ01000086.1	8719608	8722023	-1	ENSVVUG00000006348	NULL	red_fox
SEQ	lynx_canadensis	ENSLCNP00005027235	E1	59292317	59299947	-1	ENSLCNG00005017736	ACTG1	canadian_lynx
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000014058	WMHW01000652.1	14874	17194	1	ENSCHYG00000009152	NULL	central_asian_red_deer
SEQ	ursus_maritimus	ENSUMAP00000011159	KK498641.1	4022569	4026333	-1	ENSUMAG00000007902	ACTB	polar_bear
SEQ	camelus_dromedarius	ENSCDRP00005007649	13	50918090	50919658	1	ENSCDRG00005005483	NULL	arabian_camel
SEQ	pan_troglodytes	ENSPTRP00000034633	KV420792.1	175944	177179	1	ENSPTRG00000041237	NULL	chimpanzee
SEQ	tupaia_belangeri	ENSTBEP00000011116	GeneScaffold_487	1666	4241	-1	ENSTBEG00000012822	ACTB	nothern_tree_shrew
SEQ	mus_spicilegus	ENSMSIP00000025395	QGOO01037379.1	3485327	3486759	-1	ENSMSIG00000021413	NULL	steppe_mouse
SEQ	echinops_telfairi	ENSETEP00000015834	scaffold_277860	9303	10284	1	ENSETEG00000019494	NULL	lesser_hedgehog_tenrec
SEQ	cercocebus_atys	ENSCATP00000019657	KQ009547.1	1521345	1523338	1	ENSCATG00000033630	NULL	sooty_mangabey
SEQ	oryctolagus_cuniculus	ENSOCUP00000044872	17	60707580	60709362	1	ENSOCUG00000010443	NULL	rabbit
SEQ	mandrillus_leucophaeus	ENSMLEP00000011556	KN978396.1	1087525	1090448	1	ENSMLEG00000029830	NULL	drill
SEQ	echinops_telfairi	ENSETEP00000012655	scaffold_77130	281	1010	1	ENSETEG00000015607	NULL	lesser_hedgehog_tenrec
SEQ	mus_musculus	ENSMUSP00000098066	5	142903115	142906754	-1	ENSMUSG00000029580	Actb	house_mouse
SEQ	pan_troglodytes	ENSPTRP00000081707	Y	4846411	4847535	-1	ENSPTRG00000050895	NULL	chimpanzee
SEQ	papio_anubis	ENSPANP00000009610	3	38248879	38251428	1	ENSPANG00000015700	NULL	olive_baboon
SEQ	dasypus_novemcinctus	ENSDNOP00000006787	JH583688.1	2	745	1	ENSDNOG00000008776	NULL	nine_banded_armadillo
SEQ	aotus_nancymaae	ENSANAP00000038724	KZ204454.1	8159794	8160913	1	ENSANAG00000036811	NULL	mas_night_monkey
SEQ	aotus_nancymaae	ENSANAP00000022419	KZ203741.1	2324756	2326104	-1	ENSANAG00000028970	NULL	mas_night_monkey
SEQ	sus_scrofa	ENSSSCP00000035521	3	4082216	4090342	-1	ENSSSCG00000007585	ACTB	wild_boar
SEQ	camelus_dromedarius	ENSCDRP00005006503	15	54937026	54948534	1	ENSCDRG00005004644	NULL	arabian_camel
SEQ	procavia_capensis	ENSPCAP00000002044	scaffold_166723	5566	6574	1	ENSPCAG00000002190	NULL	cape_rock_hyrax
SEQ	papio_anubis	ENSPANP00000035001	16	73200039	73202228	-1	ENSPANG00000003965	NULL	olive_baboon
SEQ	pan_troglodytes	ENSPTRP00000079105	KV421478.1	400401	401525	-1	ENSPTRG00000047155	NULL	chimpanzee
SEQ	moschus_moschiferus	ENSMMSP00000023940	PVHU021072436.1	3021801	3025255	1	ENSMMSG00000018023	ACTB	siberian_musk_deer
SEQ	oryctolagus_cuniculus	ENSOCUP00000045964	GL018878	125234	127331	-1	ENSOCUG00000005867	NULL	rabbit
SEQ	mus_musculus	ENSMUSP00000139264	17	8566399	8566869	-1	ENSMUSG00000099104	Gm17087	house_mouse
SEQ	macaca_fascicularis	ENSMFAP00000013586	2	133012197	133012970	-1	ENSMFAG00000029352	NULL	crab_eating_macaque
SEQ	oryctolagus_cuniculus	ENSOCUP00000047356	7	87231579	87233365	1	ENSOCUG00000034178	NULL	rabbit
SEQ	camelus_dromedarius	ENSCDRP00005026436	18	28569511	28572899	1	ENSCDRG00005018212	NULL	arabian_camel
SEQ	equus_caballus	ENSECAP00000013637	13	4382297	4388231	-1	ENSECAG00000015935	ACTB	domestic_horse
SEQ	ailuropoda_melanoleuca	ENSAMEP00000006708	GL192576.1	1412663	1413543	-1	ENSAMEG00000006382	NULL	giant_panda
SEQ	carlito_syrichta	ENSTSYP00000022450	KE932281.1	16249	18123	-1	ENSTSYG00000026359	NULL	philippine_tarsier
SEQ	mus_spicilegus	ENSMSIP00000035490	QGOO01037470.1	2295692	2298816	1	ENSMSIG00000029528	Actb	steppe_mouse
SEQ	octodon_degus	ENSODEP00000012743	JH651567.1	3916748	3917139	1	ENSODEG00000009431	NULL	degu
SEQ	gorilla_gorilla	ENSGGOP00000030465	1	203979912	203981033	-1	ENSGGOG00000036743	NULL	gorilla
SEQ	equus_caballus	ENSECAP00000016149	11	1623465	1674234	1	ENSECAG00000018600	ACTG1	domestic_horse
SEQ	zalophus_californianus	ENSZCAP00015039843	16	61362096	61367257	-1	ENSZCAG00015024888	NULL	cali_sea_lion
SEQ	papio_anubis	ENSPANP00000011336	12	67979290	67980423	1	ENSPANG00000009747	NULL	olive_baboon
SEQ	cercocebus_atys	ENSCATP00000041382	KQ012073.1	3944355	3945514	-1	ENSCATG00000043341	NULL	sooty_mangabey
SEQ	chinchilla_lanigera	ENSCLAP00000019259	JH721920.1	10356699	10361585	-1	ENSCLAG00000013196	ACTB	long_tailed_chinchilla
SEQ	nomascus_leucogenys	ENSNLEP00000033007	1a	7754012	7763936	1	ENSNLEG00000027866	NULL	gibbon
SEQ	papio_anubis	ENSPANP00000038985	2	87531853	87533012	1	ENSPANG00000035961	NULL	olive_baboon
SEQ	nannospalax_galili	ENSNGAP00000007198	KL202281.1	6231503	6231992	-1	ENSNGAG00000010519	NULL	upper_galilee_mountains_blind_mole_rat
SEQ	panthera_leo	ENSPLOP00000022326	E2	665779	667588	1	ENSPLOG00000016355	ACTG1	lion
SEQ	felis_catus	ENSFCAP00000006307	E1	62017328	62018979	-1	ENSFCAG00000032144	ACTG1	domestic_cat
SEQ	octodon_degus	ENSODEP00000018903	JH651532.1	13778178	13780536	-1	ENSODEG00000013939	NULL	degu
SEQ	nannospalax_galili	ENSNGAP00000010045	KL204193.1	399112	400808	1	ENSNGAG00000012568	NULL	upper_galilee_mountains_blind_mole_rat
SEQ	dasypus_novemcinctus	ENSDNOP00000029511	AAGV03088185.1	1	960	1	ENSDNOG00000030680	NULL	nine_banded_armadillo
SEQ	carlito_syrichta	ENSTSYP00000016704	KE944192.1	601693	603008	1	ENSTSYG00000034458	NULL	philippine_tarsier
SEQ	cercocebus_atys	ENSCATP00000039367	KQ010561.1	11599484	11600855	-1	ENSCATG00000042306	NULL	sooty_mangabey
SEQ	pan_troglodytes	ENSPTRP00000070878	1	202963361	202964482	-1	ENSPTRG00000051447	NULL	chimpanzee
SEQ	pteropus_vampyrus	ENSPVAP00000012407	GeneScaffold_3038	110159	111394	-1	ENSPVAG00000013155	ACTG1	large_flying_fox
SEQ	octodon_degus	ENSODEP00000008365	JH651567.1	3916058	3916568	1	ENSODEG00000006239	NULL	degu
SEQ	pan_troglodytes	ENSPTRP00000016618	AACZ04052509.1	1280	2407	1	ENSPTRG00000009762	ACTBL2	chimpanzee
SEQ	sus_scrofa	ENSSSCP00000040911	12	1320068	1323217	1	ENSSSCG00000028355	ACTG1	wild_boar
