Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
APLNR	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
AGTR2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	13
AGTR2	camelus_dromedarius	arabian_camel	artiodactyla	3	13
AGTR1	camelus_dromedarius	arabian_camel	artiodactyla	3	13
AGTR1	bison_bison_bison	american_bison	artiodactyla	2	13
AGTR1	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	13
AGTR2	bison_bison_bison	american_bison	artiodactyla	2	13
AGTR1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	13
AGTR2	sus_scrofa	wild_boar	artiodactyla	3	13
APLNR	camelus_dromedarius	arabian_camel	artiodactyla	3	13
APLNR	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	13
AGTR1	sus_scrofa	wild_boar	artiodactyla	3	13
AGTR2	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	13
APLNR	sus_scrofa	wild_boar	artiodactyla	3	13
APLNR	canis_lupus_dingo	dingo	carnivora	3	29
AGTR1	panthera_leo	lion	carnivora	3	29
AGTR1	canis_lupus_dingo	dingo	carnivora	3	29
AGTR2	canis_lupus_familiaris	domestic_dog	carnivora	3	29
AGTR1	felis_catus	domestic_cat	carnivora	2	29
AGTR2	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
AGTR1	panthera_pardus	leopard	carnivora	3	29
AGTR2	zalophus_californianus	cali_sea_lion	carnivora	3	29
AGTR1	vulpes_vulpes	red_fox	carnivora	3	29
APLNR	vulpes_vulpes	red_fox	carnivora	3	29
AGTR2	canis_lupus_dingo	dingo	carnivora	3	29
AGTR1	zalophus_californianus	cali_sea_lion	carnivora	3	29
AGTR2	felis_catus	domestic_cat	carnivora	2	29
AGTR1	lynx_canadensis	canadian_lynx	carnivora	3	29
APLNR	panthera_leo	lion	carnivora	3	29
AGTR1	canis_lupus_familiaris	domestic_dog	carnivora	3	29
APLNR	lynx_canadensis	canadian_lynx	carnivora	3	29
APLNR	zalophus_californianus	cali_sea_lion	carnivora	3	29
AGTR1	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
AGTR1	ursus_maritimus	polar_bear	carnivora	3	29
APLNR	panthera_pardus	leopard	carnivora	3	29
AGTR2	panthera_leo	lion	carnivora	3	29
AGTR2	lynx_canadensis	canadian_lynx	carnivora	3	29
AGTR2	panthera_pardus	leopard	carnivora	3	29
APLNR	ursus_maritimus	polar_bear	carnivora	3	29
APLNR	canis_lupus_familiaris	domestic_dog	carnivora	3	29
AGTR2	vulpes_vulpes	red_fox	carnivora	3	29
APLNR	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
AGTR2	ursus_maritimus	polar_bear	carnivora	3	29
APLNR	delphinapterus_leucas	beluga_whale	cetacea	3	3
AGTR1	delphinapterus_leucas	beluga_whale	cetacea	3	3
AGTR2	delphinapterus_leucas	beluga_whale	cetacea	3	3
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
APLNR	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
AGTR2	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
AGTR1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
APLNR	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
AGTR2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
AGTR2	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
AGTR1	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
AGTR1	oryctolagus_cuniculus	rabbit	lagomorpha	3	3
APLNR	oryctolagus_cuniculus	rabbit	lagomorpha	3	3
AGTR2	oryctolagus_cuniculus	rabbit	lagomorpha	3	3
AGTR2	equus_asinus_asinus	donkey	perissodactyla	3	6
AGTR2	equus_caballus	domestic_horse	perissodactyla	3	6
APLNR	equus_asinus_asinus	donkey	perissodactyla	3	6
APLNR	equus_caballus	domestic_horse	perissodactyla	3	6
AGTR1	equus_asinus_asinus	donkey	perissodactyla	3	6
AGTR1	equus_caballus	domestic_horse	perissodactyla	3	6
AGTR1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
AGTR2	mandrillus_leucophaeus	drill	primates	3	28
AGTR2	papio_anubis	olive_baboon	primates	3	28
AGTR2	pan_troglodytes	chimpanzee	primates	3	28
AGTR2	carlito_syrichta	philippine_tarsier	primates	2	28
AGTR2	gorilla_gorilla	gorilla	primates	3	28
AGTR2	macaca_fascicularis	crab_eating_macaque	primates	3	28
APLNR	nomascus_leucogenys	gibbon	primates	3	28
AGTR2	nomascus_leucogenys	gibbon	primates	3	28
AGTR2	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	28
APLNR	cercocebus_atys	sooty_mangabey	primates	3	28
APLNR	pan_troglodytes	chimpanzee	primates	3	28
AGTR1	aotus_nancymaae	mas_night_monkey	primates	3	28
APLNR	papio_anubis	olive_baboon	primates	3	28
AGTR1	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	28
AGTR1	mandrillus_leucophaeus	drill	primates	3	28
APLNR	macaca_fascicularis	crab_eating_macaque	primates	3	28
AGTR1	papio_anubis	olive_baboon	primates	3	28
AGTR1	gorilla_gorilla	gorilla	primates	3	28
AGTR1	macaca_fascicularis	crab_eating_macaque	primates	3	28
APLNR	gorilla_gorilla	gorilla	primates	3	28
AGTR1	pan_troglodytes	chimpanzee	primates	3	28
AGTR1	nomascus_leucogenys	gibbon	primates	3	28
AGTR1	carlito_syrichta	philippine_tarsier	primates	2	28
AGTR2	cercocebus_atys	sooty_mangabey	primates	3	28
APLNR	aotus_nancymaae	mas_night_monkey	primates	3	28
APLNR	mandrillus_leucophaeus	drill	primates	3	28
AGTR1	cercocebus_atys	sooty_mangabey	primates	3	28
AGTR2	aotus_nancymaae	mas_night_monkey	primates	3	28
AGTR1	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
APLNR	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
AGTR2	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
Aplnr	mus_spicilegus	steppe_mouse	rodentia	4	29
Agtr2	mus_musculus	house_mouse	rodentia	4	29
Aplnr	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	29
Agtr1b	mus_spicilegus	steppe_mouse	rodentia	4	29
NULL	castor_canadensis	american_beaver	rodentia	3	29
AGTR1	cavia_aperea	brazilian_guinea_pig	rodentia	1	29
Agtr1b	mus_musculus	house_mouse	rodentia	4	29
Agtr1b	rattus_norvegicus	norway_rat	rodentia	4	29
Aplnr	mus_musculus	house_mouse	rodentia	4	29
Aplnr	castor_canadensis	american_beaver	rodentia	3	29
Aplnr	rattus_norvegicus	norway_rat	rodentia	4	29
Agtr1b	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	29
Agtr1a	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	29
Aplnr	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	29
Agtr2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	29
APLNR	octodon_degus	degu	rodentia	2	29
APLNR	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	29
AGTR2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	29
AGTR1	octodon_degus	degu	rodentia	2	29
Agtr1a	rattus_norvegicus	norway_rat	rodentia	4	29
AGTR1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	29
Agtr2	mus_spicilegus	steppe_mouse	rodentia	4	29
Agtr2	castor_canadensis	american_beaver	rodentia	3	29
Agtr1a	mus_spicilegus	steppe_mouse	rodentia	4	29
Agtr1a	mus_musculus	house_mouse	rodentia	4	29
Agtr1a	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	29
Agtr1b	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	29
Agtr2	rattus_norvegicus	norway_rat	rodentia	4	29
Agtr2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	29
APLNR	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
