Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	4
NULL	bison_bison_bison	american_bison	artiodactyla	1	4
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
NULL	canis_lupus_dingo	dingo	carnivora	1	10
NULL	lynx_canadensis	canadian_lynx	carnivora	1	10
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	10
NULL	panthera_pardus	leopard	carnivora	1	10
ZNF354A	canis_lupus_familiaris	domestic_dog	carnivora	1	10
NULL	vulpes_vulpes	red_fox	carnivora	1	10
NULL	ursus_maritimus	polar_bear	carnivora	1	10
NULL	panthera_leo	lion	carnivora	1	10
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
NULL	felis_catus	domestic_cat	carnivora	1	10
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	2
ZNF354A	oryctolagus_cuniculus	rabbit	lagomorpha	1	4
NULL	ochotona_princeps	american_pika	lagomorpha	3	4
NULL	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
ZNF354A	papio_anubis	olive_baboon	primates	1	10
ZNF354A	cercocebus_atys	sooty_mangabey	primates	1	10
NULL	carlito_syrichta	philippine_tarsier	primates	2	10
ZNF354A	gorilla_gorilla	gorilla	primates	1	10
ZNF354A	pan_troglodytes	chimpanzee	primates	1	10
ZNF354A	aotus_nancymaae	mas_night_monkey	primates	1	10
ZNF354A	macaca_fascicularis	crab_eating_macaque	primates	1	10
ZNF354A	mandrillus_leucophaeus	drill	primates	1	10
ZNF354A	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
ZNF354A	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
Zfp354a	mus_musculus	house_mouse	rodentia	1	10
Zfp354a	mus_spicilegus	steppe_mouse	rodentia	1	10
Zfp354a	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	10
Zfp354a	castor_canadensis	american_beaver	rodentia	1	10
Zfp354a	rattus_norvegicus	norway_rat	rodentia	1	10
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	10
Zfp354a	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
ZNF354A	octodon_degus	degu	rodentia	1	10
ZNF354A	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
