SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene
SEQ	equus_asinus_asinus	ENSEASP00005025013	PSZQ01004781.1	1888194	1900248	1	ENSEASG00005017006	ACTL6B
SEQ	aotus_nancymaae	ENSANAP00000029058	KZ200066.1	335373	346301	1	ENSANAG00000032333	ACTL6B
SEQ	octodon_degus	ENSODEP00000021988	JH651550.1	15957522	15971441	1	ENSODEG00000016158	ACTL6B
SEQ	mus_spicilegus	ENSMSIP00000009436	QGOO01000710.1	257800	273908	-1	ENSMSIG00000008340	Actl6b
SEQ	canis_lupus_dingo	ENSCAFP00020017413	QKWQ01002087.1	8949246	8962531	1	ENSCAFG00020013896	ACTL6B
SEQ	mandrillus_leucophaeus	ENSMLEP00000014693	KN975092.1	447403	459944	1	ENSMLEG00000031514	ACTL6B
SEQ	cercocebus_atys	ENSCATP00000037887	KQ012775.1	3756566	3768548	-1	ENSCATG00000041643	ACTL6B
SEQ	felis_catus	ENSFCAP00000006355	E3	7787610	7800256	-1	ENSFCAG00000006846	ACTL6B
SEQ	moschus_moschiferus	ENSMMSP00000015796	PVHU021072436.1	189153	200229	1	ENSMMSG00000011987	ACTL6B
SEQ	carlito_syrichta	ENSTSYP00000005615	KE930001.1	53120	66497	-1	ENSTSYG00000006134	ACTL6B
SEQ	ochotona_princeps	ENSOPRP00000013797	GeneScaffold_2801	220494	224541	-1	ENSOPRG00000015108	ACTL6B
SEQ	pteropus_vampyrus	ENSPVAP00000011326	GeneScaffold_3647	293108	304100	-1	ENSPVAG00000012016	ACTL6B
SEQ	delphinapterus_leucas	ENSDLEP00000012420	ML702058.1	41910679	41923869	1	ENSDLEG00000009111	ACTL6B
SEQ	pan_troglodytes	ENSPTRP00000033382	7	103684869	103698241	-1	ENSPTRG00000019500	ACTL6B
SEQ	equus_caballus	ENSECAP00000012584	13	8945996	8957295	-1	ENSECAG00000014917	ACTL6B
SEQ	loxodonta_africana	ENSLAFP00000027096	scaffold_152	253187	262522	1	ENSLAFG00000031032	ACTL6B
SEQ	dasypus_novemcinctus	ENSDNOP00000024257	JH567410.1	133582	143276	1	ENSDNOG00000035063	ACTL6B
SEQ	macaca_fascicularis	ENSMFAP00000038808	3	44911831	44924364	-1	ENSMFAG00000038744	ACTL6B
SEQ	vulpes_vulpes	ENSVVUP00000032331	NBDQ01000165.1	785763	798862	-1	ENSVVUG00000023465	ACTL6B
SEQ	pan_troglodytes	ENSPTRP00000064570	KV420980.1	335989	349359	-1	ENSPTRG00000046117	ACTL6B
SEQ	tupaia_belangeri	ENSTBEP00000000747	GeneScaffold_3646	219953	257939	-1	ENSTBEG00000000853	ACTL6B
SEQ	echinops_telfairi	ENSETEP00000004706	scaffold_304719	736	3177	1	ENSETEG00000005792	ACTL6B
SEQ	chinchilla_lanigera	ENSCLAP00000002613	JH722033.1	259117	272118	1	ENSCLAG00000001889	ACTL6B
SEQ	canis_lupus_familiaris	ENSCAFP00000021112	6	9045551	9058912	1	ENSCAFG00000014302	ACTL6B
SEQ	camelus_dromedarius	ENSCDRP00005023063	18	25632953	25643315	1	ENSCDRG00005015978	ACTL6B
SEQ	nomascus_leucogenys	ENSNLEP00000014469	17	35650872	35665736	-1	ENSNLEG00000011889	ACTL6B
SEQ	castor_canadensis	ENSCCNP00000016353	MTKA01003892.1	21498	26071	-1	ENSCCNG00000016635	Actl6b
SEQ	lynx_canadensis	ENSLCNP00005030007	E3	33589717	33601351	1	ENSLCNG00005019483	ACTL6B
SEQ	ursus_maritimus	ENSUMAP00000014735	KK498641.1	7265336	7276502	-1	ENSUMAG00000010798	ACTL6B
SEQ	nannospalax_galili	ENSNGAP00000024136	KL200556.1	2041033	2064489	1	ENSNGAG00000022489	Actl6b
SEQ	rattus_norvegicus	ENSRNOP00000001910	12	22194624	22211080	-1	ENSRNOG00000001408	Actl6b
SEQ	ailuropoda_melanoleuca	ENSAMEP00000015605	GL193583.1	216501	227408	1	ENSAMEG00000014795	ACTL6B
SEQ	zalophus_californianus	ENSZCAP00015035136	10	106518000	106530229	1	ENSZCAG00015022131	NULL
SEQ	choloepus_hoffmanni	ENSCHOP00000011927	GeneScaffold_778	455	6915	-1	ENSCHOG00000013473	NULL
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000027033	10	34215530	34224097	1	ENSCHYG00000017969	ACTL6B
SEQ	oryctolagus_cuniculus	ENSOCUP00000032168	6	27158292	27167472	1	ENSOCUG00000014727	ACTL6B
SEQ	procavia_capensis	ENSPCAP00000006036	GeneScaffold_1618	29422	40758	-1	ENSPCAG00000006466	ACTL6B
SEQ	mus_musculus	ENSMUSP00000119356	5	137553520	137569582	1	ENSMUSG00000029712	Actl6b
SEQ	sorex_araneus	ENSSARP00000004202	scaffold_235287	28651	39302	-1	ENSSARG00000004601	ACTL6B
SEQ	erinaceus_europaeus	ENSEEUP00000010745	GeneScaffold_827	5011	14926	-1	ENSEEUG00000011765	ACTL6B
SEQ	zalophus_californianus	ENSZCAP00015034763	10	101389309	101390683	1	ENSZCAG00015021819	NULL
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000004466	23	28914405	28930546	1	ENSPEMG00000006769	Actl6b
