Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
EIF4E1B	sus_scrofa	wild_boar	artiodactyla	1	5
EIF4E1B	bison_bison_bison	american_bison	artiodactyla	1	5
EIF4E1B	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
EIF4E1B	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
EIF4E1B	camelus_dromedarius	arabian_camel	artiodactyla	1	5
EIF4E1B	vulpes_vulpes	red_fox	carnivora	1	9
EIF4E1B	canis_lupus_dingo	dingo	carnivora	1	9
EIF4E1B	felis_catus	domestic_cat	carnivora	1	9
EIF4E1B	canis_lupus_familiaris	domestic_dog	carnivora	1	9
EIF4E1B	zalophus_californianus	cali_sea_lion	carnivora	1	9
EIF4E1B	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
EIF4E1B	panthera_pardus	leopard	carnivora	1	9
EIF4E1B	lynx_canadensis	canadian_lynx	carnivora	1	9
EIF4E1B	panthera_leo	lion	carnivora	1	9
EIF4E1B	delphinapterus_leucas	beluga_whale	cetacea	1	1
EIF4E1B	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
EIF4E1B	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
EIF4E1B	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
EIF4E1B	ochotona_princeps	american_pika	lagomorpha	1	2
EIF4E1B	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
EIF4E1B	equus_asinus_asinus	donkey	perissodactyla	1	1
EIF4E1B	nomascus_leucogenys	gibbon	primates	1	10
EIF4E1B	carlito_syrichta	philippine_tarsier	primates	1	10
EIF4E1B	aotus_nancymaae	mas_night_monkey	primates	1	10
EIF4E1B	pan_troglodytes	chimpanzee	primates	1	10
EIF4E1B	gorilla_gorilla	gorilla	primates	1	10
EIF4E1B	papio_anubis	olive_baboon	primates	1	10
EIF4E1B	mandrillus_leucophaeus	drill	primates	1	10
EIF4E1B	cercocebus_atys	sooty_mangabey	primates	1	10
EIF4E1B	macaca_fascicularis	crab_eating_macaque	primates	1	10
EIF4E1B	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
EIF4E1B	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	mus_spicilegus	steppe_mouse	rodentia	2	9
Eif4e1b	castor_canadensis	american_beaver	rodentia	1	9
EIF4E1B	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Eif4e1b	mus_musculus	house_mouse	rodentia	1	9
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
EIF4E1B	octodon_degus	degu	rodentia	1	9
EIF4E1B	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Eif4e1b	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
EIF4E1B	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
