Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	camelus_dromedarius	arabian_camel	artiodactyla	2	6
CSF2RB	bison_bison_bison	american_bison	artiodactyla	1	6
CSF2RB	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
CSF2RB	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
CSF2RB	sus_scrofa	wild_boar	artiodactyla	1	6
CSF2RB	panthera_pardus	leopard	carnivora	1	10
CSF2RB	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
CSF2RB	felis_catus	domestic_cat	carnivora	1	10
CSF2RB	canis_lupus_dingo	dingo	carnivora	1	10
CSF2RB	vulpes_vulpes	red_fox	carnivora	1	10
CSF2RB	zalophus_californianus	cali_sea_lion	carnivora	1	10
CSF2RB	panthera_leo	lion	carnivora	1	10
CSF2RB	ursus_maritimus	polar_bear	carnivora	1	10
CSF2RB	lynx_canadensis	canadian_lynx	carnivora	1	10
CSF2RB	canis_lupus_familiaris	domestic_dog	carnivora	1	10
CSF2RB	delphinapterus_leucas	beluga_whale	cetacea	1	1
CSF2RB	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
CSF2RB	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
CSF2RB	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
CSF2RB	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
CSF2RB	ochotona_princeps	american_pika	lagomorpha	1	2
CSF2RB	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	equus_caballus	domestic_horse	perissodactyla	2	4
NULL	equus_asinus_asinus	donkey	perissodactyla	2	4
CSF2RB	gorilla_gorilla	gorilla	primates	1	10
CSF2RB	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
CSF2RB	aotus_nancymaae	mas_night_monkey	primates	1	10
CSF2RB	nomascus_leucogenys	gibbon	primates	1	10
CSF2RB	macaca_fascicularis	crab_eating_macaque	primates	1	10
CSF2RB	papio_anubis	olive_baboon	primates	1	10
CSF2RB	mandrillus_leucophaeus	drill	primates	1	10
CSF2RB	pan_troglodytes	chimpanzee	primates	1	10
CSF2RB	cercocebus_atys	sooty_mangabey	primates	1	10
CSF2RB	carlito_syrichta	philippine_tarsier	primates	1	10
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
NULL	castor_canadensis	american_beaver	rodentia	2	12
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	12
CSF2RB	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	12
Csf2rb	mus_musculus	house_mouse	rodentia	2	12
Csf2rb	mus_spicilegus	steppe_mouse	rodentia	1	12
Csf2rb2	mus_musculus	house_mouse	rodentia	2	12
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	12
Csf2rb	rattus_norvegicus	norway_rat	rodentia	1	12
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	12
CSF2RB	octodon_degus	degu	rodentia	1	12
CSF2RB	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
