Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
MYEF2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
MYEF2	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
MYEF2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
MYEF2	bison_bison_bison	american_bison	artiodactyla	1	5
MYEF2	camelus_dromedarius	arabian_camel	artiodactyla	1	5
MYEF2	sus_scrofa	wild_boar	artiodactyla	1	5
MYEF2	felis_catus	domestic_cat	carnivora	1	11
MYEF2	vulpes_vulpes	red_fox	carnivora	1	11
NULL	canis_lupus_dingo	dingo	carnivora	2	11
MYEF2	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
MYEF2	zalophus_californianus	cali_sea_lion	carnivora	1	11
MYEF2	canis_lupus_familiaris	domestic_dog	carnivora	1	11
MYEF2	panthera_pardus	leopard	carnivora	1	11
MYEF2	ursus_maritimus	polar_bear	carnivora	1	11
MYEF2	panthera_leo	lion	carnivora	1	11
MYEF2	lynx_canadensis	canadian_lynx	carnivora	1	11
MYEF2	delphinapterus_leucas	beluga_whale	cetacea	1	1
MYEF2	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
MYEF2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
MYEF2	sorex_araneus	european_shrew	eulipotyphyla	1	2
MYEF2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
MYEF2	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
MYEF2	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
MYEF2	ochotona_princeps	american_pika	lagomorpha	1	2
MYEF2	equus_caballus	domestic_horse	perissodactyla	2	3
MYEF2	equus_asinus_asinus	donkey	perissodactyla	1	3
NULL	equus_caballus	domestic_horse	perissodactyla	2	3
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
MYEF2	carlito_syrichta	philippine_tarsier	primates	1	10
MYEF2	mandrillus_leucophaeus	drill	primates	1	10
MYEF2	pan_troglodytes	chimpanzee	primates	1	10
MYEF2	macaca_fascicularis	crab_eating_macaque	primates	1	10
MYEF2	papio_anubis	olive_baboon	primates	1	10
MYEF2	aotus_nancymaae	mas_night_monkey	primates	1	10
MYEF2	gorilla_gorilla	gorilla	primates	1	10
MYEF2	nomascus_leucogenys	gibbon	primates	1	10
MYEF2	cercocebus_atys	sooty_mangabey	primates	1	10
MYEF2	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
MYEF2	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	castor_canadensis	american_beaver	rodentia	1	10
MYEF2	octodon_degus	degu	rodentia	1	10
Myef2	mus_spicilegus	steppe_mouse	rodentia	1	10
Myef2	mus_musculus	house_mouse	rodentia	2	10
Myef2	rattus_norvegicus	norway_rat	rodentia	1	10
Gm9833	mus_musculus	house_mouse	rodentia	2	10
MYEF2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
MYEF2	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
MYEF2	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
