SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName	Order
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000039952	14	46228722	46229855	-1	ENSCHYG00000026506	ACTRT2	central_asian_red_deer	artiodactyla
SEQ	sus_scrofa	ENSSSCP00000003640	6	64664641	64665774	1	ENSSSCG00000003357	ACTRT2	wild_boar	artiodactyla
SEQ	moschus_moschiferus	ENSMMSP00000016904	PVHU020023298.1	8906060	8907193	1	ENSMMSG00000012891	ACTRT2	siberian_musk_deer	artiodactyla
SEQ	camelus_dromedarius	ENSCDRP00005020113	13	1605300	1606433	1	ENSCDRG00005014047	ACTRT2	arabian_camel	artiodactyla
SEQ	bison_bison_bison	ENSBBBP00000009842	KN265004.1	10173378	10174511	-1	ENSBBBG00000017985	ACTRT2	american_bison	artiodactyla
SEQ	panthera_leo	ENSPLOP00000013955	C2	214070137	214071267	-1	ENSPLOG00000010224	ACTRT2	lion	carnivora
SEQ	canis_lupus_familiaris	ENSCAFP00000028795	5	57659262	57660395	1	ENSCAFG00000019471	ACTRT2	domestic_dog	carnivora
SEQ	canis_lupus_dingo	ENSCAFP00020012415	QKWQ01002225.1	31330142	31331275	-1	ENSCAFG00020010000	ACTRT2	dingo	carnivora
SEQ	felis_catus	ENSFCAP00000012501	C1	1567694	1568827	1	ENSFCAG00000013479	ACTRT2	domestic_cat	carnivora
SEQ	zalophus_californianus	ENSZCAP00015010695	4	1589079	1590212	1	ENSZCAG00015006924	ACTRT2	cali_sea_lion	carnivora
SEQ	ursus_maritimus	ENSUMAP00000014340	KK498752.1	687180	688313	1	ENSUMAG00000010565	ACTRT2	polar_bear	carnivora
SEQ	lynx_canadensis	ENSLCNP00005029937	C1	1524459	1525592	1	ENSLCNG00005019500	ACTRT2	canadian_lynx	carnivora
SEQ	panthera_pardus	ENSPPRP00000027534	KV860309.1	2019699	2020829	1	ENSPPRG00000019061	ACTRT2	leopard	carnivora
SEQ	vulpes_vulpes	ENSVVUP00000038025	NBDQ01000052.1	12223252	12231387	-1	ENSVVUG00000027150	ACTRT2	red_fox	carnivora
SEQ	delphinapterus_leucas	ENSDLEP00000008717	ML702061.1	22205618	22206751	-1	ENSDLEG00000006385	ACTRT2	beluga_whale	cetacea
SEQ	pteropus_vampyrus	ENSPVAP00000002291	scaffold_20798	14728	15861	1	ENSPVAG00000002425	ACTRT2	large_flying_fox	chiroptera
SEQ	dasypus_novemcinctus	ENSDNOP00000010636	JH579354.1	270578	271711	1	ENSDNOG00000013734	ACTRT2	nine_banded_armadillo	cingulata
SEQ	procavia_capensis	ENSPCAP00000009454	scaffold_118771	4719	5852	1	ENSPCAG00000010209	ACTRT2	cape_rock_hyrax	hyracoidea
SEQ	equus_asinus_asinus	ENSEASP00005032050	PSZQ01005245.1	18077953	18079086	-1	ENSEASG00005021876	ACTRT2	donkey	perissodactyla
SEQ	equus_caballus	ENSECAP00000000844	2	47267344	47268477	-1	ENSECAG00000001137	ACTRT2	domestic_horse	perissodactyla
SEQ	aotus_nancymaae	ENSANAP00000026941	KZ207325.1	9	1031	1	ENSANAG00000031255	NULL	mas_night_monkey	primates
SEQ	mandrillus_leucophaeus	ENSMLEP00000002510	KN975256.1	51965	53098	-1	ENSMLEG00000010211	ACTRT2	drill	primates
SEQ	papio_anubis	ENSPANP00000009322	1	1838213	1839346	1	ENSPANG00000024738	ACTRT2	olive_baboon	primates
SEQ	gorilla_gorilla	ENSGGOP00000013812	1	2729097	2730528	1	ENSGGOG00000014163	ACTRT2	gorilla	primates
SEQ	macaca_fascicularis	ENSMFAP00000010635	1	225458232	225459365	-1	ENSMFAG00000008800	ACTRT2	crab_eating_macaque	primates
SEQ	pan_troglodytes	ENSPTRP00000000103	1	2143039	2144172	1	ENSPTRG00000000057	ACTRT2	chimpanzee	primates
SEQ	nomascus_leucogenys	ENSNLEP00000045053	24	3072666	3073797	1	ENSNLEG00000000275	ACTRT2	gibbon	primates
SEQ	callithrix_jacchus	ENSCJAP00000058657	NTIC01036611.1	116968645	116970325	-1	ENSCJAG00000022478	ACTRT2	white_tufted_ear_marmoset	primates
SEQ	loxodonta_africana	ENSLAFP00000001097	scaffold_26	20494791	20495921	-1	ENSLAFG00000001300	ACTRT2	african_savanna_elephant	proboscidea
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000014413	2	158872172	158873305	-1	ENSPEMG00000014225	Actrt2	prairie_deer_mouse	rodentia
SEQ	mus_spicilegus	ENSMSIP00000018693	QGOO01037438.1	3957859	3958992	-1	ENSMSIG00000015935	Actrt2	steppe_mouse	rodentia
SEQ	rattus_norvegicus	ENSRNOP00000016781	5	172077282	172078760	-1	ENSRNOG00000012586	Actrt2	norway_rat	rodentia
SEQ	octodon_degus	ENSODEP00000026497	JH651628.1	1468717	1469850	1	ENSODEG00000019932	ACTRT2	degu	rodentia
SEQ	mus_musculus	ENSMUSP00000050377	4	154666433	154667867	-1	ENSMUSG00000051276	Actrt2	house_mouse	rodentia
SEQ	chinchilla_lanigera	ENSCLAP00000025549	JH721946.1	8465620	8466744	-1	ENSCLAG00000017641	ACTRT2	long_tailed_chinchilla	rodentia
SEQ	castor_canadensis	ENSCCNP00000003636	MTKA01001783.1	1035563	1036693	1	ENSCCNG00000003881	Actrt2	american_beaver	rodentia
SEQ	nannospalax_galili	ENSNGAP00000008306	KL204447.1	1790757	1791890	1	ENSNGAG00000011337	Actrt2	upper_galilee_mountains_blind_mole_rat	rodentia
