Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
PHF8	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
PHF8	bison_bison_bison	american_bison	artiodactyla	1	5
PHF8	sus_scrofa	wild_boar	artiodactyla	1	5
PHF8	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
PHF8	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
PHF8	camelus_dromedarius	arabian_camel	artiodactyla	1	5
PHF8	panthera_leo	lion	carnivora	1	10
PHF8	panthera_pardus	leopard	carnivora	1	10
PHF8	felis_catus	domestic_cat	carnivora	1	10
PHF8	ailuropoda_melanoleuca	giant_panda	carnivora	2	10
PHF8	vulpes_vulpes	red_fox	carnivora	1	10
PHF8	ursus_maritimus	polar_bear	carnivora	1	10
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	10
PHF8	zalophus_californianus	cali_sea_lion	carnivora	1	10
PHF8	canis_lupus_dingo	dingo	carnivora	1	10
PHF8	lynx_canadensis	canadian_lynx	carnivora	1	10
PHF8	delphinapterus_leucas	beluga_whale	cetacea	1	1
PHF8	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
PHF8	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
PHF8	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
PHF8	sorex_araneus	european_shrew	eulipotyphyla	1	2
PHF8	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
PHF8	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
PHF8	equus_caballus	domestic_horse	perissodactyla	1	2
PHF8	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
PHF8	cercocebus_atys	sooty_mangabey	primates	1	11
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	11
PHF8	gorilla_gorilla	gorilla	primates	1	11
PHF8	mandrillus_leucophaeus	drill	primates	1	11
PHF8	pan_troglodytes	chimpanzee	primates	1	11
PHF8	papio_anubis	olive_baboon	primates	1	11
PHF8	macaca_fascicularis	crab_eating_macaque	primates	1	11
PHF8	carlito_syrichta	philippine_tarsier	primates	1	11
PHF8	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	11
PHF8	nomascus_leucogenys	gibbon	primates	1	11
PHF8	aotus_nancymaae	mas_night_monkey	primates	1	11
PHF8	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Phf8	mus_musculus	house_mouse	rodentia	1	10
Phf8	castor_canadensis	american_beaver	rodentia	1	10
NULL	mus_spicilegus	steppe_mouse	rodentia	2	10
Phf8	rattus_norvegicus	norway_rat	rodentia	2	10
PHF8	octodon_degus	degu	rodentia	1	10
Phf8	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
RGD1310212	rattus_norvegicus	norway_rat	rodentia	2	10
Phf8	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
PHF8	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
PHF8	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
