Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
KLC2	camelus_dromedarius	arabian_camel	artiodactyla	1	5
KLC2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
KLC2	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
RAB1B	sus_scrofa	wild_boar	artiodactyla	1	5
NULL	bison_bison_bison	american_bison	artiodactyla	1	5
KLC2	canis_lupus_familiaris	domestic_dog	carnivora	1	10
KLC2	lynx_canadensis	canadian_lynx	carnivora	1	10
KLC2	vulpes_vulpes	red_fox	carnivora	1	10
KLC2	ursus_maritimus	polar_bear	carnivora	1	10
KLC2	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
KLC2	felis_catus	domestic_cat	carnivora	1	10
KLC2	panthera_pardus	leopard	carnivora	1	10
KLC2	zalophus_californianus	cali_sea_lion	carnivora	1	10
KLC2	panthera_leo	lion	carnivora	1	10
KLC2	canis_lupus_dingo	dingo	carnivora	1	10
KLC2	delphinapterus_leucas	beluga_whale	cetacea	1	1
KLC2	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
KLC2	ochotona_princeps	american_pika	lagomorpha	1	1
KLC2	equus_asinus_asinus	donkey	perissodactyla	1	1
KLC2	nomascus_leucogenys	gibbon	primates	1	10
KLC2	pan_troglodytes	chimpanzee	primates	1	10
KLC2	gorilla_gorilla	gorilla	primates	1	10
KLC2	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
KLC2	papio_anubis	olive_baboon	primates	1	10
KLC2	mandrillus_leucophaeus	drill	primates	1	10
KLC2	aotus_nancymaae	mas_night_monkey	primates	1	10
KLC2	macaca_fascicularis	crab_eating_macaque	primates	1	10
KLC2	carlito_syrichta	philippine_tarsier	primates	1	10
KLC2	cercocebus_atys	sooty_mangabey	primates	1	10
KLC2	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
KLC2	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Klc2	castor_canadensis	american_beaver	rodentia	1	9
Klc2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Klc2	mus_spicilegus	steppe_mouse	rodentia	1	9
Klc2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
Klc2	mus_musculus	house_mouse	rodentia	1	9
KLC2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Klc2	rattus_norvegicus	norway_rat	rodentia	1	9
KLC2	octodon_degus	degu	rodentia	1	9
KLC2	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
