Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NANP	bison_bison_bison	american_bison	artiodactyla	1	5
NANP	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	5
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	5
NANP	panthera_leo	lion	carnivora	1	12
NANP	zalophus_californianus	cali_sea_lion	carnivora	1	12
NANP	vulpes_vulpes	red_fox	carnivora	1	12
NULL	canis_lupus_familiaris	domestic_dog	carnivora	2	12
NANP	panthera_pardus	leopard	carnivora	1	12
NANP	felis_catus	domestic_cat	carnivora	1	12
NULL	canis_lupus_dingo	dingo	carnivora	2	12
NANP	ailuropoda_melanoleuca	giant_panda	carnivora	1	12
NANP	lynx_canadensis	canadian_lynx	carnivora	1	12
NANP	ursus_maritimus	polar_bear	carnivora	1	12
NANP	delphinapterus_leucas	beluga_whale	cetacea	1	1
NANP	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NANP	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NANP	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
NANP	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NANP	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NANP	ochotona_princeps	american_pika	lagomorpha	1	2
NANP	equus_asinus_asinus	donkey	perissodactyla	1	2
NANP	equus_caballus	domestic_horse	perissodactyla	1	2
NANP	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	papio_anubis	olive_baboon	primates	2	10
NANP	pan_troglodytes	chimpanzee	primates	1	10
NULL	cercocebus_atys	sooty_mangabey	primates	1	10
NANP	nomascus_leucogenys	gibbon	primates	1	10
NANP	aotus_nancymaae	mas_night_monkey	primates	1	10
NANP	gorilla_gorilla	gorilla	primates	1	10
NULL	mandrillus_leucophaeus	drill	primates	1	10
NANP	macaca_fascicularis	crab_eating_macaque	primates	1	10
NANP	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
NANP	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Nanp	castor_canadensis	american_beaver	rodentia	1	11
Nanp	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
NULL	octodon_degus	degu	rodentia	3	11
Nanp	mus_musculus	house_mouse	rodentia	1	11
Nanp	rattus_norvegicus	norway_rat	rodentia	1	11
Nanp	mus_spicilegus	steppe_mouse	rodentia	1	11
Nanp	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
NANP	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
NANP	cavia_aperea	brazilian_guinea_pig	rodentia	1	11
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
