Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	4
SCART1	sus_scrofa	wild_boar	artiodactyla	1	4
SCART1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
NULL	vulpes_vulpes	red_fox	carnivora	1	9
SCART1	canis_lupus_dingo	dingo	carnivora	1	9
NULL	ursus_maritimus	polar_bear	carnivora	1	9
SCART1	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
SCART1	canis_lupus_familiaris	domestic_dog	carnivora	1	9
SCART1	felis_catus	domestic_cat	carnivora	1	9
SCART1	panthera_leo	lion	carnivora	1	9
SCART1	zalophus_californianus	cali_sea_lion	carnivora	1	9
SCART1	lynx_canadensis	canadian_lynx	carnivora	1	9
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	1
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
SCART1	equus_caballus	domestic_horse	perissodactyla	1	2
SCART1	gorilla_gorilla	gorilla	primates	1	9
NULL	aotus_nancymaae	mas_night_monkey	primates	1	9
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	9
NULL	nomascus_leucogenys	gibbon	primates	1	9
SCART1	papio_anubis	olive_baboon	primates	1	9
SCART1	macaca_fascicularis	crab_eating_macaque	primates	1	9
NULL	pan_troglodytes	chimpanzee	primates	1	9
5830411N06Rik	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
NULL	octodon_degus	degu	rodentia	2	10
Cd163l1	mus_spicilegus	steppe_mouse	rodentia	2	10
Cd163l1	mus_musculus	house_mouse	rodentia	2	10
5830411N06Rik	castor_canadensis	american_beaver	rodentia	1	10
5830411N06Rik	mus_musculus	house_mouse	rodentia	2	10
Scart1	rattus_norvegicus	norway_rat	rodentia	2	10
Olr292	rattus_norvegicus	norway_rat	rodentia	2	10
5830411N06Rik	mus_spicilegus	steppe_mouse	rodentia	2	10
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
