gene_stable_id	protein_stable_id	species	identity	homology_type	homology_gene_stable_id	homology_protein_stable_id	homology_species	homology_identity	dn	ds	goc_score	wga_coverage	is_high_confidence	homology_id	common_name
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	61.1702	ortholog_one2one	ENSCHOG00000005008	ENSCHOP00000004433	choloepus_hoffmanni	70.1219			25.0		0.0	106739169	Hoffmann's_two_fingered_sloth
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSDNOG00000017759	ENSDNOP00000013777	dasypus_novemcinctus	100.0			100.0		1.0	107329020	nine_banded_armadillo
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	97.6064	ortholog_one2one	ENSEEUG00000015878	ENSEEUP00000014501	erinaceus_europaeus	97.8667			75.0		1.0	109888452	western_european_hedgehog
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	93.0851	ortholog_one2one	ENSETEG00000002362	ENSETEP00000001918	echinops_telfairi	93.3333			100.0		1.0	111969340	lesser_hedgehog_tenrec
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	97.0745	ortholog_one2one	ENSMFAG00000041926	ENSMFAP00000029496	macaca_fascicularis	96.817			100.0	0.0	1.0	116092510	crab_eating_macaque
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	97.0745	ortholog_one2one	ENSPANG00000020986	ENSPANP00000026619	papio_anubis	96.817			100.0	0.0	1.0	124035825	olive_baboon
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	97.0745	ortholog_one2one	ENSCATG00000036491	ENSCATP00000026203	cercocebus_atys	96.817			100.0		1.0	127375059	sooty_mangabey
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSGGOG00000011237	ENSGGOP00000002528	gorilla_gorilla	100.0			100.0	0.0	1.0	131457929	gorilla
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	97.0745	ortholog_one2one	ENSMLEG00000040789	ENSMLEP00000033323	mandrillus_leucophaeus	96.817			100.0		1.0	131996224	drill
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	96.5426	ortholog_one2one	ENSCAFG00000010210	ENSCAFP00000044336	canis_lupus_familiaris	91.4358			100.0	100.0	1.0	137806536	domestic_dog
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	96.2766	ortholog_one2one	ENSVVUG00000003644	ENSVVUP00000005332	vulpes_vulpes	95.7672			100.0	0.0	1.0	147655583	red_fox
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSAMEG00000017796	ENSAMEP00000018810	ailuropoda_melanoleuca	100.0			100.0		1.0	147800614	giant_panda
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSZCAG00015021212	ENSZCAP00015033739	zalophus_californianus	100.0			100.0	0.0	1.0	149161091	cali_sea_lion
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSUMAG00000023448	ENSUMAP00000032520	ursus_maritimus	100.0			100.0		1.0	149249998	polar_bear
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	94.1489	ortholog_one2one	ENSSSCG00000010585	ENSSSCP00000037324	sus_scrofa	95.935			100.0	0.0	1.0	149560335	wild_boar
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSCDRG00005013729	ENSCDRP00005019705	camelus_dromedarius	100.0			100.0	0.0	1.0	149635147	arabian_camel
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	85.3723	ortholog_one2one	ENSCAPG00000014229	ENSCAPP00000013655	cavia_aperea	92.2414			100.0	0.0	1.0	149744576	brazilian_guinea_pig
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSCCNG00000015684	ENSCCNP00000015280	castor_canadensis	100.0			100.0		1.0	149886963	american_beaver
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	89.3617	ortholog_one2one	ENSEASG00005015221	ENSEASP00005022289	equus_asinus_asinus	77.4194			100.0		1.0	149996717	donkey
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	99.734	ortholog_one2one	ENSPEMG00000006737	ENSPEMP00000004435	peromyscus_maniculatus_bairdii	99.734			100.0	0.0	1.0	150053032	prairie_deer_mouse
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSSARG00000006305	ENSSARP00000005714	sorex_araneus	100.0			75.0		1.0	150118640	european_shrew
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	88.0319	ortholog_one2one	ENSPLOG00000017687	ENSPLOP00000024132	panthera_leo	87.3351			100.0	100.0	1.0	150186424	lion
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSCLAG00000001321	ENSCLAP00000001774	chinchilla_lanigera	100.0			100.0		1.0	150312772	long_tailed_chinchilla
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSCHYG00000014018	ENSCHYP00000020956	cervus_hanglu_yarkandensis	100.0			100.0	100.0	1.0	150441093	central_asian_red_deer
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSRNOG00000019725	ENSRNOP00000026792	rattus_norvegicus	100.0			100.0	0.0	1.0	150489527	norway_rat
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSLAFG00000005064	ENSLAFP00000004237	loxodonta_africana	100.0			100.0	0.0	1.0	150509319	african_savanna_elephant
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSPPRG00000011443	ENSPPRP00000020339	panthera_pardus	100.0			100.0	100.0	1.0	150655442	leopard
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSNLEG00000015157	ENSNLEP00000018415	nomascus_leucogenys	100.0			100.0	0.0	1.0	150902782	gibbon
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSOPRG00000006626	ENSOPRP00000006067	ochotona_princeps	100.0			50.0		0.0	151028305	american_pika
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSBBBG00000022481	ENSBBBP00000026568	bison_bison_bison	100.0			100.0		1.0	151537302	american_bison
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSCAFG00020010244	ENSCAFP00020012715	canis_lupus_dingo	100.0			100.0	100.0	1.0	151853797	dingo
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	89.3617	ortholog_one2one	ENSECAG00000024503	ENSECAP00000024126	equus_caballus	77.4194			100.0	0.0	1.0	151963286	domestic_horse
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	95.7447	ortholog_one2one	ENSOCUG00000005779	ENSOCUP00000038993	oryctolagus_cuniculus	94.4882			100.0	0.0	1.0	152348162	rabbit
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSMUSG00000025228	ENSMUSP00000039844	mus_musculus	100.0			75.0	0.0	1.0	152660829	house_mouse
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	89.8936	ortholog_one2one	ENSPVAG00000011290	ENSPVAP00000010643	pteropus_vampyrus	90.3743			100.0		1.0	153295982	large_flying_fox
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSMSIG00000011269	ENSMSIP00000013016	mus_spicilegus	100.0			100.0		1.0	155562363	steppe_mouse
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	75.0	ortholog_one2one	ENSPCAG00000011578	ENSPCAP00000010817	procavia_capensis	75.0			75.0		1.0	166450362	cape_rock_hyrax
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	82.9787	ortholog_one2one	ENSTBEG00000002480	ENSTBEP00000002164	tupaia_belangeri	83.4225			50.0		0.0	171923925	nothern_tree_shrew
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSODEG00000008379	ENSODEP00000011270	octodon_degus	100.0			75.0		1.0	172164163	degu
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSLCNG00005011038	ENSLCNP00005016752	lynx_canadensis	100.0			100.0	100.0	1.0	174060872	canadian_lynx
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	100.0	ortholog_one2one	ENSNGAG00000012852	ENSNGAP00000010422	nannospalax_galili	100.0			100.0		1.0	174411302	upper_galilee_mountains_blind_mole_rat
ENSFCAG00000001248	ENSFCAP00000001159	felis_catus	71.2766	ortholog_one2one	ENSANAG00000033970	ENSANAP00000032554	aotus_nancymaae	80.7229			100.0		1.0	176396235	ma's_night_monkey
