Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	bison_bison_bison	american_bison	artiodactyla	7	36
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	8	36
NULL	sus_scrofa	wild_boar	artiodactyla	9	36
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	6	36
NULL	camelus_dromedarius	arabian_camel	artiodactyla	6	36
OR9G4	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	6	36
OR5AP2	sus_scrofa	wild_boar	artiodactyla	9	36
OR5AP2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	6	36
OR9G4	camelus_dromedarius	arabian_camel	artiodactyla	6	36
OR5AP2	camelus_dromedarius	arabian_camel	artiodactyla	6	36
NULL	vulpes_vulpes	red_fox	carnivora	6	67
NULL	lynx_canadensis	canadian_lynx	carnivora	7	67
NULL	panthera_leo	lion	carnivora	7	67
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	67
NULL	panthera_pardus	leopard	carnivora	8	67
NULL	canis_lupus_familiaris	domestic_dog	carnivora	8	67
NULL	felis_catus	domestic_cat	carnivora	9	67
OR5G1	canis_lupus_familiaris	domestic_dog	carnivora	8	67
OR5AP2	ursus_maritimus	polar_bear	carnivora	8	67
OR5AP2	panthera_leo	lion	carnivora	7	67
NULL	ursus_maritimus	polar_bear	carnivora	8	67
OR5AP2	canis_lupus_familiaris	domestic_dog	carnivora	8	67
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	8	67
OR9G4	lynx_canadensis	canadian_lynx	carnivora	7	67
OR9G4	ailuropoda_melanoleuca	giant_panda	carnivora	8	67
OR5AP2	canis_lupus_dingo	dingo	carnivora	5	67
OR9G4	felis_catus	domestic_cat	carnivora	9	67
OR5G5	canis_lupus_familiaris	domestic_dog	carnivora	8	67
NULL	canis_lupus_dingo	dingo	carnivora	5	67
OR9G4	ursus_maritimus	polar_bear	carnivora	8	67
OR5AP2	vulpes_vulpes	red_fox	carnivora	6	67
OR5AP2	ailuropoda_melanoleuca	giant_panda	carnivora	8	67
OR5G1B	canis_lupus_familiaris	domestic_dog	carnivora	8	67
OR9G4	canis_lupus_familiaris	domestic_dog	carnivora	8	67
OR5G3	canis_lupus_familiaris	domestic_dog	carnivora	8	67
OR5AP2	panthera_pardus	leopard	carnivora	8	67
OR5AP2	lynx_canadensis	canadian_lynx	carnivora	7	67
OR5AP2	felis_catus	domestic_cat	carnivora	9	67
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
OR5AP2	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	12	12
OR5AP2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	12	12
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	2
OR5AP2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	2
OR9G4	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
OR9G4	ochotona_princeps	american_pika	lagomorpha	2	10
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	8	10
OR9G4	oryctolagus_cuniculus	rabbit	lagomorpha	8	10
NULL	ochotona_princeps	american_pika	lagomorpha	2	10
NULL	equus_asinus_asinus	donkey	perissodactyla	9	21
NULL	equus_caballus	domestic_horse	perissodactyla	12	21
OR9G4	equus_caballus	domestic_horse	perissodactyla	12	21
OR5AP2	equus_caballus	domestic_horse	perissodactyla	12	21
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
OR9G4	pan_troglodytes	chimpanzee	primates	3	22
OR5AP2	gorilla_gorilla	gorilla	primates	2	22
OR9G4	callithrix_jacchus	white_tufted_ear_marmoset	primates	6	22
OR9G4	cercocebus_atys	sooty_mangabey	primates	2	22
OR5AP2	mandrillus_leucophaeus	drill	primates	2	22
OR9G4	nomascus_leucogenys	gibbon	primates	2	22
OR5AP2	cercocebus_atys	sooty_mangabey	primates	2	22
OR9G4	gorilla_gorilla	gorilla	primates	2	22
OR93CH	pan_troglodytes	chimpanzee	primates	3	22
OR5AP2	papio_anubis	olive_baboon	primates	2	22
NULL	aotus_nancymaae	mas_night_monkey	primates	2	22
OR5AP2	pan_troglodytes	chimpanzee	primates	3	22
OR9G4	macaca_fascicularis	crab_eating_macaque	primates	1	22
OR9G4	mandrillus_leucophaeus	drill	primates	2	22
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	6	22
OR9G4	papio_anubis	olive_baboon	primates	2	22
NULL	nomascus_leucogenys	gibbon	primates	2	22
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	17	17
Olfr1128	mus_spicilegus	steppe_mouse	rodentia	12	73
Olfr1009	mus_musculus	house_mouse	rodentia	13	73
NULL	mus_spicilegus	steppe_mouse	rodentia	12	73
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	73
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	4	73
Olr450	rattus_norvegicus	norway_rat	rodentia	12	73
Olfr1015	mus_musculus	house_mouse	rodentia	13	73
NULL	castor_canadensis	american_beaver	rodentia	14	73
Olr446	rattus_norvegicus	norway_rat	rodentia	12	73
Olr448	rattus_norvegicus	norway_rat	rodentia	12	73
Olfr1009	castor_canadensis	american_beaver	rodentia	14	73
Olfr1009	mus_spicilegus	steppe_mouse	rodentia	12	73
Olfr1020	mus_musculus	house_mouse	rodentia	13	73
OR5AP2	octodon_degus	degu	rodentia	2	73
Olfr1020	mus_spicilegus	steppe_mouse	rodentia	12	73
Olr443	rattus_norvegicus	norway_rat	rodentia	12	73
NULL	octodon_degus	degu	rodentia	2	73
Olfr1006	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	8	73
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	8	73
Olfr996	mus_spicilegus	steppe_mouse	rodentia	12	73
Olfr1006	mus_musculus	house_mouse	rodentia	13	73
Olr458	rattus_norvegicus	norway_rat	rodentia	12	73
Olr444	rattus_norvegicus	norway_rat	rodentia	12	73
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	5	73
Olfr1134	mus_musculus	house_mouse	rodentia	13	73
Olfr1006	mus_spicilegus	steppe_mouse	rodentia	12	73
Olfr1000	mus_spicilegus	steppe_mouse	rodentia	12	73
