Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
LCLAT1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
LPGAT1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
AGPAT3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
AGPAT4	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
AGPAT5	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
LPGAT1	bison_bison_bison	american_bison	artiodactyla	5	25
LPGAT1	camelus_dromedarius	arabian_camel	artiodactyla	5	25
LCLAT1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
AGPAT4	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
AGPAT5	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
AGPAT4	sus_scrofa	wild_boar	artiodactyla	5	25
AGPAT4	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
LCLAT1	camelus_dromedarius	arabian_camel	artiodactyla	5	25
LPGAT1	sus_scrofa	wild_boar	artiodactyla	5	25
AGPAT5	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
LCLAT1	sus_scrofa	wild_boar	artiodactyla	5	25
NULL	bison_bison_bison	american_bison	artiodactyla	5	25
LCLAT1	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
AGPAT5	bison_bison_bison	american_bison	artiodactyla	5	25
AGPAT5	camelus_dromedarius	arabian_camel	artiodactyla	5	25
LPGAT1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
AGPAT3	sus_scrofa	wild_boar	artiodactyla	5	25
AGPAT4	camelus_dromedarius	arabian_camel	artiodactyla	5	25
AGPAT3	bison_bison_bison	american_bison	artiodactyla	5	25
AGPAT3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
AGPAT3	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
LPGAT1	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
AGPAT5	sus_scrofa	wild_boar	artiodactyla	5	25
AGPAT3	camelus_dromedarius	arabian_camel	artiodactyla	5	25
LCLAT1	bison_bison_bison	american_bison	artiodactyla	5	25
AGPAT5	panthera_leo	lion	carnivora	5	50
AGPAT4	panthera_leo	lion	carnivora	5	50
LPGAT1	panthera_leo	lion	carnivora	5	50
LCLAT1	panthera_leo	lion	carnivora	5	50
LCLAT1	canis_lupus_dingo	dingo	carnivora	5	50
LCLAT1	vulpes_vulpes	red_fox	carnivora	5	50
AGPAT5	canis_lupus_familiaris	domestic_dog	carnivora	5	50
AGPAT4	vulpes_vulpes	red_fox	carnivora	5	50
AGPAT3	canis_lupus_familiaris	domestic_dog	carnivora	5	50
LPGAT1	zalophus_californianus	cali_sea_lion	carnivora	5	50
AGPAT5	ailuropoda_melanoleuca	giant_panda	carnivora	5	50
AGPAT3	zalophus_californianus	cali_sea_lion	carnivora	5	50
AGPAT3	felis_catus	domestic_cat	carnivora	5	50
LPGAT1	panthera_pardus	leopard	carnivora	5	50
AGPAT3	lynx_canadensis	canadian_lynx	carnivora	5	50
LPGAT1	vulpes_vulpes	red_fox	carnivora	5	50
AGPAT5	vulpes_vulpes	red_fox	carnivora	5	50
AGPAT4	panthera_pardus	leopard	carnivora	5	50
LCLAT1	panthera_pardus	leopard	carnivora	5	50
LCLAT1	ursus_maritimus	polar_bear	carnivora	5	50
AGPAT4	felis_catus	domestic_cat	carnivora	5	50
AGPAT3	ursus_maritimus	polar_bear	carnivora	5	50
LPGAT1	lynx_canadensis	canadian_lynx	carnivora	5	50
AGPAT4	ursus_maritimus	polar_bear	carnivora	5	50
LCLAT1	canis_lupus_familiaris	domestic_dog	carnivora	5	50
AGPAT3	canis_lupus_dingo	dingo	carnivora	5	50
AGPAT5	ursus_maritimus	polar_bear	carnivora	5	50
AGPAT3	vulpes_vulpes	red_fox	carnivora	5	50
AGPAT5	canis_lupus_dingo	dingo	carnivora	5	50
AGPAT5	lynx_canadensis	canadian_lynx	carnivora	5	50
LCLAT1	lynx_canadensis	canadian_lynx	carnivora	5	50
LPGAT1	felis_catus	domestic_cat	carnivora	5	50
AGPAT5	zalophus_californianus	cali_sea_lion	carnivora	5	50
LCLAT1	ailuropoda_melanoleuca	giant_panda	carnivora	5	50
AGPAT5	panthera_pardus	leopard	carnivora	5	50
LPGAT1	ailuropoda_melanoleuca	giant_panda	carnivora	5	50
AGPAT4	canis_lupus_familiaris	domestic_dog	carnivora	5	50
LPGAT1	ursus_maritimus	polar_bear	carnivora	5	50
AGPAT4	canis_lupus_dingo	dingo	carnivora	5	50
LCLAT1	zalophus_californianus	cali_sea_lion	carnivora	5	50
AGPAT3	panthera_pardus	leopard	carnivora	5	50
LPGAT1	canis_lupus_dingo	dingo	carnivora	5	50
LCLAT1	felis_catus	domestic_cat	carnivora	5	50
AGPAT4	lynx_canadensis	canadian_lynx	carnivora	5	50
