SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene
SEQ	hippocampus_comes	ENSHCOP00000000751	KV880234.1	150168	155397	-1	ENSHCOG00000001620	actr1
SEQ	eptatretus_burgeri	ENSEBUP00000002412	FYBX02009473.1	1535866	1557084	1	ENSEBUG00000001879	actr1
SEQ	piliocolobus_tephrosceles	ENSPTEP00000002698	PDMG02000942.1	432492	440647	-1	ENSPTEG00000003193	ACTR1A
SEQ	stachyris_ruficeps	ENSCRFP00000012432	VZDJ01000116.1	17751500	17764932	-1	ENSCRFG00000009642	ACTR1A
SEQ	pelusios_castaneus	ENSPCEP00000002358	ML685755.1	3321143	3341329	-1	ENSPCEG00000001925	ACTR1A
SEQ	calidris_pugnax	ENSCPUP00000000030	KQ482104.1	3269074	3286913	-1	ENSCPUG00000000036	ACTR1A
SEQ	notamacropus_eugenii	ENSMEUP00000008551	GeneScaffold_4831	2402	15850	-1	ENSMEUG00000009366	ACTR1A
SEQ	salmo_trutta	ENSSTUP00000095915	23	29685332	29692540	-1	ENSSTUG00000043119	actr1
SEQ	ailuropoda_melanoleuca	ENSAMEP00000018810	GL192371.1	1483774	1500172	-1	ENSAMEG00000017796	ACTR1A
SEQ	athene_cunicularia	ENSACUP00000010630	QEEU01000012.1	12080733	12092004	-1	ENSACUG00000007201	ACTR1A
SEQ	callorhinchus_milii	ENSCMIP00000008033	KI636699.1	17770	23456	-1	ENSCMIG00000004313	actr1
SEQ	ciona_intestinalis	ENSCINP00000015449	5	169927	174979	1	ENSCING00000007529	NULL
SEQ	bos_mutus	ENSBMUP00000001885	JH880389.1	1322693	1339270	1	ENSBMUG00000001516	ACTR1A
SEQ	maylandia_zebra	ENSMZEP00005031026	LG7	26733590	26740144	-1	ENSMZEG00005023132	actr1
SEQ	ictalurus_punctatus	ENSIPUP00000028364	16	90207	94190	1	ENSIPUG00000019193	actr1
SEQ	choloepus_hoffmanni	ENSCHOP00000004433	GeneScaffold_3810	3149	20233	-1	ENSCHOG00000005008	ACTR1A
SEQ	sarcophilus_harrisii	ENSSHAP00000027467	2	558509508	558527983	-1	ENSSHAG00000018823	ACTR1A
SEQ	salmo_trutta	ENSSTUP00000038690	9	18403299	18407877	1	ENSSTUG00000016442	NULL
SEQ	cyprinus_carpio_hebaored	ENSCCRP00020014437	SAUJ01017470.1	607322	613825	1	ENSCCRG00020006714	actr1
SEQ	terrapene_carolina_triunguis	ENSTMTP00000004072	PRFB02000096.1	3698659	3713211	-1	ENSTMTG00000002990	ACTR1A
SEQ	sander_lucioperca	ENSSLUP00000023975	VTTG01000074.1	1027610	1045561	-1	ENSSLUG00000010841	actr1
SEQ	cynoglossus_semilaevis	ENSCSEP00000015444	14	16679755	16684476	-1	ENSCSEG00000009917	actr1
SEQ	cyanistes_caeruleus	ENSCCEP00000000805	PDCF01000011.1	12870165	12877420	-1	ENSCCEG00000000841	ACTR1A
SEQ	callorhinchus_milii	ENSCMIP00000000393	KI636206.1	120066	133278	1	ENSCMIG00000000215	NULL
SEQ	astyanax_mexicanus_pachon	ENSAMXP00005050561	KB882196.1	1036633	1043579	1	ENSAMXG00005022915	actr1
SEQ	sinocyclocheilus_anshuiensis	ENSSANP00000013101	LAVE01S013143.1	689746	699100	1	ENSSANG00000006881	actr1
SEQ	anas_platyrhynchos	ENSAPLP00020006973	7	13835202	13847812	1	ENSAPLG00020005091	ACTR1A
SEQ	camarhynchus_parvulus	ENSCPVP00000015101	6	22662306	22674996	-1	ENSCPVG00000011059	ACTR1A
SEQ	rhinolophus_ferrumequinum	ENSRFEP00010026559	16	22540465	22554888	1	ENSRFEG00010017647	ACTR1A
SEQ	oncorhynchus_kisutch	ENSOKIP00005095607	LG29	8803704	8809991	-1	ENSOKIG00005041614	ACTR1A
SEQ	pan_troglodytes	ENSPTRP00000005101	10	103934954	103947887	-1	ENSPTRG00000002894	ACTR1A
SEQ	haplochromis_burtoni	ENSHBUP00000017662	JH425665.1	73637	78299	-1	ENSHBUG00000019744	actr1
SEQ	scophthalmus_maximus	ENSSMAP00000010879	4	22309993	22324072	-1	ENSSMAG00000006702	actr1
SEQ	dipodomys_ordii	ENSDORP00000027856	KN672382.1	5980931	5996018	-1	ENSDORG00000027112	Actr1a
SEQ	cyprinus_carpio	ENSCCRP00000068436	LN591118.1	768639	775323	-1	ENSCCRG00000036706	actr1
SEQ	vombatus_ursinus	ENSVURP00010001834	UNPS02009205.1	18339736	18355720	1	ENSVURG00010001535	ACTR1A
SEQ	apteryx_haastii	ENSAHAP00000001907	PTFD01000235.1	142213	157194	-1	ENSAHAG00000001602	ACTR1A
SEQ	oncorhynchus_kisutch	ENSOKIP00005067413	LG23	28148238	28202709	-1	ENSOKIG00005028802	NULL
SEQ	sorex_araneus	ENSSARP00000005714	GeneScaffold_1586	315141	339286	-1	ENSSARG00000006305	ACTR1A
SEQ	sciurus_vulgaris	ENSSVLP00005004926	4	26669981	26687037	1	ENSSVLG00005003935	ACTR1A
SEQ	parus_major	ENSPMJP00000005489	6	21592208	21606943	-1	ENSPMJG00000004762	ACTR1A
SEQ	lates_calcarifer	ENSLCAP00010047671	CYIF01000021.1	940065	944492	-1	ENSLCAG00010022145	actr1
SEQ	carlito_syrichta	ENSTSYP00000030541	KE932126.1	6530	22293	-1	ENSTSYG00000032955	NULL
SEQ	tupaia_belangeri	ENSTBEP00000002164	GeneScaffold_1763	36193	63731	-1	ENSTBEG00000002480	ACTR1A
SEQ	monodon_monoceros	ENSMMNP00015017892	SIHG01006967.1	56400905	56416967	-1	ENSMMNG00015013180	ACTR1A
SEQ	saimiri_boliviensis_boliviensis	ENSSBOP00000005881	JH378110.1	30032998	30057403	1	ENSSBOG00000019736	ACTR1A
SEQ	jaculus_jaculus	ENSJJAP00000007913	JH725466.1	26550928	26584282	1	ENSJJAG00000012214	Actr1a
SEQ	dasypus_novemcinctus	ENSDNOP00000013777	JH578031.1	531957	549388	1	ENSDNOG00000017759	ACTR1A
SEQ	salmo_salar	ENSSSAP00000110671	ssa20	23120020	23123740	1	ENSSSAG00000078142	NULL
SEQ	canis_lupus_familiarisgreatdane	ENSCAFP00040038072	28	14991505	15001026	-1	ENSCAFG00040023403	ACTR1A
SEQ	panthera_leo	ENSPLOP00000024132	D3	25679879	25693340	1	ENSPLOG00000017687	ACTR1A
SEQ	gopherus_evgoodei	ENSGEVP00005007538	7	4181312	4201370	-1	ENSGEVG00005005357	ACTR1A
SEQ	oryzias_sinensis	ENSOSIP00000004929	VHIC01066030.1	3	3567	-1	ENSOSIG00000003364	actr1
SEQ	macaca_mulatta	ENSMMUP00000078638	9	102997579	103025530	-1	ENSMMUG00000011949	ACTR1A
SEQ	oreochromis_aureus	ENSOABP00000025040	VASH01000699.1	954469	961202	-1	ENSOABG00000011915	actr1
SEQ	junco_hyemalis	ENSJHYP00000002714	QZWM01000982.1	22687960	22702010	-1	ENSJHYG00000002266	ACTR1A
SEQ	strigops_habroptila	ENSSHBP00005003466	6	68474429	68488818	-1	ENSSHBG00005003132	ACTR1A
SEQ	cavia_aperea	ENSCAPP00000013655	AVPZ01000023.1	12083691	12092186	1	ENSCAPG00000014229	ACTR1A
SEQ	takifugu_rubripes	ENSTRUP00000047722	6	9303562	9309333	1	ENSTRUG00000018630	actr1
SEQ	parambassis_ranga	ENSPRNP00000003264	12	16486426	16492189	1	ENSPRNG00000001494	actr1
SEQ	nomascus_leucogenys	ENSNLEP00000018415	3	31811234	31835966	1	ENSNLEG00000015157	ACTR1A
SEQ	oryzias_melastigma	ENSOMEP00000003714	NVQA01000031.1	603407	610123	-1	ENSOMEG00000004609	actr1
SEQ	erpetoichthys_calabaricus	ENSECRP00000004204	2	273911230	273956425	1	ENSECRG00000002860	actr1
SEQ	laticauda_laticaudata	ENSLLTP00000003359	BHFT01020379.1	43210	71988	-1	ENSLLTG00000002526	ACTR1A
SEQ	cricetulus_griseus_chok1gshd	ENSCGRP00001012069	scaffold_36	14826183	14846462	1	ENSCGRG00001013578	Actr1a
SEQ	salmo_salar	ENSSSAP00000036834	ssa01	136891395	136899403	-1	ENSSSAG00000042725	acty
SEQ	acanthochromis_polyacanthus	ENSAPOP00000026344	MVNR01000856.1	329009	342435	1	ENSAPOG00000010128	actr1
SEQ	mus_spicilegus	ENSMSIP00000013016	QGOO01037417.1	303678	322701	1	ENSMSIG00000011269	Actr1a
SEQ	rhinopithecus_bieti	ENSRBIP00000023320	MCGX01011832.1	4980927	4993199	1	ENSRBIG00000035561	ACTR1A
SEQ	phascolarctos_cinereus	ENSPCIP00000039510	MSTS01000007.1	28286154	28299954	-1	ENSPCIG00000028989	ACTR1A
SEQ	crocodylus_porosus	ENSCPRP00005018530	MDVP01000069.1	25030061	25046086	1	ENSCPRG00005012965	ACTR1A
SEQ	pan_troglodytes	ENSPTRP00000087686	2A	108665711	108666870	1	ENSPTRG00000050040	NULL
SEQ	pan_paniscus	ENSPPAP00000014791	10	102547695	102570766	-1	ENSPPAG00000030539	ACTR1A
SEQ	urocitellus_parryii	ENSUPAP00010026030	QVIC01000240.1	2739238	2755676	1	ENSUPAG00010020582	ACTR1A
SEQ	cairina_moschata_domestica	ENSCMMP00000001590	6	23740694	23754084	-1	ENSCMMG00000001058	ACTR1A
SEQ	nothobranchius_furzeri	ENSNFUP00015033515	LN600616.1	3045	17339	1	ENSNFUG00015016364	actr1
SEQ	oncorhynchus_mykiss	ENSOMYP00000001301	5	18960693	18967598	1	ENSOMYG00000000734	actr1
SEQ	phasianus_colchicus	ENSPCLP00000011371	QCWP01000099.1	12245426	12257261	1	ENSPCLG00000009386	ACTR1A
SEQ	canis_lupus_familiarisbasenji	ENSCAFP00030039686	28	27241667	27251186	1	ENSCAFG00030024658	ACTR1A
