Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	camelus_dromedarius	arabian_camel	artiodactyla	4	12
NULL	bison_bison_bison	american_bison	artiodactyla	3	12
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	12
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	12
NULL	sus_scrofa	wild_boar	artiodactyla	2	12
NULL	panthera_pardus	leopard	carnivora	10	47
NULL	canis_lupus_familiaris	domestic_dog	carnivora	4	47
NULL	lynx_canadensis	canadian_lynx	carnivora	5	47
NULL	vulpes_vulpes	red_fox	carnivora	7	47
NULL	canis_lupus_dingo	dingo	carnivora	11	47
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	47
NULL	ursus_maritimus	polar_bear	carnivora	4	47
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	47
NULL	felis_catus	domestic_cat	carnivora	1	47
NULL	panthera_leo	lion	carnivora	3	47
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	3
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	3
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	3	9
NULL	equus_caballus	domestic_horse	perissodactyla	6	9
NULL	aotus_nancymaae	mas_night_monkey	primates	4	75
NULL	papio_anubis	olive_baboon	primates	10	75
IGLC7	pan_troglodytes	chimpanzee	primates	7	75
NULL	gorilla_gorilla	gorilla	primates	9	75
NULL	carlito_syrichta	philippine_tarsier	primates	11	75
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	6	75
NULL	nomascus_leucogenys	gibbon	primates	4	75
NULL	cercocebus_atys	sooty_mangabey	primates	8	75
NULL	macaca_fascicularis	crab_eating_macaque	primates	9	75
NULL	pan_troglodytes	chimpanzee	primates	7	75
NULL	mandrillus_leucophaeus	drill	primates	7	75
IGLL1	aotus_nancymaae	mas_night_monkey	primates	4	75
IGLC3	pan_troglodytes	chimpanzee	primates	7	75
IGLC7	gorilla_gorilla	gorilla	primates	9	75
IGLC3	gorilla_gorilla	gorilla	primates	9	75
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
Iglc1	mus_musculus	house_mouse	rodentia	4	18
NULL	castor_canadensis	american_beaver	rodentia	5	18
Iglc2	mus_musculus	house_mouse	rodentia	4	18
NULL	mus_spicilegus	steppe_mouse	rodentia	4	18
Iglc3	mus_musculus	house_mouse	rodentia	4	18
Iglc4	mus_musculus	house_mouse	rodentia	4	18
NULL	octodon_degus	degu	rodentia	1	18
AABR07034739.1	rattus_norvegicus	norway_rat	rodentia	2	18
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	18
Iglc2	mus_spicilegus	steppe_mouse	rodentia	4	18
AABR07034739.3	rattus_norvegicus	norway_rat	rodentia	2	18
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	18
Iglc3	mus_spicilegus	steppe_mouse	rodentia	4	18
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
