Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
VMA21	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
VMA21	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
VMA21	camelus_dromedarius	arabian_camel	artiodactyla	1	4
VMA21	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
NULL	sus_scrofa	wild_boar	artiodactyla	1	4
VMA21	felis_catus	domestic_cat	carnivora	1	11
VMA21	panthera_pardus	leopard	carnivora	1	11
VMA21	canis_lupus_familiaris	domestic_dog	carnivora	1	11
VMA21	zalophus_californianus	cali_sea_lion	carnivora	1	11
VMA21	vulpes_vulpes	red_fox	carnivora	1	11
NULL	canis_lupus_dingo	dingo	carnivora	3	11
VMA21	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
VMA21	canis_lupus_dingo	dingo	carnivora	3	11
VMA21	panthera_leo	lion	carnivora	1	11
VMA21	ursus_maritimus	polar_bear	carnivora	1	11
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
VMA21	delphinapterus_leucas	beluga_whale	cetacea	2	2
VMA21	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
VMA21	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
VMA21	ochotona_princeps	american_pika	lagomorpha	1	2
NULL	equus_caballus	domestic_horse	perissodactyla	2	3
NULL	equus_asinus_asinus	donkey	perissodactyla	1	3
VMA21	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
VMA21	macaca_fascicularis	crab_eating_macaque	primates	1	13
VMA21	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	13
VMA21	nomascus_leucogenys	gibbon	primates	1	13
VMA21	papio_anubis	olive_baboon	primates	2	13
VMA21	pan_troglodytes	chimpanzee	primates	2	13
VMA21	carlito_syrichta	philippine_tarsier	primates	1	13
NULL	papio_anubis	olive_baboon	primates	2	13
VMA21	mandrillus_leucophaeus	drill	primates	1	13
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	13
VMA21	gorilla_gorilla	gorilla	primates	1	13
VMA21	cercocebus_atys	sooty_mangabey	primates	1	13
VMA21	aotus_nancymaae	mas_night_monkey	primates	1	13
VMA21	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Vma21	rattus_norvegicus	norway_rat	rodentia	4	15
NULL	mus_spicilegus	steppe_mouse	rodentia	3	15
VMA21	cavia_aperea	brazilian_guinea_pig	rodentia	1	15
VMA21	octodon_degus	degu	rodentia	1	15
Vma21	castor_canadensis	american_beaver	rodentia	1	15
Vma21	mus_musculus	house_mouse	rodentia	1	15
LOC103694079	rattus_norvegicus	norway_rat	rodentia	4	15
VMA21	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	15
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	15
LOC103689964	rattus_norvegicus	norway_rat	rodentia	4	15
Vma21	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	15
