Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
SPINK1	sus_scrofa	wild_boar	artiodactyla	1	5
SPINK1	camelus_dromedarius	arabian_camel	artiodactyla	1	5
SPINK1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
SPINK1	bison_bison_bison	american_bison	artiodactyla	1	5
SPINK1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
SPINK1	zalophus_californianus	cali_sea_lion	carnivora	1	8
SPINK1	canis_lupus_familiaris	domestic_dog	carnivora	1	8
SPINK1	panthera_leo	lion	carnivora	1	8
SPINK1	panthera_pardus	leopard	carnivora	1	8
SPINK1	canis_lupus_dingo	dingo	carnivora	1	8
SPINK1	felis_catus	domestic_cat	carnivora	1	8
SPINK1	ailuropoda_melanoleuca	giant_panda	carnivora	1	8
SPINK1	lynx_canadensis	canadian_lynx	carnivora	1	8
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
SPINK1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
SPINK1	sorex_araneus	european_shrew	eulipotyphyla	1	2
SPINK1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
SPINK1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
SPINK1	ochotona_princeps	american_pika	lagomorpha	1	2
SPINK1	equus_asinus_asinus	donkey	perissodactyla	1	2
SPINK1	equus_caballus	domestic_horse	perissodactyla	1	2
SPINK1	papio_anubis	olive_baboon	primates	1	10
SPINK1	gorilla_gorilla	gorilla	primates	1	10
SPINK1	carlito_syrichta	philippine_tarsier	primates	1	10
SPINK1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
SPINK1	pan_troglodytes	chimpanzee	primates	1	10
SPINK1	macaca_fascicularis	crab_eating_macaque	primates	1	10
SPINK1	mandrillus_leucophaeus	drill	primates	1	10
SPINK1	nomascus_leucogenys	gibbon	primates	1	10
SPINK1	aotus_nancymaae	mas_night_monkey	primates	1	10
SPINK1	cercocebus_atys	sooty_mangabey	primates	1	10
Spink1	mus_musculus	house_mouse	rodentia	1	10
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
SPINK1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
Spink1	rattus_norvegicus	norway_rat	rodentia	3	10
NULL	castor_canadensis	american_beaver	rodentia	1	10
Spink1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
LOC100911558	rattus_norvegicus	norway_rat	rodentia	3	10
Spink1l	rattus_norvegicus	norway_rat	rodentia	3	10
Spink1	mus_spicilegus	steppe_mouse	rodentia	1	10
Spink1	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
