SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName	Order
SEQ	echinops_telfairi	ENSETEP00000003448	GeneScaffold_908	394	49313	1	ENSETEG00000004197	FAM135A	lesser_hedgehog_tenrec	afrosoricida
SEQ	bison_bison_bison	ENSBBBP00000023312	KN264983.1	406340	537426	-1	ENSBBBG00000008563	FAM135A	american_bison	artiodactyla
SEQ	sus_scrofa	ENSSSCP00000004617	1	50579715	50716188	1	ENSSSCG00000004275	FAM135A	wild_boar	artiodactyla
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000027422	28	8587492	8715433	1	ENSCHYG00000017966	FAM135A	central_asian_red_deer	artiodactyla
SEQ	camelus_dromedarius	ENSCDRP00005000312	8	78665886	78771725	1	ENSCDRG00005000145	FAM135A	arabian_camel	artiodactyla
SEQ	moschus_moschiferus	ENSMMSP00000021593	PVHU021072336.1	1153668	1306892	1	ENSMMSG00000016041	FAM135A	siberian_musk_deer	artiodactyla
SEQ	panthera_pardus	ENSPPRP00000006469	KV860342.1	8623818	8748338	1	ENSPPRG00000001943	FAM135A	leopard	carnivora
SEQ	canis_lupus_dingo	ENSCAFP00020011386	QKWQ01002203.1	4226761	4343171	1	ENSCAFG00020008381	FAM135A	dingo	carnivora
SEQ	lynx_canadensis	ENSLCNP00005014407	B2	64103385	64224177	1	ENSLCNG00005009420	FAM135A	canadian_lynx	carnivora
SEQ	zalophus_californianus	ENSZCAP00015006851	6	85693234	85817422	-1	ENSZCAG00015004301	FAM135A	cali_sea_lion	carnivora
SEQ	ailuropoda_melanoleuca	ENSAMEP00000012919	GL193351.1	217466	322287	1	ENSAMEG00000012250	FAM135A	giant_panda	carnivora
SEQ	canis_lupus_familiaris	ENSCAFP00000065855	12	32930982	33062000	1	ENSCAFG00000002599	FAM135A	domestic_dog	carnivora
SEQ	felis_catus	ENSFCAP00000017214	B2	66401480	66519264	1	ENSFCAG00000023949	FAM135A	domestic_cat	carnivora
SEQ	vulpes_vulpes	ENSVVUP00000012808	NBDQ01000008.1	30783674	30912658	1	ENSVVUG00000009408	FAM135A	red_fox	carnivora
SEQ	ursus_maritimus	ENSUMAP00000016123	KK498536.1	6284162	6389480	1	ENSUMAG00000011293	FAM135A	polar_bear	carnivora
SEQ	delphinapterus_leucas	ENSDLEP00000010312	ML702011.1	10989099	11095276	-1	ENSDLEG00000007500	FAM135A	beluga_whale	cetacea
SEQ	pteropus_vampyrus	ENSPVAP00000015763	GeneScaffold_442	482993	562025	1	ENSPVAG00000016700	FAM135A	large_flying_fox	chiroptera
SEQ	dasypus_novemcinctus	ENSDNOP00000006767	JH582191.1	1005787	1088604	1	ENSDNOG00000008711	FAM135A	nine_banded_armadillo	cingulata
SEQ	erinaceus_europaeus	ENSEEUP00000011974	GeneScaffold_961	8524	91938	1	ENSEEUG00000013099	FAM135A	western_european_hedgehog	eulipotyphyla
SEQ	sorex_araneus	ENSSARP00000001234	GeneScaffold_764	725922	863375	1	ENSSARG00000001343	FAM135A	european_shrew	eulipotyphyla
SEQ	procavia_capensis	ENSPCAP00000005539	GeneScaffold_850	11272	95112	1	ENSPCAG00000005882	FAM135A	cape_rock_hyrax	hyracoidea
SEQ	oryctolagus_cuniculus	ENSOCUP00000041966	12	57128983	57253020	1	ENSOCUG00000009236	FAM135A	rabbit	lagomorpha
SEQ	ochotona_princeps	ENSOPRP00000012415	GeneScaffold_519	9786	107403	1	ENSOPRG00000013541	FAM135A	american_pika	lagomorpha
SEQ	equus_caballus	ENSECAP00000010104	20	63187491	63297012	1	ENSECAG00000011658	FAM135A	domestic_horse	perissodactyla
